wmc,rfc,lcom,ca,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
14,44,29,5,3,True,True,0.9044673823201236,True,1.0,True,0.75,Voting,Voting,True,0.9447586007510995
2,10,1,1,1,False,False,0.039268853504198786,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.0374962050039322
5,69,0,1,2,False,False,0.4054252668682798,False,0.0,False,0.10000000000000002,Voting,Voting,False,0.40471845107663584
32,44,264,9,1,True,True,0.9999999999954025,True,0.8,True,0.9999999950329462,Voting,Voting,True,0.9999999373891943
14,29,21,5,2,False,True,0.8202369211752393,True,0.9,True,0.6000000000000001,Voting,Voting,True,0.8202369211751264
3,23,0,1,2,False,False,0.0572468405282591,False,0.0,False,1.3250176703571457e-07,Voting,Voting,False,0.05724683618322833
3,23,0,1,1,False,False,0.03981610398905429,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.039816103989037135
10,15,39,7,1,True,False,0.3343834401824793,False,0.2,False,0.10000000000000002,Voting,Voting,False,0.2795751769924123
3,29,0,1,1,False,False,0.048666911024950715,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.04866691102494736
3,11,3,2,1,False,False,0.054532037618086136,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.054351034275100546
6,11,15,6,5,True,False,0.1366997476399449,False,0.1,False,0.2,Voting,Voting,False,0.13756431876489567
6,7,3,1,1,False,False,0.05880926793308916,False,0.1,False,2.2204460492503185e-16,Voting,Voting,False,0.04227947780728888
6,22,15,2,1,False,False,0.4502943674228936,False,0.4,True,0.8999999999999999,Voting,Voting,False,0.450294367422907
2,3,1,1,1,False,False,0.04572159683632352,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.014896686648294924
12,53,12,7,3,True,True,0.6054317009578051,True,0.8,True,0.8,Voting,Voting,True,0.6054319277923612
2,5,1,0,1,False,False,0.051713481272429744,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.04677948276474454
7,20,9,5,2,False,False,0.0908505192601744,False,0.4,False,0.2,Voting,Voting,False,0.09085051926019504
3,15,1,2,1,False,False,0.04666968660631501,False,0.0,False,4.967053706610929e-09,Voting,Voting,False,0.0466696749872849
1,2,0,5,0,False,False,0.02565045807306605,False,0.1,False,0.29999999999999993,Voting,Voting,False,0.10976308552941785
11,20,29,2,1,False,False,0.3652382535757031,False,0.5,False,0.5,Voting,Voting,False,0.36523825357571243
14,118,77,5,4,True,True,0.9991996413812392,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9991996467837404
6,52,7,2,2,False,False,0.11777119057358065,False,0.2,False,0.2,Voting,Voting,False,0.11777119061868757
9,12,30,2,1,False,True,0.5525227651450652,True,0.9,False,0.5,AdaBoost,Voting,True,0.5581247139069543
5,19,10,1,1,False,False,0.09600745317620857,False,0.1,False,2.2204460492503185e-16,Voting,Voting,False,0.09600745317619079
4,28,6,1,1,False,False,0.07085994860125643,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.07085994860125153
2,7,1,1,1,False,False,0.05007212591443153,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.04823672728644264
11,37,7,1,7,False,True,0.6386574209947559,False,0.1,False,0.4000000000000001,Voting,Voting,True,0.6386574209947299
