max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
2,False,False,0.2386808329438496,False,0.17344117870433656,False,0.4894272353203515,Voting,Voting,False,0.2377046434574966
1,False,False,0.3770285579084223,True,0.5024761907811871,False,0.497252761957148,Voting,Voting,False,0.3788960141156189
2,False,False,0.2181414211417404,False,0.0,False,0.4926139608539569,Voting,Voting,False,0.21471140089297958
1,False,False,0.33206170559482395,False,0.4633986333085868,True,0.5003681242753114,Voting,Voting,False,0.3340573586934307
2,False,False,0.21569038975886493,False,0.06524132730015084,False,0.4806607214188742,Voting,Voting,False,0.21340632369683146
2,False,False,0.20404365654321568,False,0.0454656862745098,False,0.4883496806025214,Voting,Voting,False,0.2015687068511132
3,False,False,0.4308021681400979,False,0.421984126984127,True,0.501028682582057,Voting,Voting,False,0.43066859719540923
16,True,True,0.9858041563568966,True,1.0,True,0.8803800314468672,Voting,Voting,True,0.9859918677206112
2,False,False,0.2460214929598923,False,0.08305137844611528,False,0.04005950951704952,Voting,Voting,False,0.24385124991209803
4,False,True,0.6706940146488974,True,1.0,True,0.92326581224398,Voting,Voting,True,0.6757812855830293
1,False,False,0.27423359604974923,False,0.4350190180638792,False,0.4981887965487522,Voting,Voting,False,0.27673255487300275
3,False,False,0.4472017026898663,False,0.2457142857142857,True,0.5015538683069845,Voting,Voting,False,0.4448758930481849
0,False,False,0.2026537178690572,False,0.2003189339396236,False,0.16604456511736607,Voting,Voting,False,0.20261727252117814
5,True,False,0.4520129891243624,False,0.0,False,0.08517094071393515,Voting,Voting,False,0.44632108944593185
2,False,False,0.21603959517018176,False,0.19773118178690927,False,0.4811583897594096,Voting,Voting,False,0.2158568791169864
6,False,True,0.5578174281953336,False,0.09166666666666666,False,0.18326999285018689,Voting,Voting,True,0.5537815057449581
1,False,False,0.30317063940457634,True,0.5305338821014216,False,0.4997731392811904,Voting,Voting,False,0.30672878886469757
1,False,False,0.35919622699508563,False,0.4930758957558387,False,0.4995072897489728,Voting,Voting,False,0.360071762064125
1,False,False,0.3131912454422264,False,0.43645180195285416,True,0.5000490124096739,Voting,Voting,False,0.31511550537356553
1,False,False,0.31640259860236525,True,0.5027570426310313,False,0.4992336473574608,Voting,Voting,False,0.3193446508420242
1,False,False,0.3546213762231287,False,0.4921888850102689,False,0.4995887179505117,Voting,Voting,False,0.35673759406746336
1,False,False,0.3295656099139944,True,0.5137282247679142,False,0.4993842824757012,Voting,Voting,False,0.3314899542045359
1,False,False,0.3303197703284422,False,0.4770380041528554,False,0.4994428312993865,Voting,Voting,False,0.3315120692480405
1,False,False,0.3160282027323517,False,0.4738689538343821,True,0.5003952835496402,Voting,Voting,False,0.31845387324984675
1,True,False,0.32079114401615083,False,0.4055170023984437,False,0.4989517260275888,Voting,Voting,False,0.3219981402107276
1,False,False,0.32941749159059125,True,0.5183810608302203,False,0.4993695011838519,Voting,Voting,False,0.3323492705401132
1,True,False,0.3341793447614582,False,0.4617372448045969,False,0.498635951051739,Voting,Voting,False,0.335972845679649
1,False,False,0.32973271360778594,False,0.476019129940419,False,0.4985321119411666,Voting,Voting,False,0.33198326502306846
3,True,False,0.3391204504688751,False,0.1341880341880342,False,0.4839294633236856,Voting,Voting,False,0.3365056975716821
1,False,False,0.3491460534994859,False,0.4480718514962997,True,0.5002260773218371,Voting,Voting,False,0.35066974967094994
2,False,False,0.18180734385386527,False,0.11810457516339873,False,0.48568944366226097,Voting,Voting,False,0.18180734385386335
3,False,False,0.39309732661238334,False,0.29341630591630585,False,0.4992373129628767,Voting,Voting,False,0.3914580894558454
14,True,True,0.9664624310233872,True,1.0,True,0.8327766312749082,Voting,Voting,True,0.966923930837852
1,True,False,0.3215974183296271,False,0.4241635155527145,False,0.4983924345100752,Voting,Voting,False,0.3231830524898809
2,False,False,0.1985809776062508,False,0.1628259459838407,False,0.4907913305799841,Voting,Voting,False,0.19802299140831417
1,False,False,0.3443970725896193,False,0.4934645122416783,False,0.4990545465356549,Voting,Voting,False,0.34615489463161775
6,False,True,0.5524138646801225,False,0.1,False,0.1838540174776485,Voting,Voting,True,0.5475532026628482
1,False,False,0.314974399515392,False,0.4801644563865996,True,0.5002418324782181,Voting,Voting,False,0.31716085287588086
