wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
3,5,8,0,5,21,0,0,5.666666667,1,False,False,0.06863735225897273,False,0.0,False,0.12943232244606045,Voting,Voting,False,0.08634258680592996
12,12,37,5,7,319,0,0,24.75,7,True,True,0.563968303209777,True,0.7,True,0.5498172362288967,Voting,Voting,True,0.5658363885562305
26,17,31,13,4,193,1,0,5.961538462,4,False,True,0.5282851117719961,False,0.5,False,0.4988166789474473,Voting,Voting,True,0.5069774604304331
4,7,16,1,6,76,0,0,17.75,5,True,False,0.0896776018616588,False,0.4,True,0.6096385499011164,AdaBoost,Voting,False,0.1966438106113449
3,13,28,0,13,142,0,0,46.33333333,9,False,False,0.16177265420952636,False,0.0,False,0.35149215179461113,Voting,Voting,False,0.17311281944671483
23,18,70,2,17,537,0,0,21.95652174,5,False,True,0.9180960903993984,True,0.8,False,0.3372779078310398,AdaBoost,Voting,True,0.5644308388585948
5,14,67,1,13,695,0,0,137.8,50,False,True,0.9372704770086862,False,0.4,True,0.5215518097600418,RandomForest,Voting,True,0.7769735363809714
43,18,44,18,0,274,0,0,4.88372093,1,False,False,0.3531067606818646,False,0.4,True,0.5209463165338747,Voting,Voting,False,0.38239071238161165
15,28,84,0,28,507,0,0,32.73333333,19,True,True,0.9695480900936716,True,1.0,True,0.7605837302857857,Voting,Voting,True,0.8912809542337096
6,71,45,50,21,219,0,5,35.16666667,8,True,True,0.6715186064728561,False,0.4,True,0.6002932754185847,Voting,Voting,True,0.6446311645848606
3,7,15,0,7,46,0,0,14.33333333,3,False,False,0.08851550751381566,False,0.0,False,0.0707711166942155,Voting,Voting,False,0.07980069750234811
5,13,26,7,6,151,0,0,28.8,5,True,False,0.14612631261177575,False,0.3,False,0.3351042078261841,Voting,Voting,False,0.16009198964419075
6,12,22,2,10,194,0,0,31.0,9,False,False,0.12420500581540185,False,0.0,False,0.17893421255102349,Voting,Voting,False,0.139383898668707
16,34,52,24,12,428,0,4,25.3125,29,True,True,0.985461586220462,False,0.5,True,0.6776021346353879,Voting,Voting,True,0.9454492409726851
1,2,1,2,0,1,0,0,0.0,1,False,False,0.06669382751756661,False,0.0,False,0.01816115715981575,Voting,Voting,False,0.049400238222086244
4,6,16,0,6,97,0,0,21.5,7,False,False,0.08811647896666873,False,0.1,False,0.3883334961186375,Voting,Voting,False,0.0910139670694259
28,31,106,2,29,828,3,0,28.10714286,17,True,True,0.9957592444054,True,1.0,True,0.9570727420992649,Voting,Voting,True,0.9869920148090894
4,10,29,0,10,133,0,0,32.0,6,False,False,0.1468191286202599,False,0.0,False,0.1506218651032444,Voting,Voting,False,0.14601780527539093
3,6,6,2,5,18,0,0,5.0,1,False,False,0.06930265592688395,False,0.0,False,0.18450264789087809,Voting,Voting,False,0.10715354173863237
7,8,17,3,5,151,0,0,19.57142857,5,False,False,0.42265395193705024,False,0.5,True,0.5435004055730123,Voting,Voting,False,0.4265831798934336
1,10,1,9,1,1,0,0,0.0,1,False,False,0.07687805280324214,False,0.1,False,0.4013904449691451,Voting,Voting,False,0.1724345981509988
3,83,6,83,0,17,0,0,4.333333333,0,True,True,0.5644405957879546,True,0.7,True,0.6570978958543896,Voting,Voting,True,0.590983773150936
4,13,21,1,12,178,0,3,43.5,9,False,True,0.5039909379852149,False,0.5,False,0.4127010277716716,Voting,Voting,True,0.47406840053574956
6,10,13,0,10,35,0,0,4.833333333,1,False,False,0.06734124379527738,False,0.0,False,0.11030972620998028,Voting,Voting,False,0.07577893087276023
3,11,35,0,11,200,0,0,64.33333333,11,False,True,0.5300932834913521,False,0.4,True,0.514872221329008,RandomForest,Voting,True,0.4654591925439049
5,21,47,2,19,242,0,0,47.0,4,False,False,0.4824494423473327,True,0.6,False,0.4771819513158997,Voting,Voting,False,0.4992978091895014
8,3,42,0,3,202,0,4,24.0,1,True,True,0.6086826850925995,False,0.4,True,0.5488134312819649,Voting,Voting,True,0.5150750099753489
1,1,1,1,0,1,0,0,0.0,1,False,False,0.05989635073690225,False,0.0,False,0.022200153111423523,Voting,Voting,False,0.025022856948172367
4,11,29,0,11,212,0,0,51.25,15,False,False,0.14153890510192446,False,0.2,False,0.2114870853186904,Voting,Voting,False,0.18461263795774965
6,17,32,1,16,242,1,0,37.83333333,13,True,False,0.3118400117211746,True,0.8,True,0.5132220580763758,Voting,Voting,False,0.44884333268700904
5,7,18,1,6,153,2,0,28.8,4,False,False,0.18265308930520874,False,0.4,False,0.4349393108916749,Voting,Voting,False,0.1849555848592384
5,22,66,2,20,493,0,0,96.8,1,True,True,0.9756733124834815,True,0.7,True,0.5834025144258508,Voting,Voting,True,0.7264988989595041
0,0,0,0,0,0,0,0,0.0,0,False,False,0.06265469760249914,False,0.0,False,0.03698283315155649,Voting,Voting,False,0.03379643188127799
4,9,29,0,9,218,0,0,52.75,16,False,False,0.13801983772093987,False,0.3,False,0.31228469575148593,Voting,Voting,False,0.2523866293167734
3,5,7,1,4,40,2,0,11.66666667,3,True,False,0.12269198272997155,False,0.3,True,0.5581408238766513,AdaBoost,Voting,False,0.5275638964376725
5,12,10,3,9,46,2,0,7.6,1,False,False,0.12703360386023269,False,0.2,False,0.2635382072160936,Voting,Voting,False,0.25318910323324223
11,16,45,3,13,250,3,0,21.18181818,14,False,True,0.9317027709585473,True,0.8,True,0.8618996677973979,Voting,Voting,True,0.9256900199669184
3,4,3,2,2,3,0,0,0.0,1,False,False,0.05211118815569765,False,0.0,False,0.018295776957105825,Voting,Voting,False,0.020894796711694162
2,6,7,1,5,36,1,0,16.0,1,False,False,0.4255205443625498,False,0.2,False,0.30142712221336737,Voting,Voting,False,0.29990690328770453
3,10,16,0,10,56,0,0,17.66666667,4,False,False,0.08608464137679041,False,0.2,False,0.08455016613870013,Voting,Voting,False,0.08929401447951477
3,11,27,0,11,145,0,0,47.33333333,10,False,False,0.1378687277181487,True,0.6,False,0.4561386917328502,Voting,Voting,False,0.16311356030265256
8,8,32,2,6,219,2,0,26.0,15,True,True,0.6411668628012254,True,0.7,True,0.7639245558837261,Voting,Voting,True,0.7337313444679612
3,2,4,2,0,20,0,0,5.333333333,1,False,False,0.05804350303178968,False,0.0,False,0.018507279436821275,Voting,Voting,False,0.01964415172299621
4,5,9,0,5,31,0,0,6.5,1,False,False,0.05868304247182275,False,0.0,False,0.013324749105773812,Voting,Voting,False,0.015782125491164586
4,24,17,15,9,59,0,0,13.5,1,False,False,0.15609572238824568,False,0.1,False,0.11975875434477015,Voting,Voting,False,0.11931774119884231
22,4,44,1,4,388,1,0,16.13636364,16,True,False,0.25117892732719405,True,0.6,True,0.6129387903368105,Voting,Voting,False,0.48584952766942874
6,4,26,1,4,171,0,0,27.16666667,1,True,False,0.1285806113999268,False,0.1,False,0.2912048266478224,Voting,Voting,False,0.17124572383273556
5,11,28,1,10,122,0,0,23.2,6,False,False,0.14401582080044845,True,0.6,False,0.4255319120910525,Voting,Voting,False,0.15630123024978962
10,8,20,7,1,148,0,0,13.5,2,False,False,0.08904422770852294,False,0.4,False,0.28601543143264563,Voting,Voting,False,0.10087728360002045
2,8,2,6,2,2,0,0,0.0,1,False,False,0.06595763619170866,False,0.1,False,0.11402973782986107,Voting,Voting,False,0.1007181984931094
4,9,13,0,9,35,0,2,7.75,1,False,False,0.13467195269136298,False,0.3,False,0.3098024698201263,Voting,Voting,False,0.2857851678150654
6,13,6,12,1,6,0,0,0.0,1,False,False,0.07017777459856568,False,0.1,True,0.5433224599155732,Voting,Voting,False,0.3486933954516672
5,12,19,4,8,159,0,0,30.6,9,False,False,0.09323780912170417,False,0.0,False,0.2844537149791357,Voting,Voting,False,0.12832403355033584
6,6,22,4,3,154,0,0,24.5,7,False,False,0.13995970966269702,False,0.5,False,0.3850457684022276,Voting,Voting,False,0.15665460842175336
5,9,42,0,9,384,0,0,73.0,28,False,False,0.4359559870511786,False,0.5,True,0.6426961408681701,Voting,Voting,False,0.5441432672483199
7,9,51,1,9,334,0,0,46.14285714,23,False,False,0.4697278138372392,True,0.7,True,0.5598316371702808,Voting,Voting,False,0.5977989928098757
25,32,86,11,21,740,2,0,28.12,11,True,True,0.9874900304852632,True,0.9,True,0.9433278603239688,Voting,Voting,True,0.9338262203402719
8,10,29,2,8,167,1,0,19.625,6,True,False,0.15995908794153413,True,0.7,False,0.4692597693173705,RandomForest,Voting,False,0.4790972273831835
10,7,11,4,3,46,1,0,3.3,1,False,False,0.3940819542592045,False,0.0,False,0.363502847197534,Voting,Voting,False,0.34385384182924983
2,2,4,1,1,10,0,0,4.0,1,False,False,0.07168805159099441,False,0.0,False,0.06813254083716452,Voting,Voting,False,0.05377206820793874
6,10,21,2,8,232,0,0,37.0,10,False,False,0.0997833575066654,False,0.0,False,0.3299901685421555,Voting,Voting,False,0.31419002107863614
15,14,53,3,11,307,2,1,19.13333333,18,False,True,0.9380338213440864,True,0.6,True,0.5197406421728794,Voting,Voting,True,0.6325322699447204
27,11,90,1,11,845,0,2,29.74074074,11,False,True,0.9965118703906058,True,0.6,True,0.645037209644796,Voting,Voting,True,0.6884081468675691
3,7,13,0,7,41,0,0,12.66666667,3,False,False,0.07647360763031281,False,0.0,False,0.2233127147956004,Voting,Voting,False,0.19839133540080164
3,8,14,0,8,45,0,0,14.0,3,False,False,0.07657695312466349,False,0.0,False,0.08003100354876,Voting,Voting,False,0.07632194612175254
4,5,9,0,5,30,0,0,6.25,1,False,False,0.06382876221869488,False,0.0,False,0.021559743822287158,Voting,Voting,False,0.024761963389171113
4,8,25,0,8,218,0,0,51.5,14,False,False,0.11735662498181085,False,0.0,False,0.06622192609764234,Voting,Voting,False,0.06377980848075418
2,8,4,6,2,9,0,0,3.5,1,False,False,0.07574530578808178,False,0.1,False,0.3200859597990617,Voting,Voting,False,0.23926282750821573
4,10,31,0,10,456,0,0,113.0,18,False,True,0.5427852454162493,False,0.3,False,0.3879588204193355,Voting,Voting,True,0.37969296423635884
4,11,29,0,11,191,0,0,46.25,14,False,False,0.1360771647365394,False,0.0,False,0.10175675081743656,Voting,Voting,False,0.06847884397409928
3,11,31,0,11,225,0,0,74.0,13,False,False,0.4610984275180754,False,0.3,True,0.6559259201560037,Voting,Voting,False,0.39552654164398227
8,27,64,0,27,313,1,0,37.875,2,True,True,0.9344702833644486,True,0.9,True,0.6400753589211815,Voting,Voting,True,0.7970988189304594
2,5,2,3,2,2,0,0,0.0,1,False,False,0.06539744868878285,False,0.0,False,0.09274955672140574,Voting,Voting,False,0.061248073795209974
7,13,50,1,12,488,1,0,68.14285714,39,True,True,0.9263204383596224,True,0.6,True,0.535433903626365,Voting,Voting,True,0.6561640414067778
12,15,28,1,14,117,1,3,8.583333332999999,1,False,False,0.4502275644511444,False,0.2,False,0.3969605255392005,Voting,Voting,False,0.364871695769252
6,7,12,6,2,56,0,0,7.833333333,1,False,False,0.09184690232439524,False,0.0,False,0.3852295402621254,Voting,Voting,False,0.35575891725446024
6,12,56,1,11,606,0,4,99.33333333,15,True,True,0.6573172443912628,False,0.4,True,0.5456072827739659,Voting,Voting,True,0.5738595011700693
9,10,12,8,2,70,1,0,6.0,1,False,False,0.102688441307888,False,0.1,False,0.093566921773097,Voting,Voting,False,0.0939421498042201
10,15,39,2,13,210,0,0,19.8,9,True,True,0.5046267584355166,True,0.9,False,0.4915278343293377,Voting,Voting,True,0.5419712788461296
8,4,8,4,0,8,0,0,0.0,1,False,False,0.053855455830245536,False,0.1,False,0.1627536595201466,Voting,Voting,False,0.12515652132942023
4,4,8,0,4,27,0,0,5.5,1,False,False,0.05684293876790467,False,0.0,False,0.05558079771859319,Voting,Voting,False,0.0518632512119308
17,17,62,2,16,329,0,0,17.82352941,12,False,True,0.8493284940739773,True,0.7,True,0.5801674632757247,Voting,Voting,True,0.7047766512695619
14,30,69,1,29,511,2,0,35.07142857,17,True,True,0.9371173526987744,True,0.9,True,0.9170135533357344,Voting,Voting,True,0.920176671493086
4,13,21,4,9,132,0,0,31.75,6,False,False,0.10302817246454454,False,0.1,False,0.29463479667162995,Voting,Voting,False,0.10775305305861975
4,14,30,0,14,161,0,0,38.0,8,False,False,0.13478615486162884,False,0.1,False,0.2179723873654252,Voting,Voting,False,0.1527506867313485
1,5,1,3,2,1,0,0,0.0,1,False,False,0.0642555569697596,False,0.0,False,0.05012744688838358,Voting,Voting,False,0.043875998485420675
3,8,14,0,8,45,0,0,14.0,3,False,False,0.06942256451606199,False,0.0,False,0.020852223775912136,Voting,Voting,False,0.026138636614323724
4,19,69,1,18,598,0,0,147.5,40,False,True,0.6154706766818562,True,0.7,False,0.3292775447581097,AdaBoost,Voting,True,0.34242601310869314
7,20,32,17,4,220,0,0,30.14285714,7,False,True,0.5967635928058258,True,0.8,True,0.5855215061758593,Voting,Voting,True,0.5972671138381267
4,18,38,2,16,268,1,0,65.75,27,True,True,0.7913577406420468,True,0.8,True,0.548927616360742,Voting,Voting,True,0.7191709402054272
6,10,20,4,7,106,1,2,16.16666667,2,False,True,0.5695304465950707,True,0.7,True,0.5209582821168425,Voting,Voting,True,0.5906329608438107
9,24,45,0,24,235,0,0,24.66666667,7,True,True,0.7518121353279144,True,0.7,True,0.6512759749945741,Voting,Voting,True,0.7088046718960241
9,11,45,0,11,351,0,0,37.77777778,1,True,False,0.2882578479645275,False,0.3,False,0.4476668041565113,Voting,Voting,False,0.3550628597068497
2,13,16,1,13,88,0,2,43.0,6,True,False,0.1518357427317998,False,0.2,False,0.30779651083894005,Voting,Voting,False,0.1795172178401725
20,14,71,3,12,677,3,0,32.3,34,True,True,0.9855847280294636,False,0.4,False,0.4564389911454766,Voting,Voting,True,0.6344947326603609
5,7,33,1,6,207,0,0,39.4,5,False,True,0.5442633388301437,False,0.4,False,0.4631487477933277,Voting,Voting,True,0.4624832150100223
3,2,7,1,1,43,0,2,13.33333333,2,False,False,0.1411065924055253,False,0.3,False,0.2854090844044458,Voting,Voting,False,0.27181459714437955
7,48,7,48,1,7,0,0,0.0,1,True,False,0.4899351663601072,False,0.0,False,0.09050519314197633,Voting,Voting,False,0.20683188181408246
3,9,15,1,8,50,0,0,15.33333333,3,True,False,0.0771210473925394,False,0.2,False,0.3993980491757293,Voting,Voting,False,0.3581206502497116
11,11,38,2,9,336,1,0,29.09090909,3,False,False,0.2720164660618775,True,0.7,True,0.6788269745349432,Voting,Voting,False,0.5407288504913539
2,10,8,1,10,38,0,2,18.0,3,False,False,0.0923902628887534,False,0.4,False,0.3395161056755397,Voting,Voting,False,0.32382326451077953
67,44,172,9,37,1449,5,0,20.1641791,49,True,True,0.997645140541366,True,0.6,True,0.6250386236528686,Voting,Voting,True,0.7492724084663963
3,11,32,0,11,232,0,0,75.33333333,16,True,False,0.10845919497326427,False,0.1,False,0.17291033880173906,Voting,Voting,False,0.12152545212409564
5,26,18,19,7,154,0,0,26.8,5,False,False,0.1877335362674147,True,0.6,False,0.4475818251048262,Voting,Voting,False,0.4324393093724985
14,15,26,8,7,159,2,0,9.928571429,9,False,True,0.5874287951329166,True,0.8,False,0.4825752849220921,AdaBoost,Voting,True,0.5236797544127679
18,2,28,1,1,200,0,0,9.666666667000001,1,False,False,0.392131430928365,False,0.0,False,0.4170019258337093,Voting,Voting,False,0.2674850802261081
4,5,9,0,5,31,0,0,6.5,1,False,False,0.06884744010902907,False,0.0,False,0.015189121388437494,Voting,Voting,False,0.01747372830931904
2,4,5,4,0,88,0,0,28.5,0,True,False,0.0751627887402921,False,0.3,False,0.26202303823778644,Voting,Voting,False,0.2493468840318555
3,7,15,0,7,46,0,0,14.33333333,3,False,False,0.0887237163934879,False,0.0,False,0.06330996536659686,Voting,Voting,False,0.06302485814351175
3,9,13,1,8,113,1,0,35.66666667,1,False,False,0.4553381633726402,False,0.3,False,0.469169187603678,Voting,Voting,False,0.40762608000997935
3,12,24,0,12,94,0,0,30.33333333,8,False,False,0.1081882477445998,False,0.0,False,0.02364796814907709,Voting,Voting,False,0.05456676011717235
7,10,37,1,9,227,0,0,31.14285714,20,False,False,0.492917377638652,True,0.9,True,0.5553702447895923,Voting,Voting,False,0.5804227690436106
3,10,21,0,10,110,0,0,35.66666667,9,False,False,0.08956254268009213,False,0.0,False,0.042560268116965866,Voting,Voting,False,0.05026747501560068
3,12,31,0,12,144,0,0,47.0,11,True,False,0.12737436581349526,False,0.0,False,0.06136858433804813,Voting,Voting,False,0.08402957769490782
2,6,9,0,6,20,0,0,9.0,1,False,False,0.08016280650957915,False,0.2,False,0.056510307897937276,Voting,Voting,False,0.0661376967201448
12,10,37,2,8,390,1,0,30.91666667,30,True,True,0.7139620594478538,True,0.9,True,0.756970448920785,Voting,Voting,True,0.799696124144068
2,11,14,1,11,63,0,2,30.5,4,False,False,0.15663437399897406,False,0.4,False,0.3851430966888373,Voting,Voting,False,0.3805633643824985
5,11,38,1,11,220,1,4,42.8,12,False,True,0.9632119368340428,True,1.0,True,0.6784737223297479,Voting,Voting,True,0.8156598986764452
7,7,42,3,4,558,0,0,78.57142857,12,True,True,0.6636693927964822,True,0.7,True,0.5854887778074734,Voting,Voting,True,0.6432016473470947
16,17,66,3,14,918,0,0,56.0,16,True,True,0.9555270465574628,True,0.7,True,0.664141644776924,Voting,Voting,True,0.7170981862351475
2,6,6,2,4,21,0,0,9.5,2,False,False,0.07559670073933085,False,0.2,False,0.4378009752322067,Voting,Voting,False,0.4128896545607088
7,1,8,1,0,113,0,0,14.28571429,7,False,False,0.049778599654672025,False,0.5,False,0.3229661067185036,Voting,Voting,False,0.2451190687905929
10,11,33,4,7,248,0,0,23.1,6,True,False,0.4810036014952905,True,0.9,True,0.8264139919671198,Voting,Voting,False,0.6298349213608572
9,10,30,7,5,235,0,0,24.22222222,3,True,False,0.4717251187195954,False,0.5,True,0.7031795031644066,AdaBoost,Voting,False,0.6966123252419962
5,12,19,3,9,143,0,0,27.4,1,False,False,0.1039027153609249,False,0.0,False,0.3440208718743202,Voting,Voting,False,0.09819301000172054
2,11,2,10,1,2,0,0,0.0,1,False,False,0.43514223946236535,False,0.2,False,0.2877200993654677,Voting,Voting,False,0.2806043530263751
4,7,4,6,1,4,0,0,0.0,1,False,False,0.07613579433686457,False,0.0,False,0.027497178930144573,Voting,Voting,False,0.025990213447729525
6,11,37,1,10,214,0,0,34.5,8,True,True,0.5044603931126532,True,0.6,False,0.4886209421561577,Voting,Voting,True,0.5171603578406787
1,0,2,0,0,4,0,0,3.0,0,False,False,0.08059868318881959,False,0.0,False,0.03256137097081741,Voting,Voting,False,0.028204533187889867
17,11,39,2,9,535,3,3,30.05882353,21,True,True,0.6198816981317538,True,0.8,True,0.5351460112404771,Voting,Voting,True,0.6100354126901213
3,2,4,1,1,17,0,0,4.333333333,1,False,False,0.0678997819674189,False,0.0,False,0.02072150344184043,Voting,Voting,False,0.02063427568080132
1,1,1,1,0,1,0,0,0.0,1,False,False,0.07965131919008131,False,0.0,False,0.045765607549725286,Voting,Voting,False,0.03671715590594779
4,11,23,1,10,101,0,0,23.25,4,False,False,0.11111970897944336,False,0.0,False,0.3263490661243316,Voting,Voting,False,0.1420322600680777
7,5,11,2,3,68,2,0,8.0,3,True,False,0.4501084997875478,False,0.2,False,0.3483488537546534,Voting,Voting,False,0.34722081124455645
2,16,21,1,16,145,0,3,71.5,8,True,False,0.3750494741665487,False,0.5,False,0.4754922375813917,Voting,Voting,False,0.4782249473319207
8,28,44,10,23,342,0,0,41.5,19,True,True,0.7000152252204014,True,0.6,True,0.6187540127653316,Voting,Voting,True,0.6173909052658001
5,22,45,2,20,165,0,0,31.8,15,True,True,0.7369511484614854,False,0.5,False,0.4346150303128229,Voting,Voting,True,0.49032049443624187
15,21,53,2,19,357,3,0,22.46666667,13,True,True,0.9152158237929224,True,1.0,False,0.4036433795914496,Voting,Voting,True,0.6576994956547434
8,12,60,4,9,709,0,0,86.125,23,True,True,0.9426874536144813,True,0.6,True,0.5826430437066855,Voting,Voting,True,0.6726098711038679
4,7,7,1,6,30,1,0,6.25,2,False,False,0.07479072008508279,False,0.4,False,0.25266042459993626,Voting,Voting,False,0.25127492082574165
8,34,36,18,16,181,0,0,21.0,5,False,True,0.7309787587149786,True,0.9,True,0.5391715986738803,Voting,Voting,True,0.7261514015860356
3,13,27,0,13,128,0,0,41.66666667,8,False,False,0.11094652901947613,False,0.1,False,0.15757522222313833,Voting,Voting,False,0.11717390820176803
22,25,64,2,23,544,2,0,23.22727273,22,True,True,0.8619250611592499,True,0.9,True,0.6481998977041491,Voting,Voting,True,0.8063950435367768
3,11,3,10,1,3,0,0,0.0,1,False,False,0.09099028300558576,False,0.0,False,0.1773737116788551,Voting,Voting,False,0.13374363244995066
9,14,39,4,10,406,1,0,43.66666667,7,True,False,0.28487451431680466,False,0.5,False,0.43833272186368855,Voting,Voting,False,0.44005070405434427
2,12,14,7,5,40,0,0,19.0,3,False,False,0.4555882832052575,False,0.5,True,0.5060993429476668,Voting,Voting,False,0.5051667685766569
3,13,18,2,11,90,0,0,28.0,7,False,False,0.08076836571837583,False,0.1,False,0.3793705984964553,Voting,Voting,False,0.18576386903842898
4,12,25,2,10,145,0,0,34.75,12,False,False,0.11134230588206327,False,0.2,False,0.3501409311118834,Voting,Voting,False,0.18650078239087703
1,1,1,1,0,1,0,0,0.0,1,False,False,0.07965131919008131,False,0.0,False,0.045765607549725286,Voting,Voting,False,0.03671715590594779
9,2,12,1,1,75,2,0,6.888888889,4,False,False,0.4419022240778625,False,0.2,False,0.3434043798792589,Voting,Voting,False,0.34253341381854585
14,3,15,3,0,126,0,0,7.642857143,4,False,False,0.03983246726701637,False,0.3,False,0.2087883670450003,Voting,Voting,False,0.18209321271785603
2,4,2,2,2,2,0,0,0.0,1,False,False,0.06859189436890302,False,0.0,False,0.0733192974037182,Voting,Voting,False,0.05704851649145391
14,19,71,8,13,442,0,0,30.35714286,7,True,True,0.9224596420870615,True,0.8,False,0.4880635594176972,Voting,Voting,True,0.7843129965540109
4,10,22,0,10,174,0,0,42.0,15,False,False,0.1092297514601704,False,0.2,False,0.06622607438907553,Voting,Voting,False,0.18916661997843423
1,4,1,2,2,1,0,0,0.0,1,False,False,0.07321778241078007,False,0.0,False,0.02515022850201339,Voting,Voting,False,0.022871649512783317
4,5,9,0,5,30,0,0,6.25,1,False,False,0.06928134781022388,False,0.0,False,0.02828412059521311,Voting,Voting,False,0.029885518182957933
3,7,16,2,5,74,0,2,23.66666667,8,True,False,0.4750353623153332,True,0.8,True,0.9075516750275324,Voting,Voting,False,0.8745471105106929
52,78,52,72,10,52,0,0,0.0,1,False,True,0.7640527618813042,False,0.5,False,0.4436852725026008,Voting,Voting,True,0.49239787732277174
5,7,18,1,6,80,1,5,14.8,3,True,True,0.8826547174641446,True,0.6,True,0.5762716613634546,Voting,Voting,True,0.650785736482442
4,7,16,0,7,48,0,6,10.75,1,True,True,0.5556501549709746,False,0.2,False,0.12426761311646882,Voting,Voting,True,0.1614088872025936
3,5,12,1,4,33,0,0,10.0,2,False,False,0.4171968599215017,False,0.1,False,0.4117884989562224,Voting,Voting,False,0.40733318944091595
7,8,43,1,7,245,0,0,33.85714286,12,True,True,0.5192187352450128,True,0.7,False,0.4582899610666207,Voting,Voting,True,0.5408555584689928
