noc,cbo,rfc,lcom,ca,ce,npm,loc,dam,mfa,ic,cbm,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,4,21,13,2,2,3,185,0.75,0.583333333,1,2,1,True,True,0.5040960778298698,False,0.4,False,0.4645636435510382,Voting
0,36,2,0,36,0,1,5,0.0,1.0,0,0,0,False,True,0.878096402375543,False,0.5,False,0.4144436267561285,AdaBoost
0,9,33,34,0,9,5,453,1.0,0.885057471,1,5,3,False,True,0.5728230697104674,True,0.6,True,0.7416009359032585,AdaBoost
0,16,6,6,15,3,3,15,0.0,0.0,0,0,1,False,False,0.4645215532079669,True,0.9,True,0.5435596541712859,Voting
0,4,17,5,1,4,5,109,1.0,0.0,0,0,2,True,False,0.4397448666340533,False,0.4,False,0.4540575590792929,AdaBoost
2,11,6,10,8,4,2,8,0.0,0.0,0,0,1,False,False,0.14159767657632413,False,0.2,False,0.4024709560346501,AdaBoost
3,57,36,176,52,5,19,193,0.5,0.0,0,0,1,True,True,0.9984229875351136,True,0.9,True,0.8851859952251498,AdaBoost
2,10,47,108,3,8,15,817,0.333333333,0.24,0,0,2,True,True,0.9419938630487202,False,0.5,True,0.5644929044247069,AdaBoost
5,10,6,4,9,1,5,19,1.0,0.0,0,0,1,True,True,0.8783535338900549,True,0.6,False,0.394012231234768,AdaBoost
0,4,14,4,1,3,2,74,0.0,0.7777777779999999,1,2,1,False,False,0.11291871375108875,False,0.3,False,0.28883956630705504,AdaBoost
0,4,10,15,1,3,6,31,0.0,0.615384615,1,3,1,True,False,0.465203119100724,False,0.5,True,0.5048429234247079,AdaBoost
0,9,20,5,2,8,3,191,0.0,0.28571428600000004,0,0,8,False,False,0.4621709336021926,False,0.5,True,0.5194492810987328,AdaBoost
0,5,6,3,1,4,3,18,0.0,0.5,0,0,1,False,False,0.4063622288021924,True,0.7,False,0.3541252039897649,AdaBoost
0,14,2,0,11,3,0,11,0.0,1.0,0,0,0,False,False,0.08340211844654677,False,0.2,False,0.35021981477125663,AdaBoost
1,13,46,0,2,12,7,357,1.0,0.0,0,0,1,True,True,0.6591191121213656,True,0.9,True,0.8389685308913638,AdaBoost
0,30,39,0,28,3,17,432,0.833333333,0.0,0,0,5,False,True,0.9679581727020492,True,0.8,True,0.6557199990957734,AdaBoost
0,3,12,66,3,0,12,12,0.0,0.0,0,0,1,True,False,0.10146445902294228,False,0.5,True,0.5350312991989901,AdaBoost
0,5,12,0,4,1,0,95,0.0,0.0,0,0,1,False,False,0.05646211103705617,False,0.1,False,0.3751497202990936,AdaBoost
0,8,20,0,2,6,0,389,1.0,0.833333333,1,1,5,True,True,0.5410867170081094,True,0.6,True,0.5991858776636516,AdaBoost
0,31,57,203,25,6,18,565,0.222222222,0.0,0,0,3,True,True,0.9751631834562384,True,1.0,True,0.8387975149447948,AdaBoost
0,19,1,0,18,1,1,1,0.0,0.0,0,0,1,False,False,0.4411131788146969,True,0.9,True,0.8192024487012914,Voting
0,9,51,14,3,6,5,414,0.75,0.0,0,0,4,False,False,0.1740167378666964,True,0.8,True,0.5070219331837493,Voting
0,12,12,1,1,11,6,173,1.0,0.9215686270000001,0,0,6,False,True,0.5355063848165023,True,0.7,True,0.6191022709453763,AdaBoost
0,16,103,317,3,16,28,865,0.8888888890000001,0.688679245,1,10,3,True,True,0.9836642009983514,True,1.0,True,0.9232301168383192,AdaBoost
0,2,23,26,0,2,6,155,0.0,0.9137931029999999,0,0,1,True,False,0.4067207445709821,False,0.1,False,0.3996597979333375,AdaBoost
0,5,5,0,1,5,2,31,0.0,0.0,0,0,1,False,False,0.41944671148997625,True,0.9,True,0.6253851952255574,Voting
0,11,37,3,3,10,6,281,0.0,0.4,0,0,5,False,True,0.5235938329719382,True,0.7,False,0.4969292032924585,AdaBoost
1,8,6,10,6,3,0,8,0.0,0.0,0,0,1,False,False,0.08805844628511539,False,0.0,False,0.021144764848876323,AdaBoost
0,10,26,0,3,8,8,143,0.0,0.6,2,4,5,True,True,0.6032772532357904,True,0.8,True,0.7420000583926079,AdaBoost
0,7,21,9,2,6,6,120,0.333333333,0.705882353,2,3,6,True,True,0.5909743947241237,True,1.0,True,0.9592135203040612,AdaBoost
2,5,4,3,4,2,1,6,0.0,0.0,0,0,1,False,False,0.08582999738335227,False,0.0,False,0.24746223337658596,AdaBoost
0,9,39,0,1,8,11,480,1.0,0.545454545,2,2,13,True,True,0.8827017262906135,True,1.0,True,0.9537058291021364,AdaBoost
0,5,29,53,1,4,6,514,1.0,0.541666667,1,4,14,True,True,0.5237522388763693,True,0.8,True,0.8391811577183677,AdaBoost
5,19,19,13,18,1,5,119,0.333333333,0.0,0,0,1,True,True,0.8789545264659114,True,0.9,True,0.7136756374688745,AdaBoost
0,14,30,0,2,13,4,136,0.0,0.5,0,0,1,False,True,0.5230347579385035,True,0.8,True,0.6695309714701257,AdaBoost
0,7,31,0,1,7,12,182,1.0,0.566666667,2,2,6,True,True,0.6743279206106206,True,1.0,True,0.8976296641076463,AdaBoost
1,14,4,0,13,1,3,25,0.333333333,0.0,0,0,1,True,False,0.4553172765760474,True,0.6,False,0.43769272594374936,RandomForest
0,11,13,1,1,10,3,88,1.0,0.666666667,1,3,3,True,True,0.5416138011391876,True,0.7,True,0.7389845305737426,AdaBoost
6,28,5,3,25,3,3,15,0.0,0.0,0,0,1,True,True,0.5798763906319554,True,0.7,True,0.5776079171794261,AdaBoost
0,17,14,78,11,8,12,20,0.0,0.0,0,0,1,True,True,0.7333740751418856,True,0.9,True,0.7955078340622019,AdaBoost
7,40,22,147,40,0,17,314,1.0,0.0,0,0,1,True,True,0.6589384271972168,True,1.0,True,0.9262548079501056,AdaBoost
6,16,19,70,15,1,11,121,1.0,0.0,0,0,2,True,True,0.6040568970706546,True,0.9,True,0.8503768815085831,AdaBoost
0,8,9,1,2,6,0,64,0.0,0.9523809520000001,1,1,1,True,False,0.4784762178446442,True,0.7,True,0.5718015592605739,AdaBoost
0,4,6,0,2,3,3,44,0.0,0.5,0,0,3,False,False,0.0741248679955899,False,0.2,False,0.3554850528690556,AdaBoost
1,23,29,67,10,22,12,199,0.333333333,0.0,0,0,1,True,True,0.9927332672627776,True,0.9,True,0.6291713926011723,AdaBoost
0,2,3,1,0,2,2,7,0.0,0.0,0,0,1,False,False,0.05226125645053937,False,0.1,False,0.15047184916191966,AdaBoost
0,23,77,92,18,5,8,1568,0.523809524,0.0,1,1,4,True,True,0.9853666828863304,True,1.0,True,0.7223214646366837,AdaBoost
2,4,33,42,3,1,10,478,0.625,0.548387097,1,5,8,False,True,0.8872358149812752,False,0.5,False,0.4858437309750041,AdaBoost
0,2,8,8,2,0,3,90,0.0,0.7142857140000001,1,2,3,False,False,0.10186794646308783,False,0.3,False,0.43209672516646064,AdaBoost
0,13,58,0,0,13,22,719,1.0,0.0,0,0,2,True,True,0.9391353027018828,True,0.7,True,0.7150004776696727,AdaBoost
0,3,19,0,1,2,5,100,0.0,0.5,1,2,1,False,False,0.11374929553419545,False,0.3,False,0.382697553853922,AdaBoost
3,11,4,3,10,1,0,6,0.0,0.0,0,0,1,False,False,0.12220880373178225,False,0.1,False,0.3084588455798685,AdaBoost
0,18,11,55,6,12,11,11,0.0,0.0,0,0,1,True,True,0.7113891419295654,True,0.7,True,0.6553299543900326,AdaBoost
0,4,5,0,1,3,3,65,0.666666667,0.7777777779999999,0,0,4,False,False,0.08078707225798867,False,0.4,False,0.453081091064704,AdaBoost
3,29,25,167,26,3,18,343,1.0,0.0,0,0,1,True,True,0.9942075951727763,True,0.9,True,0.6218006642282484,AdaBoost
0,9,46,102,2,8,16,454,1.0,0.413793103,2,4,7,True,True,0.9891661725181456,True,0.9,True,0.8002187440530972,AdaBoost
0,2,17,6,2,0,4,147,0.0,0.0,0,0,1,True,False,0.3872472661154626,False,0.4,False,0.3678192400650389,AdaBoost
0,6,4,1,4,2,0,39,0.0,0.923076923,1,3,4,True,False,0.09709165130440656,False,0.4,False,0.2994200405751525,AdaBoost
0,3,18,7,1,2,4,112,0.5,0.7,1,2,1,True,False,0.13863406302304138,True,0.8,True,0.5536176976776688,AdaBoost
0,8,22,38,5,3,10,447,0.0,0.607142857,1,4,8,False,True,0.5374444560800725,False,0.5,True,0.6715490184843812,RandomForest
0,7,30,0,1,6,6,303,1.0,0.0,0,0,4,False,False,0.4696193816095353,True,0.8,False,0.4833153304779017,AdaBoost
0,14,6,15,14,0,6,6,0.0,0.0,0,0,1,True,False,0.4286456795398551,False,0.4,True,0.6806336970931325,AdaBoost
3,9,8,21,6,4,0,15,0.0,0.0,0,0,1,False,False,0.15071353916245153,False,0.0,False,0.041872458229788814,AdaBoost
1,2,12,17,1,1,8,185,0.75,0.653846154,1,5,1,False,False,0.17674316133375148,False,0.4,False,0.4600624759410612,AdaBoost
0,5,10,4,5,0,0,298,0.0,0.0,0,0,4,False,False,0.05708544439949561,False,0.2,False,0.3820722066862015,AdaBoost
0,30,97,553,22,10,28,729,0.41176470600000004,0.686956522,1,2,6,True,True,0.9999609247805477,True,1.0,True,0.8614713580014048,AdaBoost
0,8,28,0,2,6,17,482,0.0,0.709677419,1,6,4,True,True,0.5217475672455149,True,0.9,True,0.8059737857230933,AdaBoost
1,3,16,0,1,2,0,178,1.0,0.0,0,0,3,True,False,0.09821149020669212,False,0.3,False,0.26899521305578233,AdaBoost
0,10,23,6,1,10,2,185,0.0,0.4,0,0,1,True,False,0.11556531062251175,False,0.2,False,0.17388659335650475,AdaBoost
0,8,2,1,8,0,2,2,0.0,0.0,0,0,1,False,False,0.05858398069005578,False,0.4,True,0.6300635631223739,AdaBoost
1,2,4,1,1,1,1,9,0.0,0.923076923,1,1,1,False,False,0.4547530237705406,True,0.9,True,0.875800659380486,Voting
0,7,14,15,3,5,5,57,0.0,0.705882353,2,3,3,True,True,0.5738288919050448,True,0.7,True,0.6464215394256517,AdaBoost
0,12,21,24,2,12,5,167,0.0,0.363636364,0,0,6,False,False,0.4965343208066069,False,0.4,False,0.4186919352923119,AdaBoost
0,10,43,0,4,7,11,292,1.0,0.607142857,2,2,7,True,True,0.7103255130645069,True,1.0,True,0.9309548554499226,AdaBoost
1,7,6,10,5,2,0,8,0.0,0.0,0,0,1,False,False,0.07796430509593251,False,0.0,False,0.021282525785359108,AdaBoost
0,17,7,1,17,0,2,21,0.0,0.0,0,0,2,True,False,0.4126690520331409,False,0.5,True,0.6649526341495957,AdaBoost
0,8,12,4,1,7,3,55,1.0,0.857142857,1,1,2,True,False,0.21089267173551676,True,0.7,True,0.6477229999758524,AdaBoost
0,3,35,196,2,2,10,729,0.707317073,0.0,0,0,3,False,True,0.957396721214852,True,0.9,True,0.6680753949076584,AdaBoost
0,7,53,38,3,6,9,725,0.857142857,0.0,0,0,6,True,True,0.7376705510480591,True,0.9,True,0.5555739032075137,AdaBoost
0,2,25,0,1,1,11,98,0.0,0.62962963,1,5,1,False,False,0.09503930590467474,False,0.4,False,0.2571084676320138,AdaBoost
0,1,25,22,1,0,6,126,1.0,0.0,0,0,5,True,False,0.4063898364459883,False,0.5,True,0.5691002296680125,AdaBoost
0,4,3,1,3,1,2,16,0.0,0.0,0,0,0,True,False,0.05919311121914614,False,0.0,False,0.2726372228178353,AdaBoost
0,2,19,15,2,0,4,184,0.0,0.8125,1,1,14,True,False,0.09473741877865742,True,0.9,True,0.6138213009778232,AdaBoost
1,6,4,3,5,1,0,6,0.0,0.0,0,0,1,False,False,0.06165599689754366,False,0.1,False,0.1566987945567654,AdaBoost
0,31,128,39,4,30,0,1901,0.884615385,0.0,0,0,6,True,True,0.9873949953431854,True,0.9,True,0.8933343364876358,AdaBoost
0,3,23,0,1,2,8,143,0.5,0.538461538,2,2,2,False,False,0.2502189726953061,True,0.6,True,0.5374570031009599,Voting
0,53,185,1998,18,46,0,2835,0.409836066,0.0,0,0,23,True,True,0.9999939651531992,False,0.5,True,0.6778957663548599,AdaBoost
0,4,21,8,0,4,7,116,1.0,0.3,2,2,2,True,True,0.6071174673301108,True,0.7,True,0.7755553829792835,AdaBoost
0,1,7,1,0,1,2,37,0.0,0.0,0,0,3,False,False,0.04596764868653158,False,0.0,False,0.02664835789106081,AdaBoost
4,10,6,0,9,1,2,22,1.0,0.7142857140000001,0,0,1,True,True,0.5838296862494265,True,1.0,True,0.7709145844408936,AdaBoost
0,0,8,3,0,0,1,27,0.0,0.0,0,0,2,False,False,0.03563755110133727,False,0.1,False,0.1882420781467316,AdaBoost
2,12,2,0,12,0,0,8,0.0,0.0,0,0,0,False,False,0.09255059851943558,False,0.0,False,0.43267285809088735,AdaBoost
0,11,18,9,10,1,5,65,1.0,0.7333333329999999,1,1,3,True,False,0.19702557930461784,True,0.7,True,0.6479278137588826,AdaBoost
0,4,19,2,1,3,6,116,1.0,0.0,0,0,2,False,False,0.11336902279765047,True,0.7,True,0.7244152787843621,Voting
5,5,18,5,5,0,1,88,0.5,0.0,0,0,1,False,False,0.4277982378364775,True,0.6,False,0.4566504340175576,AdaBoost
0,6,54,98,3,6,9,509,1.0,0.0,0,0,3,True,True,0.8324158726453842,True,0.8,True,0.8156093738656767,AdaBoost
0,20,24,276,19,1,24,24,0.0,0.0,0,0,1,True,True,0.9721703840045262,True,0.9,True,0.8221525176433636,AdaBoost
0,1,5,1,1,0,0,44,0.0,0.0,0,0,0,True,False,0.03753281019590752,False,0.0,False,0.0649080887903645,AdaBoost
2,10,27,1,2,8,6,136,1.0,0.666666667,2,3,5,True,True,0.6619260185970465,True,1.0,True,0.92460682291467,AdaBoost
0,4,8,19,4,0,7,49,0.0,0.0,0,0,2,True,False,0.0826245885846273,False,0.0,False,0.3730076971605506,AdaBoost
0,4,7,3,0,4,3,20,0.0,0.7777777779999999,2,3,1,False,False,0.2090732893400488,True,0.8,True,0.5994073272503933,Voting
0,3,12,3,0,3,6,69,1.0,0.5555555560000001,0,0,1,False,False,0.4444596988259915,False,0.3,False,0.4486865683849353,AdaBoost
0,16,33,3,1,16,6,297,1.0,0.88372093,2,3,1,True,True,0.9758042737288726,True,1.0,True,0.7631109461789469,AdaBoost
1,6,21,2,3,4,7,278,1.0,0.533333333,1,3,1,True,True,0.5389026201658528,True,0.9,True,0.6654319600620199,AdaBoost
0,1,10,21,1,0,7,155,0.0,0.0,0,0,4,False,False,0.07427837788605958,False,0.1,False,0.4643354449906778,AdaBoost
0,3,32,1,1,2,6,346,1.0,0.444444444,1,2,2,False,False,0.494708754505719,True,0.8,True,0.6805594166443629,Voting
0,12,77,64,3,10,5,1021,0.818181818,0.0,0,0,2,True,True,0.5454612844682527,False,0.3,False,0.4771819459631735,Voting
0,17,58,37,4,17,4,751,0.0,0.35,0,0,5,True,True,0.8984870875117298,True,0.8,True,0.6224399386937826,AdaBoost
0,14,45,79,2,12,6,629,1.0,0.0,0,0,4,True,True,0.9203554637383748,True,0.8,True,0.6486923340038522,AdaBoost
0,13,24,69,0,13,12,723,0.571428571,0.454545455,0,0,1,False,True,0.9590992169022338,True,0.9,True,0.6449127134069306,AdaBoost
0,6,22,1,0,6,2,172,0.0,0.0,0,0,1,False,False,0.08654206576829278,True,0.6,True,0.5589217553419772,Voting
1,6,9,21,2,5,1,15,0.0,0.0,0,0,1,True,False,0.08669027355896973,True,0.7,False,0.4486207030760074,RandomForest
0,8,8,15,2,8,1,30,0.0,0.444444444,0,0,1,False,False,0.0980162156162147,True,0.6,True,0.5334241089685834,Voting
0,4,7,3,2,2,3,28,0.0,0.0,0,0,2,False,False,0.05817593787541761,False,0.1,False,0.4452598239186733,AdaBoost
3,16,3,1,15,1,2,5,0.0,0.0,0,0,1,True,False,0.4624646621207258,True,0.8,True,0.5776717809050523,AdaBoost
0,2,2,0,1,1,0,18,0.0,0.0,0,0,0,False,False,0.3705080283468665,True,0.6,False,0.4556324849984346,AdaBoost
0,2,4,0,0,2,2,33,1.0,0.0,0,0,3,False,False,0.410155214407216,False,0.3,False,0.21309804264606316,AdaBoost
1,41,21,64,41,0,11,197,1.0,0.0,0,0,4,True,True,0.9715350542183234,True,1.0,True,0.7832596258768859,AdaBoost
0,17,5,10,17,0,5,5,0.0,0.0,0,0,1,True,False,0.4422857137053146,True,0.7,True,0.5558432745791807,AdaBoost
0,7,14,0,3,4,0,108,0.333333333,0.0,0,0,5,True,False,0.078800656479163,False,0.4,True,0.565986163593423,AdaBoost
0,2,10,5,1,2,5,1311,1.0,0.428571429,0,0,5,True,False,0.4245027346654778,False,0.4,False,0.3619305871563517,AdaBoost
0,5,12,0,4,1,5,387,0.2,0.0,0,0,4,False,False,0.07607529701242867,False,0.3,False,0.4963212663960384,AdaBoost
0,0,25,3,0,0,2,165,0.0,0.0,0,0,1,False,False,0.053533616285291935,False,0.2,False,0.3497506939662093,AdaBoost
0,1,15,4,0,1,6,240,0.5,0.0,0,0,8,False,False,0.42306824986266256,False,0.3,False,0.26947073291650786,AdaBoost
0,9,40,70,2,7,16,267,1.0,0.575757576,1,5,1,False,True,0.923384661383166,True,0.9,True,0.6299293774539471,AdaBoost
0,14,52,0,3,14,5,584,0.333333333,0.352941176,0,0,20,False,True,0.9364315987602896,True,0.8,True,0.5598610569000256,AdaBoost
0,7,6,0,7,0,2,83,0.125,0.0,1,1,5,True,False,0.12057874866075508,False,0.3,False,0.4678270477512117,AdaBoost
0,10,20,0,3,9,6,84,1.0,0.28571428600000004,2,2,2,True,True,0.6332211882106348,True,0.8,True,0.5629938364844583,AdaBoost
0,9,18,0,2,8,7,228,0.5,0.7142857140000001,1,2,1,True,False,0.20720921499997416,True,0.8,True,0.5505022790404828,AdaBoost
0,3,15,11,0,3,6,110,1.0,0.5555555560000001,0,0,4,False,False,0.12274971789097698,False,0.3,False,0.42118693698101695,AdaBoost
0,4,15,0,1,3,6,113,1.0,0.615384615,1,3,1,True,False,0.4883125661031756,True,0.8,True,0.6914180371354938,AdaBoost
0,12,66,99,3,9,2,1164,0.470588235,0.0,0,0,2,False,True,0.5265359710961839,True,1.0,True,0.7032307101626395,AdaBoost
0,0,18,0,0,0,3,127,0.5,0.0,0,0,6,True,False,0.4055216417349205,False,0.2,False,0.3547678212114191,AdaBoost
0,4,22,32,3,1,10,135,0.8,0.0,1,1,7,False,True,0.5550949084472403,False,0.4,False,0.4556566509453094,AdaBoost
0,3,15,2,0,3,3,708,0.5,0.7,1,2,79,False,True,0.9303723326020812,False,0.4,False,0.4763519141292495,AdaBoost
0,7,63,208,2,7,11,531,0.7692307690000001,0.08,0,0,4,True,True,0.6115396918132866,True,1.0,True,0.6786246645140912,AdaBoost
0,3,5,0,2,2,1,33,1.0,0.923076923,1,4,1,False,False,0.4401557984690719,True,0.6,False,0.4710603140152077,AdaBoost
0,4,8,0,0,4,3,28,1.0,0.5,1,1,1,True,False,0.4948433619213262,True,0.6,True,0.5931131285983144,AdaBoost
0,1,16,99,1,0,14,3574,0.0,0.0,0,0,8,True,True,0.7324248406035997,True,0.8,False,0.4988044999976494,AdaBoost
0,15,96,60,0,15,8,1498,0.5,0.0,0,0,3,True,True,0.9409804451989491,True,0.9,True,0.6771194190396971,AdaBoost
0,3,17,19,3,1,0,133,0.5,0.0,0,0,2,False,False,0.4106240735453764,True,0.6,False,0.4981124934832988,AdaBoost
0,2,6,10,1,1,4,15,0.0,0.5,1,2,1,False,False,0.09110637378190274,False,0.2,False,0.4464117991161382,AdaBoost
0,8,2,0,8,0,1,5,0.0,1.0,0,0,0,False,False,0.056525094510530824,False,0.2,False,0.038727594974995366,AdaBoost
0,12,22,61,11,1,13,175,0.0,0.0,0,0,3,True,False,0.1785210431680757,True,0.7,True,0.7426547622217328,AdaBoost
0,12,10,2,2,12,5,74,0.0,0.5,0,0,3,True,False,0.4861014371077408,False,0.3,False,0.49173945919423295,AdaBoost
0,44,392,6747,16,34,88,8474,0.7377049179999999,0.0,0,0,7,True,True,0.999999999999976,True,0.9,True,0.8177380044637439,AdaBoost
0,6,27,0,1,5,11,348,1.0,0.571428571,2,3,15,True,True,0.9345926302363528,True,0.9,True,0.8826470089250031,AdaBoost
0,4,8,3,0,4,3,31,0.0,0.7142857140000001,1,2,1,True,False,0.439859413729484,True,0.9,True,0.8547648133535556,AdaBoost
0,9,16,91,9,0,14,228,0.0,0.0,0,0,2,True,False,0.21709129314796027,True,0.8,True,0.7627894235455582,AdaBoost
1,4,22,0,1,3,1,481,1.0,0.0,0,0,2,False,False,0.4784653950735203,False,0.5,True,0.6163554561263292,AdaBoost
0,9,41,2,1,9,15,386,0.333333333,0.6333333329999999,1,6,2,True,True,0.8810060058792825,True,0.7,True,0.5665321270944697,AdaBoost
0,22,46,0,9,16,4,770,0.0,0.222222222,1,1,12,True,True,0.6393836267593062,True,0.7,True,0.6128767131285788,AdaBoost
2,9,9,28,5,5,0,16,0.0,0.0,0,0,1,False,False,0.110322454579285,False,0.3,False,0.2690572746840697,AdaBoost
5,20,8,15,14,7,5,17,0.0,0.705882353,1,1,1,True,True,0.6262399170381148,True,0.7,True,0.5924684692626918,AdaBoost
2,7,14,8,5,2,6,103,1.0,0.384615385,1,2,2,False,True,0.5609896345204767,False,0.5,True,0.6092580849561972,RandomForest
1,22,95,0,4,20,21,1118,1.0,0.7307692309999999,2,11,6,True,True,0.9947499917667464,True,1.0,True,0.9869061842631328,AdaBoost
1,34,168,2716,1,33,44,3477,0.571428571,0.0,0,0,23,True,True,0.9999901645825848,True,0.8,True,0.980019220953766,AdaBoost
0,19,40,17,2,19,2,599,0.0,0.4,0,0,15,True,True,0.9017893641827144,True,0.7,True,0.563764186227372,AdaBoost
1,39,183,1464,13,33,28,2234,0.580645161,0.6050955410000001,2,15,30,True,True,0.9998845611471348,True,0.8,True,0.916750703600928,AdaBoost
0,5,8,3,1,4,3,31,0.0,0.7142857140000001,1,2,1,True,False,0.4454056373615229,True,1.0,True,0.7862553360676082,AdaBoost
0,22,62,172,2,21,5,438,0.75,0.4,1,4,7,True,True,0.9633130349268976,True,0.9,True,0.7135779082734648,AdaBoost
0,6,25,0,3,3,0,378,0.0,0.75,1,3,26,False,False,0.4379741898581451,True,0.6,True,0.6004677828145497,Voting
4,8,11,8,4,4,8,54,1.0,0.4166666670000001,2,2,4,True,True,0.9365436831676464,True,0.9,True,0.6180332257474951,AdaBoost
7,23,3,1,23,0,2,5,0.0,0.0,0,0,1,True,True,0.921214474310788,True,0.7,True,0.8467105432228739,AdaBoost
0,13,25,46,3,11,3,364,0.0,0.352941176,0,0,14,False,False,0.4904317465423837,False,0.3,False,0.4525995996001271,AdaBoost
2,5,9,21,5,1,6,18,0.0,0.0,0,0,1,False,False,0.4420460076310784,False,0.5,False,0.3882981808694002,AdaBoost
0,7,32,0,1,7,12,224,1.0,0.566666667,2,2,6,True,True,0.6785084465463872,True,1.0,True,0.8969244088267035,AdaBoost
0,5,15,4,1,4,2,133,0.5,0.7777777779999999,1,2,1,False,False,0.14096139758194134,True,0.8,False,0.33788646424113106,AdaBoost
0,8,19,8,3,6,7,93,1.0,0.6315789470000001,2,3,5,True,True,0.6139710675671285,True,1.0,True,0.8946284475725224,AdaBoost
0,14,31,0,0,14,13,120,1.0,0.6,0,0,1,True,True,0.7556550146182731,True,0.9,True,0.5064574745026594,AdaBoost
0,12,57,0,0,12,23,200,1.0,0.73,1,9,1,True,True,0.5806108414811062,True,0.8,True,0.7193074951136333,AdaBoost
0,2,27,18,1,1,6,567,1.0,0.0,0,0,8,True,False,0.14464877562693615,True,0.6,True,0.564259423894198,AdaBoost
0,3,11,3,1,3,2,30,0.0,0.958333333,1,1,1,True,False,0.4486220007699617,True,0.6,True,0.5549681228384326,AdaBoost
0,5,9,3,2,3,0,47,0.0,0.857142857,1,3,4,False,False,0.4162066734714014,False,0.4,False,0.4568188281991406,AdaBoost
0,21,37,0,8,16,2,340,0.333333333,0.5,0,0,1,True,True,0.8445499517659737,True,0.6,False,0.4954718325162996,AdaBoost
0,4,22,0,3,1,14,227,1.0,0.0,1,1,6,False,False,0.243290494155674,True,0.7,False,0.4623783888518579,AdaBoost
0,4,7,0,2,3,3,36,0.0,0.666666667,0,0,1,False,False,0.0664688371953029,False,0.1,False,0.462482264750901,AdaBoost
0,10,7,10,3,8,3,28,0.0,0.5,0,0,1,False,False,0.4386082319250401,False,0.3,False,0.3758446874376219,AdaBoost
