wmc,cbo,rfc,ca,ce,loc,moa,cbm,amc,max_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
23,18,70,2,17,537,0,0,21.95652174,5,False,True,0.9180960903993984,True,0.8,False,0.3372779078310398,AdaBoost
5,14,67,1,13,695,0,0,137.8,50,False,True,0.9372704770086862,False,0.4,True,0.5215518097600418,RandomForest
43,18,44,18,0,274,0,0,4.88372093,1,False,False,0.3531067606818646,False,0.4,True,0.5209463165338747,Voting
15,28,84,0,28,507,0,0,32.73333333,19,True,True,0.9695480900936716,True,1.0,True,0.7605837302857857,Voting
6,71,45,50,21,219,0,5,35.16666667,8,True,True,0.6715186064728561,False,0.4,True,0.6002932754185847,Voting
3,7,15,0,7,46,0,0,14.33333333,3,False,False,0.08851550751381566,False,0.0,False,0.0707711166942155,Voting
5,13,26,7,6,151,0,0,28.8,5,True,False,0.14612631261177575,False,0.3,False,0.3351042078261841,Voting
6,12,22,2,10,194,0,0,31.0,9,False,False,0.12420500581540185,False,0.0,False,0.17893421255102349,Voting
16,34,52,24,12,428,0,4,25.3125,29,True,True,0.985461586220462,False,0.5,True,0.6776021346353879,Voting
1,2,1,2,0,1,0,0,0.0,1,False,False,0.06669382751756661,False,0.0,False,0.01816115715981575,Voting
4,6,16,0,6,97,0,0,21.5,7,False,False,0.08811647896666873,False,0.1,False,0.3883334961186375,Voting
28,31,106,2,29,828,3,0,28.10714286,17,True,True,0.9957592444054,True,1.0,True,0.9570727420992649,Voting
4,10,29,0,10,133,0,0,32.0,6,False,False,0.1468191286202599,False,0.0,False,0.1506218651032444,Voting
3,6,6,2,5,18,0,0,5.0,1,False,False,0.06930265592688395,False,0.0,False,0.18450264789087809,Voting
7,8,17,3,5,151,0,0,19.57142857,5,False,False,0.42265395193705024,False,0.5,True,0.5435004055730123,Voting
1,10,1,9,1,1,0,0,0.0,1,False,False,0.07687805280324214,False,0.1,False,0.4013904449691451,Voting
3,83,6,83,0,17,0,0,4.333333333,0,True,True,0.5644405957879546,True,0.7,True,0.6570978958543896,Voting
4,13,21,1,12,178,0,3,43.5,9,False,True,0.5039909379852149,False,0.5,False,0.4127010277716716,Voting
6,10,13,0,10,35,0,0,4.833333333,1,False,False,0.06734124379527738,False,0.0,False,0.11030972620998028,Voting
3,11,35,0,11,200,0,0,64.33333333,11,False,True,0.5300932834913521,False,0.4,True,0.514872221329008,RandomForest
5,21,47,2,19,242,0,0,47.0,4,False,False,0.4824494423473327,True,0.6,False,0.4771819513158997,Voting
8,3,42,0,3,202,0,4,24.0,1,True,True,0.6086826850925995,False,0.4,True,0.5488134312819649,Voting
1,1,1,1,0,1,0,0,0.0,1,False,False,0.05989635073690225,False,0.0,False,0.022200153111423523,Voting
4,11,29,0,11,212,0,0,51.25,15,False,False,0.14153890510192446,False,0.2,False,0.2114870853186904,Voting
6,17,32,1,16,242,1,0,37.83333333,13,True,False,0.3118400117211746,True,0.8,True,0.5132220580763758,Voting
5,7,18,1,6,153,2,0,28.8,4,False,False,0.18265308930520874,False,0.4,False,0.4349393108916749,Voting
5,22,66,2,20,493,0,0,96.8,1,True,True,0.9756733124834815,True,0.7,True,0.5834025144258508,Voting
0,0,0,0,0,0,0,0,0.0,0,False,False,0.06265469760249914,False,0.0,False,0.03698283315155649,Voting
4,9,29,0,9,218,0,0,52.75,16,False,False,0.13801983772093987,False,0.3,False,0.31228469575148593,Voting
3,5,7,1,4,40,2,0,11.66666667,3,True,False,0.12269198272997155,False,0.3,True,0.5581408238766513,AdaBoost
5,12,10,3,9,46,2,0,7.6,1,False,False,0.12703360386023269,False,0.2,False,0.2635382072160936,Voting
11,16,45,3,13,250,3,0,21.18181818,14,False,True,0.9317027709585473,True,0.8,True,0.8618996677973979,Voting
3,4,3,2,2,3,0,0,0.0,1,False,False,0.05211118815569765,False,0.0,False,0.018295776957105825,Voting
2,6,7,1,5,36,1,0,16.0,1,False,False,0.4255205443625498,False,0.2,False,0.30142712221336737,Voting
3,10,16,0,10,56,0,0,17.66666667,4,False,False,0.08608464137679041,False,0.2,False,0.08455016613870013,Voting
3,11,27,0,11,145,0,0,47.33333333,10,False,False,0.1378687277181487,True,0.6,False,0.4561386917328502,Voting
8,8,32,2,6,219,2,0,26.0,15,True,True,0.6411668628012254,True,0.7,True,0.7639245558837261,Voting
3,2,4,2,0,20,0,0,5.333333333,1,False,False,0.05804350303178968,False,0.0,False,0.018507279436821275,Voting
4,5,9,0,5,31,0,0,6.5,1,False,False,0.05868304247182275,False,0.0,False,0.013324749105773812,Voting
4,24,17,15,9,59,0,0,13.5,1,False,False,0.15609572238824568,False,0.1,False,0.11975875434477015,Voting
22,4,44,1,4,388,1,0,16.13636364,16,True,False,0.25117892732719405,True,0.6,True,0.6129387903368105,Voting
6,4,26,1,4,171,0,0,27.16666667,1,True,False,0.1285806113999268,False,0.1,False,0.2912048266478224,Voting
5,11,28,1,10,122,0,0,23.2,6,False,False,0.14401582080044845,True,0.6,False,0.4255319120910525,Voting
10,8,20,7,1,148,0,0,13.5,2,False,False,0.08904422770852294,False,0.4,False,0.28601543143264563,Voting
2,8,2,6,2,2,0,0,0.0,1,False,False,0.06595763619170866,False,0.1,False,0.11402973782986107,Voting
4,9,13,0,9,35,0,2,7.75,1,False,False,0.13467195269136298,False,0.3,False,0.3098024698201263,Voting
6,13,6,12,1,6,0,0,0.0,1,False,False,0.07017777459856568,False,0.1,True,0.5433224599155732,Voting
5,12,19,4,8,159,0,0,30.6,9,False,False,0.09323780912170417,False,0.0,False,0.2844537149791357,Voting
6,6,22,4,3,154,0,0,24.5,7,False,False,0.13995970966269702,False,0.5,False,0.3850457684022276,Voting
5,9,42,0,9,384,0,0,73.0,28,False,False,0.4359559870511786,False,0.5,True,0.6426961408681701,Voting
7,9,51,1,9,334,0,0,46.14285714,23,False,False,0.4697278138372392,True,0.7,True,0.5598316371702808,Voting
25,32,86,11,21,740,2,0,28.12,11,True,True,0.9874900304852632,True,0.9,True,0.9433278603239688,Voting
8,10,29,2,8,167,1,0,19.625,6,True,False,0.15995908794153413,True,0.7,False,0.4692597693173705,RandomForest
10,7,11,4,3,46,1,0,3.3,1,False,False,0.3940819542592045,False,0.0,False,0.363502847197534,Voting
2,2,4,1,1,10,0,0,4.0,1,False,False,0.07168805159099441,False,0.0,False,0.06813254083716452,Voting
6,10,21,2,8,232,0,0,37.0,10,False,False,0.0997833575066654,False,0.0,False,0.3299901685421555,Voting
15,14,53,3,11,307,2,1,19.13333333,18,False,True,0.9380338213440864,True,0.6,True,0.5197406421728794,Voting
27,11,90,1,11,845,0,2,29.74074074,11,False,True,0.9965118703906058,True,0.6,True,0.645037209644796,Voting
3,7,13,0,7,41,0,0,12.66666667,3,False,False,0.07647360763031281,False,0.0,False,0.2233127147956004,Voting
3,8,14,0,8,45,0,0,14.0,3,False,False,0.07657695312466349,False,0.0,False,0.08003100354876,Voting
4,5,9,0,5,30,0,0,6.25,1,False,False,0.06382876221869488,False,0.0,False,0.021559743822287158,Voting
4,8,25,0,8,218,0,0,51.5,14,False,False,0.11735662498181085,False,0.0,False,0.06622192609764234,Voting
2,8,4,6,2,9,0,0,3.5,1,False,False,0.07574530578808178,False,0.1,False,0.3200859597990617,Voting
4,10,31,0,10,456,0,0,113.0,18,False,True,0.5427852454162493,False,0.3,False,0.3879588204193355,Voting
4,11,29,0,11,191,0,0,46.25,14,False,False,0.1360771647365394,False,0.0,False,0.10175675081743656,Voting
3,11,31,0,11,225,0,0,74.0,13,False,False,0.4610984275180754,False,0.3,True,0.6559259201560037,Voting
8,27,64,0,27,313,1,0,37.875,2,True,True,0.9344702833644486,True,0.9,True,0.6400753589211815,Voting
2,5,2,3,2,2,0,0,0.0,1,False,False,0.06539744868878285,False,0.0,False,0.09274955672140574,Voting
7,13,50,1,12,488,1,0,68.14285714,39,True,True,0.9263204383596224,True,0.6,True,0.535433903626365,Voting
12,15,28,1,14,117,1,3,8.583333332999999,1,False,False,0.4502275644511444,False,0.2,False,0.3969605255392005,Voting
6,7,12,6,2,56,0,0,7.833333333,1,False,False,0.09184690232439524,False,0.0,False,0.3852295402621254,Voting
6,12,56,1,11,606,0,4,99.33333333,15,True,True,0.6573172443912628,False,0.4,True,0.5456072827739659,Voting
9,10,12,8,2,70,1,0,6.0,1,False,False,0.102688441307888,False,0.1,False,0.093566921773097,Voting
10,15,39,2,13,210,0,0,19.8,9,True,True,0.5046267584355166,True,0.9,False,0.4915278343293377,Voting
8,4,8,4,0,8,0,0,0.0,1,False,False,0.053855455830245536,False,0.1,False,0.1627536595201466,Voting
4,4,8,0,4,27,0,0,5.5,1,False,False,0.05684293876790467,False,0.0,False,0.055580797718593186,Voting
17,17,62,2,16,329,0,0,17.82352941,12,False,True,0.8493284940739773,True,0.7,True,0.5801674632757247,Voting
14,30,69,1,29,511,2,0,35.07142857,17,True,True,0.9371173526987744,True,0.9,True,0.9170135533357344,Voting
4,13,21,4,9,132,0,0,31.75,6,False,False,0.10302817246454454,False,0.1,False,0.29463479667162995,Voting
4,14,30,0,14,161,0,0,38.0,8,False,False,0.13478615486162884,False,0.1,False,0.2179723873654252,Voting
1,5,1,3,2,1,0,0,0.0,1,False,False,0.0642555569697596,False,0.0,False,0.05012744688838358,Voting
3,8,14,0,8,45,0,0,14.0,3,False,False,0.06942256451606199,False,0.0,False,0.020852223775912136,Voting
4,19,69,1,18,598,0,0,147.5,40,False,True,0.6154706766818562,True,0.7,False,0.3292775447581097,AdaBoost
7,20,32,17,4,220,0,0,30.14285714,7,False,True,0.5967635928058258,True,0.8,True,0.5855215061758593,Voting
4,18,38,2,16,268,1,0,65.75,27,True,True,0.7913577406420468,True,0.8,True,0.548927616360742,Voting
6,10,20,4,7,106,1,2,16.16666667,2,False,True,0.5695304465950707,True,0.7,True,0.5209582821168425,Voting
9,24,45,0,24,235,0,0,24.66666667,7,True,True,0.7518121353279144,True,0.7,True,0.6512759749945741,Voting
9,11,45,0,11,351,0,0,37.77777778,1,True,False,0.2882578479645275,False,0.3,False,0.4476668041565113,Voting
2,13,16,1,13,88,0,2,43.0,6,True,False,0.1518357427317998,False,0.2,False,0.30779651083894005,Voting
20,14,71,3,12,677,3,0,32.3,34,True,True,0.9855847280294636,False,0.4,False,0.4564389911454766,Voting
5,7,33,1,6,207,0,0,39.4,5,False,True,0.5442633388301437,False,0.4,False,0.4631487477933277,Voting
3,2,7,1,1,43,0,2,13.33333333,2,False,False,0.1411065924055253,False,0.3,False,0.2854090844044458,Voting
7,48,7,48,1,7,0,0,0.0,1,True,False,0.4899351663601072,False,0.0,False,0.09050519314197633,Voting
3,9,15,1,8,50,0,0,15.33333333,3,True,False,0.0771210473925394,False,0.2,False,0.3993980491757293,Voting
11,11,38,2,9,336,1,0,29.09090909,3,False,False,0.2720164660618775,True,0.7,True,0.6788269745349432,Voting
2,10,8,1,10,38,0,2,18.0,3,False,False,0.0923902628887534,False,0.4,False,0.3395161056755397,Voting
67,44,172,9,37,1449,5,0,20.164179100000002,49,True,True,0.997645140541366,True,0.6,True,0.6250386236528686,Voting
3,11,32,0,11,232,0,0,75.33333333,16,True,False,0.10845919497326427,False,0.1,False,0.17291033880173906,Voting
5,26,18,19,7,154,0,0,26.8,5,False,False,0.1877335362674147,True,0.6,False,0.4475818251048262,Voting
14,15,26,8,7,159,2,0,9.928571429,9,False,True,0.5874287951329166,True,0.8,False,0.4825752849220921,AdaBoost
18,2,28,1,1,200,0,0,9.666666667000001,1,False,False,0.392131430928365,False,0.0,False,0.4170019258337093,Voting
4,5,9,0,5,31,0,0,6.5,1,False,False,0.06884744010902907,False,0.0,False,0.015189121388437494,Voting
2,4,5,4,0,88,0,0,28.5,0,True,False,0.0751627887402921,False,0.3,False,0.26202303823778644,Voting
3,7,15,0,7,46,0,0,14.33333333,3,False,False,0.0887237163934879,False,0.0,False,0.06330996536659686,Voting
3,9,13,1,8,113,1,0,35.66666667,1,False,False,0.4553381633726402,False,0.3,False,0.469169187603678,Voting
3,12,24,0,12,94,0,0,30.33333333,8,False,False,0.1081882477445998,False,0.0,False,0.02364796814907709,Voting
7,10,37,1,9,227,0,0,31.14285714,20,False,False,0.492917377638652,True,0.9,True,0.5553702447895923,Voting
3,10,21,0,10,110,0,0,35.66666667,9,False,False,0.08956254268009213,False,0.0,False,0.042560268116965866,Voting
3,12,31,0,12,144,0,0,47.0,11,True,False,0.12737436581349526,False,0.0,False,0.06136858433804813,Voting
2,6,9,0,6,20,0,0,9.0,1,False,False,0.08016280650957915,False,0.2,False,0.056510307897937276,Voting
12,10,37,2,8,390,1,0,30.91666667,30,True,True,0.7139620594478538,True,0.9,True,0.756970448920785,Voting
2,11,14,1,11,63,0,2,30.5,4,False,False,0.15663437399897406,False,0.4,False,0.3851430966888373,Voting
5,11,38,1,11,220,1,4,42.8,12,False,True,0.9632119368340428,True,1.0,True,0.6784737223297479,Voting
7,7,42,3,4,558,0,0,78.57142857,12,True,True,0.6636693927964822,True,0.7,True,0.5854887778074734,Voting
16,17,66,3,14,918,0,0,56.0,16,True,True,0.9555270465574628,True,0.7,True,0.664141644776924,Voting
2,6,6,2,4,21,0,0,9.5,2,False,False,0.07559670073933085,False,0.2,False,0.4378009752322067,Voting
7,1,8,1,0,113,0,0,14.28571429,7,False,False,0.049778599654672025,False,0.5,False,0.3229661067185036,Voting
10,11,33,4,7,248,0,0,23.1,6,True,False,0.4810036014952905,True,0.9,True,0.8264139919671198,Voting
9,10,30,7,5,235,0,0,24.22222222,3,True,False,0.4717251187195954,False,0.5,True,0.7031795031644066,AdaBoost
5,12,19,3,9,143,0,0,27.4,1,False,False,0.1039027153609249,False,0.0,False,0.3440208718743202,Voting
2,11,2,10,1,2,0,0,0.0,1,False,False,0.43514223946236535,False,0.2,False,0.2877200993654677,Voting
4,7,4,6,1,4,0,0,0.0,1,False,False,0.07613579433686457,False,0.0,False,0.027497178930144573,Voting
6,11,37,1,10,214,0,0,34.5,8,True,True,0.5044603931126532,True,0.6,False,0.4886209421561577,Voting
1,0,2,0,0,4,0,0,3.0,0,False,False,0.08059868318881959,False,0.0,False,0.03256137097081741,Voting
17,11,39,2,9,535,3,3,30.05882353,21,True,True,0.6198816981317538,True,0.8,True,0.5351460112404771,Voting
3,2,4,1,1,17,0,0,4.333333333,1,False,False,0.0678997819674189,False,0.0,False,0.02072150344184043,Voting
1,1,1,1,0,1,0,0,0.0,1,False,False,0.07965131919008131,False,0.0,False,0.045765607549725286,Voting
4,11,23,1,10,101,0,0,23.25,4,False,False,0.11111970897944336,False,0.0,False,0.3263490661243316,Voting
7,5,11,2,3,68,2,0,8.0,3,True,False,0.4501084997875478,False,0.2,False,0.3483488537546534,Voting
2,16,21,1,16,145,0,3,71.5,8,True,False,0.3750494741665487,False,0.5,False,0.4754922375813917,Voting
8,28,44,10,23,342,0,0,41.5,19,True,True,0.7000152252204014,True,0.6,True,0.6187540127653316,Voting
5,22,45,2,20,165,0,0,31.8,15,True,True,0.7369511484614854,False,0.5,False,0.4346150303128229,Voting
15,21,53,2,19,357,3,0,22.46666667,13,True,True,0.9152158237929224,True,1.0,False,0.4036433795914496,Voting
8,12,60,4,9,709,0,0,86.125,23,True,True,0.9426874536144813,True,0.6,True,0.5826430437066855,Voting
4,7,7,1,6,30,1,0,6.25,2,False,False,0.07479072008508279,False,0.4,False,0.25266042459993626,Voting
8,34,36,18,16,181,0,0,21.0,5,False,True,0.7309787587149786,True,0.9,True,0.5391715986738803,Voting
3,13,27,0,13,128,0,0,41.66666667,8,False,False,0.11094652901947613,False,0.1,False,0.15757522222313833,Voting
22,25,64,2,23,544,2,0,23.22727273,22,True,True,0.8619250611592499,True,0.9,True,0.6481998977041491,Voting
3,11,3,10,1,3,0,0,0.0,1,False,False,0.09099028300558576,False,0.0,False,0.1773737116788551,Voting
9,14,39,4,10,406,1,0,43.66666667,7,True,False,0.28487451431680466,False,0.5,False,0.43833272186368855,Voting
2,12,14,7,5,40,0,0,19.0,3,False,False,0.4555882832052575,False,0.5,True,0.5060993429476668,Voting
3,13,18,2,11,90,0,0,28.0,7,False,False,0.08076836571837583,False,0.1,False,0.3793705984964553,Voting
4,12,25,2,10,145,0,0,34.75,12,False,False,0.11134230588206327,False,0.2,False,0.3501409311118834,Voting
1,1,1,1,0,1,0,0,0.0,1,False,False,0.07965131919008131,False,0.0,False,0.045765607549725286,Voting
9,2,12,1,1,75,2,0,6.8888888889999995,4,False,False,0.4419022240778625,False,0.2,False,0.3434043798792589,Voting
14,3,15,3,0,126,0,0,7.642857143,4,False,False,0.03983246726701637,False,0.3,False,0.2087883670450003,Voting
2,4,2,2,2,2,0,0,0.0,1,False,False,0.06859189436890302,False,0.0,False,0.0733192974037182,Voting
14,19,71,8,13,442,0,0,30.35714286,7,True,True,0.9224596420870615,True,0.8,False,0.4880635594176972,Voting
4,10,22,0,10,174,0,0,42.0,15,False,False,0.1092297514601704,False,0.2,False,0.06622607438907553,Voting
1,4,1,2,2,1,0,0,0.0,1,False,False,0.07321778241078007,False,0.0,False,0.02515022850201339,Voting
4,5,9,0,5,30,0,0,6.25,1,False,False,0.06928134781022388,False,0.0,False,0.02828412059521311,Voting
3,7,16,2,5,74,0,2,23.66666667,8,True,False,0.4750353623153332,True,0.8,True,0.9075516750275324,Voting
52,78,52,72,10,52,0,0,0.0,1,False,True,0.7640527618813042,False,0.5,False,0.4436852725026008,Voting
5,7,18,1,6,80,1,5,14.8,3,True,True,0.8826547174641446,True,0.6,True,0.5762716613634546,Voting
4,7,16,0,7,48,0,6,10.75,1,True,True,0.5556501549709746,False,0.2,False,0.12426761311646882,Voting
3,5,12,1,4,33,0,0,10.0,2,False,False,0.4171968599215017,False,0.1,False,0.4117884989562224,Voting
7,8,43,1,7,245,0,0,33.85714286,12,True,True,0.5192187352450128,True,0.7,False,0.4582899610666207,Voting
5,12,31,0,12,132,0,0,24.6,1,False,False,0.13533573043972486,False,0.1,False,0.3909087161445948,Voting
4,12,24,4,8,188,0,0,46.0,10,False,False,0.13008076107199076,False,0.1,False,0.13457693854814454,Voting
22,2,22,2,0,22,0,0,0.0,1,False,False,0.02661771573816873,False,0.1,False,0.041171585564294816,Voting
3,11,26,2,9,158,0,0,51.33333333,11,False,False,0.12660913184512038,False,0.4,False,0.3224479053766427,Voting
6,5,17,2,3,76,1,0,11.0,2,False,False,0.4528228003664188,False,0.4,True,0.5865249812409083,Voting
6,11,22,2,9,202,0,0,32.33333333,8,False,False,0.11344690673244325,False,0.1,False,0.2507422378402607,Voting
1,1,1,1,0,1,0,0,0.0,1,False,False,0.07154405713327483,False,0.0,False,0.030818529068312638,Voting
6,7,28,1,6,163,0,0,25.5,4,False,False,0.4592795487484788,True,0.9,True,0.6062395342625145,Voting
6,7,28,2,6,139,1,3,22.0,6,True,True,0.6279635175854755,True,0.8,True,0.6983675216096524,Voting
4,4,13,1,4,51,1,1,11.5,3,False,False,0.4916429616337051,False,0.5,True,0.5073258716227734,Voting
4,11,23,1,11,117,1,2,28.0,6,True,False,0.23288715396391155,False,0.1,False,0.302687695492582,Voting
5,10,35,0,10,435,0,0,84.2,30,False,False,0.4373013087089966,False,0.5,False,0.4101909095315595,Voting
4,10,28,0,10,260,0,0,62.75,19,False,False,0.15115580064056028,False,0.3,False,0.3471689840754394,Voting
4,7,19,0,7,66,0,0,14.75,3,False,False,0.09546740689973417,False,0.0,False,0.3531726966296664,Voting
4,9,14,3,6,89,0,0,20.75,5,True,False,0.090931113074472,False,0.5,True,0.5842128352699033,AdaBoost
11,23,65,11,18,566,0,0,50.36363636,35,False,True,0.9870664086179308,True,0.7,True,0.5385686797868822,Voting
23,22,74,4,18,461,3,1,18.60869565,23,False,True,0.648050725423333,True,0.8,False,0.497565624771418,AdaBoost
4,13,22,1,12,126,0,0,29.5,6,False,False,0.11246866166672737,False,0.0,False,0.32093516188321125,Voting
3,13,17,1,12,82,0,7,26.33333333,3,False,True,0.9743974545056734,False,0.4,False,0.4887485129304832,Voting
3,12,16,1,12,101,0,2,32.66666667,7,False,True,0.5693042490948849,False,0.5,False,0.4922373268842302,Voting
50,46,108,27,20,976,2,0,18.3,8,True,True,0.9745248500420374,True,1.0,True,0.964101545918383,Voting
4,5,9,0,5,30,0,0,6.25,1,False,False,0.07184604583552381,False,0.0,False,0.033135797544748824,Voting
2,14,15,7,7,46,0,0,22.0,3,False,False,0.11078770311583663,False,0.3,False,0.4327425436560021,Voting
2,5,18,2,3,106,0,5,52.0,7,True,True,0.9210795294045014,True,0.9,True,0.6603904974832924,Voting
1,0,2,0,0,10,0,0,3.0,0,False,False,0.0743969361775604,False,0.1,False,0.11041432550400314,Voting
4,9,27,0,9,150,0,0,36.25,11,True,False,0.12369358046057365,False,0.0,False,0.11072187559593144,Voting
12,16,51,2,14,435,1,0,34.75,27,True,True,0.9079103410525156,True,0.9,True,0.6348849230082217,Voting
2,8,14,0,8,46,0,0,22.0,1,False,False,0.4227770346945408,False,0.3,False,0.15226226674384147,Voting
7,9,28,3,6,265,1,0,36.28571429,3,True,True,0.5105414800004237,True,0.8,True,0.5194194806210229,Voting
2,11,16,5,6,50,0,0,24.0,5,True,False,0.4395931730236897,True,0.7,True,0.5424942367034747,Voting
3,9,15,0,9,50,0,0,15.66666667,4,False,False,0.09341532112860618,False,0.2,False,0.4620896110480238,Voting
2,10,23,2,8,114,0,2,56.0,11,True,True,0.56683386696001,False,0.4,False,0.4942222617892921,Voting
3,8,19,0,8,88,0,0,28.33333333,8,False,False,0.4297081087199176,False,0.1,False,0.2711662941336436,Voting
1,0,2,0,0,6,0,0,3.0,0,False,False,0.07364896633196677,False,0.0,False,0.06850127344345057,Voting
3,8,11,2,6,26,0,0,7.333333333,1,False,False,0.09091237762505126,False,0.1,False,0.35587441126009983,Voting
13,14,45,2,12,382,1,0,28.0,4,False,False,0.3705889184219713,True,0.7,True,0.5693959735022839,Voting
25,26,87,2,24,753,1,0,28.64,16,True,True,0.9775875744091008,True,1.0,True,0.9573583046268426,Voting
6,34,105,2,32,620,0,0,102.0,7,True,True,0.6608216785925184,True,0.9,True,0.8905585483690438,Voting
4,13,27,0,13,167,0,0,40.0,5,False,False,0.12872838243762222,False,0.3,False,0.23414477308727755,Voting
8,33,105,5,28,455,0,0,55.875,6,True,True,0.9961498204178256,True,1.0,True,0.9106788270468684,Voting
4,13,29,0,13,222,0,0,51.75,12,False,False,0.13806784744766495,False,0.2,False,0.3473911467956102,Voting
2,6,8,2,4,33,0,0,15.5,3,True,False,0.4030390465773756,False,0.5,False,0.3815506882641711,Voting
2,1,13,1,0,57,0,0,26.0,1,False,False,0.4230640900838176,True,0.6,False,0.3806008131251813,Voting
4,14,29,0,14,156,0,0,37.75,10,False,False,0.1328812001827749,False,0.1,False,0.2031522833566201,Voting
3,12,29,1,11,143,0,0,46.33333333,12,False,False,0.13155688876082602,False,0.1,False,0.3078687506837909,Voting
8,7,18,3,4,79,1,0,8.5,3,True,False,0.4534134149134533,False,0.5,False,0.3448146964873888,Voting
5,23,23,14,9,77,0,0,14.2,2,False,False,0.20328865653038586,False,0.2,False,0.2821499731392855,Voting
61,46,136,25,21,776,2,0,11.55737705,11,True,True,0.9789809767166048,True,1.0,True,0.7952069611037593,Voting
1,2,1,2,0,1,0,0,0.0,1,False,False,0.06604721689289103,False,0.0,False,0.055150489034524464,Voting
4,6,11,0,6,49,0,0,10.75,3,False,False,0.05898876692696613,False,0.2,False,0.4701375337071271,Voting
4,9,4,6,3,4,0,0,0.0,1,False,False,0.06423834153298127,False,0.2,False,0.3650874045016985,Voting
15,15,42,6,9,326,1,1,20.33333333,7,False,False,0.3492738209048753,True,0.6,True,0.5143393403115877,Voting
