cbo,ca,npm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,1,5,True,True,0.5384946809956979,True,1.0,True,0.9808158773465212,Voting
5,2,1,True,False,0.3946015743312841,True,0.8,True,0.5241662157660573,Voting
0,0,0,True,True,0.5880403967631932,True,0.6716666666666666,True,0.6446966730761396,Voting
6,0,3,True,False,0.27931705360851977,True,0.6433333333333333,True,0.5293950976153201,Voting
2,1,1,True,False,0.4534815583153757,True,0.9,True,0.8506714736955028,Voting
6,3,9,True,True,0.98130611355047,True,1.0,True,0.9652873937177132,Voting
0,0,1,False,True,0.5892857179103551,True,0.5716666666666667,True,0.6056956841715542,Voting
3,3,7,True,True,0.9711603570264664,True,0.9,True,0.9253744488818147,Voting
1,1,2,False,False,0.4888062224719529,True,0.9285714285714284,True,0.8643253682753189,Voting
17,16,26,True,True,0.999999978326644,True,1.0,True,0.9356227625338496,Voting
3,1,2,False,False,0.4704351993553728,True,1.0,True,0.8708280113693012,Voting
4,4,4,True,True,0.9707191126496688,True,1.0,True,0.9243734624707984,Voting
1,1,2,True,False,0.4888062224719529,True,0.9285714285714284,True,0.8643253682753189,Voting
1,1,11,True,True,0.9101345536000242,True,0.8,True,0.5548019109821412,Voting
8,8,1,True,True,0.9972890597684508,True,1.0,True,0.9419667563700772,Voting
9,3,2,True,True,0.949853917533242,True,1.0,True,0.8809327969993791,Voting
1,0,2,True,False,0.404814110867588,True,1.0,True,0.9980053935315326,Voting
3,2,1,True,True,0.5406197203153981,True,0.9,True,0.7568647826573434,Voting
3,0,2,True,False,0.15969547218174165,False,0.22021997176552088,False,0.492068928587453,Voting
20,16,8,True,True,0.9999995017508346,True,1.0,True,0.9835845886496616,Voting
27,18,19,True,True,0.9999999958184196,True,1.0,True,0.926597816555115,Voting
24,24,4,True,True,0.9999999968831044,True,1.0,True,0.9674483435692708,Voting
6,5,4,True,True,0.9867120648009324,True,1.0,True,0.9673204120149969,Voting
3,1,2,True,False,0.17201698588406558,False,0.1612409812409812,False,0.4887282458753461,Voting
2,2,22,True,True,0.9971322312709068,True,0.9,True,0.7302652863245266,Voting
6,0,2,False,False,0.4561100562505469,True,1.0,True,0.959417767733908,Voting
2,0,2,True,False,0.4112804434581048,True,1.0,True,0.9999997175488426,Voting
4,0,2,True,False,0.42777457875548014,True,0.6684210526315789,True,0.8136161882062698,Voting
3,0,8,True,False,0.23516734661760585,False,0.11428571428571427,False,0.2668904649603213,Voting
25,25,4,True,True,0.999999998616542,True,1.0,True,0.9674483435692708,Voting
10,1,4,True,True,0.9049647248241784,True,0.9142857142857144,True,0.7141598194332325,Voting
1,0,2,True,False,0.404814110867588,True,1.0,True,0.9980053935315326,Voting
4,1,1,False,False,0.13615456201665244,False,0.014910714285714288,False,0.4721615222496081,Voting
35,35,10,True,True,0.9999999999998964,True,1.0,True,0.9758209352061042,Voting
20,17,6,True,True,0.99999954463262,True,1.0,True,0.9617074368949204,Voting
4,2,4,True,True,0.6642046814217534,True,1.0,True,0.9089585765617696,Voting
12,8,0,True,True,0.9970085620011692,True,1.0,True,0.9518144253659916,Voting
8,2,4,True,True,0.9138226941660772,True,1.0,True,0.9289012268448208,Voting
5,0,3,True,False,0.11120018923204644,False,0.3,False,0.17150565018350486,Voting
19,16,12,True,True,0.9999998157956564,True,1.0,True,0.9267024695390591,Voting
6,5,3,True,True,0.9856379152867524,True,1.0,True,0.9328944784464572,Voting
5,0,6,True,True,0.5324418643599421,True,0.9,True,0.8229801254963311,Voting
9,5,8,True,True,0.996653656304862,True,1.0,True,0.9609202127113748,Voting
9,1,1,True,True,0.6561062153402591,True,0.97,True,0.5787184919997526,Voting
3,1,2,True,False,0.18569693430623846,False,0.3141758241758242,False,0.49045381273143,Voting
27,22,15,True,True,0.9999999993528812,True,1.0,True,0.9216409323116111,Voting
2,0,7,True,True,0.5548792302201394,True,0.86,True,0.6146401560626273,Voting
3,3,13,True,True,0.9956225427611792,True,1.0,True,0.6917716062354021,Voting
9,1,15,True,True,0.990278328874222,True,1.0,True,0.8477809174541555,Voting
3,2,4,True,True,0.6484374625918821,True,1.0,True,0.9410337915781672,Voting
65,58,48,True,True,1.0,True,1.0,True,0.926452218738348,Voting
15,15,16,True,True,0.9999998583794224,True,1.0,True,0.926452218738348,Voting
2,0,1,True,False,0.4011482575176993,False,0.2,True,0.5928408066768888,AdaBoost
3,1,5,True,False,0.21386595814928674,True,0.8,True,0.8368685850736616,Voting
7,0,15,True,True,0.9787660906124976,True,1.0,True,0.97465173300615,Voting
5,2,4,True,True,0.6418784334128533,True,0.7,False,0.4954432371283175,Voting
1,0,2,True,False,0.42193755697568464,True,1.0,True,0.9723165762805482,Voting
0,0,2,False,False,0.4524419804069935,True,0.9,True,0.9774004419538336,Voting
8,7,1,True,True,0.9920618184259976,True,1.0,True,0.9353168232575224,Voting
6,1,8,True,True,0.6333747100694259,True,0.9,False,0.4786922217439242,Voting
5,1,10,True,False,0.3258811496490973,False,0.5,False,0.17200458090378246,Voting
2,0,2,True,False,0.4193690147882732,True,1.0,True,0.996322190324336,Voting
13,6,3,True,True,0.990950543466116,True,1.0,True,0.9376027072974068,Voting
3,1,4,True,False,0.4995950277533099,True,1.0,True,0.9158205538322048,Voting
2,2,3,True,True,0.5882125877736085,True,1.0,True,0.9003287973691256,Voting
3,0,2,True,False,0.15896727905276076,False,0.13610483044085392,False,0.4920434892797647,Voting
3,2,1,True,True,0.5407534470829526,True,0.9,True,0.8160978963316751,Voting
16,4,2,True,True,0.9655120907449812,True,1.0,True,0.8895927794196293,Voting
8,2,6,True,True,0.9219895807603202,True,1.0,True,0.9486862447791752,Voting
6,4,11,True,True,0.988875432551915,True,1.0,True,0.9540353331860691,Voting
5,2,3,True,True,0.6166699803156438,True,0.7,True,0.5046360655722282,Voting
36,34,7,True,True,0.9999999999894256,True,1.0,True,0.9636920712831156,Voting
5,1,1,False,False,0.4637057099834669,True,0.8,True,0.8359874279133221,Voting
24,6,11,True,True,0.9985196389335528,True,1.0,True,0.9626785599759268,Voting
1,1,3,True,False,0.4833111923131699,True,1.0,True,0.8826300740254519,Voting
4,1,1,True,False,0.1260004686612604,False,0.0,False,0.14302622253433006,Voting
5,2,14,False,True,0.9999579076760396,True,1.0,True,0.9604159537544124,Voting
12,10,10,True,True,0.9999996845318312,True,1.0,True,0.993938997634314,Voting
4,3,1,True,True,0.9043170336783252,True,1.0,True,0.8961102039607436,Voting
10,6,7,True,True,0.9998881655824898,True,1.0,True,0.9871397722797358,Voting
5,4,8,True,True,0.9995967566903624,True,1.0,True,0.9606203571140046,Voting
17,2,22,True,True,0.9999998652682769,True,1.0,True,0.993938997634314,Voting
10,0,20,True,True,0.9999959973618829,True,1.0,True,0.992606734049519,Voting
3,1,3,True,True,0.5346810233931041,True,0.93,True,0.7152389631269634,Voting
2,1,0,True,False,0.3871739155208986,True,1.0,True,0.9132549161595032,Voting
35,19,9,True,True,0.9999999999134273,True,1.0,True,0.993938997634314,Voting
2,0,2,True,False,0.40851133078920254,True,1.0,True,0.9999996369185354,Voting
2,0,4,True,True,0.5215734620165593,True,0.925,True,0.7531469591766733,Voting
5,4,7,True,True,0.9991967103913746,True,1.0,True,0.8789911510632469,Voting
5,1,11,True,True,0.999146527344416,True,1.0,True,0.7834645759701487,Voting
4,2,1,False,True,0.5336904615464583,True,0.9,True,0.8596857159332881,Voting
11,1,6,True,True,0.9774603396763852,True,1.0,True,0.938438754129874,Voting
6,5,8,True,True,0.9998453630493512,True,1.0,True,0.99359128707807,Voting
3,0,2,True,False,0.12669159940760533,False,0.16959652574975154,False,0.4931410230601728,Voting
3,0,2,True,False,0.12669159940760533,False,0.16959652574975154,False,0.4931410230601728,Voting
5,0,2,True,False,0.1903772500163596,False,0.2236904761904762,False,0.4939113644104486,Voting
2,1,3,True,False,0.4778189111067221,True,1.0,True,0.9745923956487932,Voting
4,2,4,True,True,0.6351620125661005,True,0.9166666666666666,True,0.8543492031558406,Voting
1,1,5,True,True,0.5050597331262677,True,1.0,True,0.8659228040966054,Voting
11,7,6,True,True,0.9984175926720006,True,1.0,True,0.974719663716478,Voting
16,12,13,True,True,0.9999921772215532,True,1.0,True,0.8891089652849196,Voting
1,1,5,True,True,0.5050597331262677,True,1.0,True,0.8659228040966054,Voting
7,0,2,True,False,0.470421293690555,True,0.9,True,0.8556785045233853,Voting
2,0,2,True,False,0.4137357169341381,True,1.0,True,0.9999997246428736,Voting
0,0,8,True,True,0.5611269718688496,True,0.625,True,0.6813042016135386,Voting
1,1,3,True,False,0.4703412093364574,True,1.0,True,0.878202598462514,Voting
3,2,4,True,True,0.6152379248354566,True,1.0,True,0.909288854470368,Voting
3,3,1,True,True,0.8949365065762587,True,1.0,True,0.9437868858832994,Voting
4,3,3,True,True,0.9270609625748932,True,1.0,True,0.7685027094068759,Voting
2,1,8,True,True,0.5823543087424948,True,0.9,True,0.9145958828850136,Voting
1,0,2,True,False,0.4084473124636915,True,0.9166666666666669,True,0.9989131524790948,Voting
2,2,1,True,True,0.5458790461935595,True,1.0,True,0.9121524273574452,Voting
5,0,6,True,True,0.5050423002239168,True,0.625,True,0.7505867884860986,Voting
2,2,4,True,True,0.6127958158340882,True,1.0,True,0.9312996073594044,Voting
19,15,15,True,True,0.999999504403006,True,1.0,True,0.8733109353856306,Voting
9,1,7,True,True,0.9099380979079102,True,1.0,True,0.9757183257494624,Voting
8,8,1,True,True,0.9964532185733308,True,1.0,True,0.9756786962493464,Voting
17,13,14,True,True,0.9999982074019944,True,0.9,True,0.8763371398406912,Voting
5,3,2,True,True,0.920296079621914,True,0.9090909090909091,True,0.7496447524902087,Voting
6,0,17,True,True,0.9880143105604252,True,1.0,True,0.9594937527994158,Voting
4,4,1,True,True,0.9400821060243806,True,1.0,True,0.8207218434787718,Voting
1,1,3,True,False,0.4864971305149372,True,1.0,True,0.902743228277604,Voting
12,2,10,True,True,0.985901213985948,True,1.0,True,0.8054520482530638,Voting
17,16,16,True,True,0.9999998698452992,True,1.0,True,0.9110144271075872,Voting
3,1,4,True,True,0.5195503070401504,True,1.0,True,0.9423376184285344,Voting
3,0,7,False,True,0.5489834931160452,True,1.0,True,0.84621403357713,Voting
1,1,2,True,False,0.297094579045978,True,0.5966666666666666,True,0.5002640659570996,Voting
5,4,2,True,True,0.9549614093656944,True,0.9090909090909091,True,0.7538754800248809,Voting
11,1,12,True,True,0.9828957560243098,True,1.0,True,0.8276775225438321,Voting
4,1,1,False,False,0.13095918167268394,False,0.01479722658294087,False,0.4762016017261945,Voting
5,1,1,True,False,0.29601505475023365,True,0.8,False,0.498095364818685,RandomForest
2,2,2,True,True,0.5741082744555503,True,0.9333333333333332,True,0.9029261453480182,Voting
5,0,2,True,False,0.2093968197897799,False,0.23648989898989894,False,0.4933108061745367,Voting
3,1,1,False,False,0.1257961336971509,True,0.8022727272727274,True,0.6747624563911611,Voting
2,2,0,True,True,0.5397338152877633,True,1.0,True,0.9695335597489392,Voting
8,8,1,True,True,0.9964532185733308,True,1.0,True,0.9756786962493464,Voting
3,0,2,True,False,0.18531636695704254,False,0.3636070143306985,False,0.4981587998895067,Voting
3,1,3,True,False,0.4901961692323841,True,0.6407422969187675,True,0.8289507892019089,Voting
14,12,5,True,True,0.9999799484314548,True,0.9,True,0.9592989949758098,Voting
43,43,9,True,True,1.0,True,1.0,True,0.9481760490197104,Voting
3,0,2,False,False,0.18531636695704254,False,0.3636070143306985,False,0.4981587998895067,Voting
12,7,4,True,True,0.9984339543415304,True,1.0,True,0.99324205322126,Voting
4,2,4,True,True,0.6505002755493224,True,1.0,True,0.831435674713567,Voting
8,1,6,True,True,0.7899369786059968,True,1.0,True,0.7619209361166417,Voting
0,0,3,True,False,0.14318972503996308,False,0.11997177658942365,False,0.45648603745198896,Voting
9,1,5,True,True,0.8452609349409177,True,0.9,True,0.8160475928406923,Voting
4,1,6,True,True,0.5572557564265761,True,0.5666666666666667,True,0.6442233884457831,Voting
7,0,2,True,False,0.4530102361974945,True,1.0,True,0.8232276278064536,Voting
9,3,14,True,True,0.9955761310585836,True,0.9,True,0.6566137784812424,Voting
4,2,1,True,False,0.2443963122506018,False,0.3,False,0.21405716728914967,Voting
6,0,11,True,True,0.9061053213732436,True,1.0,True,0.8929109313926529,Voting
55,40,22,True,True,1.0,True,1.0,True,0.9018916283670592,Voting
2,1,1,True,False,0.4494732766806884,True,1.0,True,0.8475563044235798,Voting
21,11,11,True,True,0.9999919116343424,True,1.0,True,0.9344918144237186,Voting
4,0,2,True,False,0.16661418345157075,False,0.31,False,0.497794290732068,Voting
2,0,2,True,False,0.4107995926479509,True,1.0,True,0.9999997555779512,Voting
12,1,10,True,True,0.990853011294448,True,1.0,True,0.9719927085357264,Voting
32,29,12,True,True,0.9999999999979158,True,1.0,True,0.9296064613847174,Voting
7,6,2,True,True,0.989645729112242,True,1.0,True,0.9619066576927661,Voting
5,1,1,True,False,0.27172176225355066,False,0.4552631578947368,False,0.4957668615730609,Voting
8,6,3,True,True,0.9935780774319856,True,1.0,True,0.9710802096253768,Voting
0,0,2,True,False,0.12367818440774808,False,0.132997557997558,False,0.4883066122497892,Voting
10,9,1,True,True,0.9982902335649588,True,1.0,True,0.9771377734530784,Voting
8,3,16,True,True,0.9998640776823036,True,1.0,True,0.8754623581148715,Voting
14,10,3,True,True,0.999706055107666,True,1.0,True,0.9710802096253768,Voting
3,0,2,True,False,0.1666848877199454,False,0.2942832449081065,False,0.4948579386671478,Voting
5,0,2,True,False,0.2543351840644485,False,0.3354761904761905,False,0.4955393374806323,Voting
3,0,2,False,False,0.1666848877199454,False,0.2942832449081065,False,0.4948579386671478,Voting
5,0,11,True,True,0.9863485501596642,True,0.7,True,0.8108189297602165,Voting
1,1,3,True,True,0.5071158979475779,True,1.0,True,0.9630492027351196,Voting
10,0,2,True,True,0.7556617718674845,True,1.0,True,0.8945635463395526,Voting
6,0,6,True,True,0.7068078817438166,True,1.0,True,0.8267733265407176,Voting
7,1,11,True,True,0.9936425628645332,True,1.0,True,0.9385976351225056,Voting
7,0,2,True,False,0.4590718367139589,True,0.8333333333333333,True,0.8135292897978448,Voting
5,1,4,False,False,0.3878488028546416,True,1.0,True,0.6832694393828531,Voting
2,1,4,True,True,0.5470410981917504,True,1.0,True,0.9865004121809844,Voting
