dit,rfc,lcom,ca,npm,lcom3,loc,dam,cbm,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
2,13,36,2,9,1.125,62,0.0,0,True,True,0.5199891709614365,True,1.0,True,0.8918324146461699,RandomForest
2,23,6,3,12,0.672727273,154,0.0,1,True,True,0.6070831083713691,False,0.4,False,0.4832545553028569,Voting
2,20,0,0,4,0.5,138,1.0,1,False,False,0.14620227582385198,False,0.1,False,0.050241631586138084,RandomForest
2,33,43,1,15,0.833333333,258,0.666666667,5,False,False,0.451490683484695,False,0.1,False,0.16347412828435867,RandomForest
1,27,15,1,5,2.0,264,0.0,0,False,False,0.40226464908842224,True,0.8,True,0.5742775934025468,Voting
1,30,0,4,4,0.333333333,212,0.0,0,False,False,0.16864042150766453,False,0.3,True,0.5713841298366003,RandomForest
3,8,10,1,4,1.25,26,0.0,2,True,True,0.6885455798256707,True,1.0,True,0.8891247833354469,RandomForest
1,30,88,1,14,0.683333333,250,0.0,0,False,True,0.5059156797866228,True,0.9,True,0.9087833284346316,RandomForest
3,181,0,0,85,0.5,2890,0.5,20,True,True,0.9999954340460336,True,0.8,True,0.5771729143754775,RandomForest
1,12,3,11,10,0.333333333,69,1.0,0,False,False,0.06877221244191348,False,0.2,False,0.4240529826524358,RandomForest
2,28,111,2,16,0.776470588,231,0.8,6,True,True,0.8059481056867046,True,1.0,True,0.8676073100437729,RandomForest
1,17,78,2,16,0.533333333,172,1.0,0,False,False,0.4106532784985944,False,0.4,False,0.3739557471175271,RandomForest
2,26,57,3,12,0.7692307690000001,195,0.666666667,6,True,True,0.785479385258821,True,1.0,True,0.9158274423016016,RandomForest
2,41,258,7,23,0.7583333329999999,389,0.8,6,True,True,0.8989908179845708,True,0.9,True,0.7973081444865168,RandomForest
1,26,4,3,2,0.833333333,193,1.0,0,True,False,0.0524697921843445,False,0.3,False,0.19273819178399568,RandomForest
2,41,4,1,8,0.875,302,0.5,5,True,False,0.4454450447463452,True,0.8,True,0.5576858603731081,RandomForest
1,4,0,1,2,0.0,14,0.0,0,False,False,0.4781510047585032,False,0.3,False,0.40833585802018013,RandomForest
2,16,55,2,11,1.1,96,0.333333333,0,True,True,0.5072686861404424,True,0.9,True,0.7377679201808629,RandomForest
1,28,15,5,3,2.0,191,0.0,0,True,False,0.06512867566653377,False,0.5,True,0.5047621613222869,AdaBoost
2,34,87,3,12,0.8714285709999999,230,0.8,5,True,True,0.7310875113635399,False,0.5,True,0.7661784709632988,RandomForest
2,41,66,4,15,0.85,319,0.4,6,True,True,0.8676870185938071,True,1.0,True,0.7773768666026326,RandomForest
2,8,21,1,7,1.166666667,32,0.5,2,True,True,0.5208936682105557,True,0.9,True,0.7176280181084609,RandomForest
2,44,106,4,15,0.760416667,483,0.5,6,True,True,0.8837990064919049,True,1.0,True,0.743581318802208,RandomForest
2,19,5,2,8,0.740740741,223,1.0,2,False,False,0.1808363861661709,True,0.6,False,0.4723700721548183,RandomForest
1,20,1,1,2,2.0,175,0.0,0,False,False,0.05782140162967778,False,0.3,False,0.20569141197059634,RandomForest
2,22,46,2,10,0.818181818,128,0.0,6,True,True,0.7691659686677436,True,1.0,True,0.9380278106329386,RandomForest
1,0,0,2,0,2.0,10,0.0,0,False,False,0.04012056488231467,False,0.2,False,0.0592539167489048,RandomForest
3,17,0,2,6,0.8888888890000001,120,0.333333333,5,True,True,0.8906184497074259,True,0.9,True,0.5610291832892503,RandomForest
1,43,28,0,6,0.6875,416,1.0,0,True,False,0.4168986608558325,True,0.7,True,0.5569855502559554,RandomForest
1,22,0,1,5,0.166666667,88,1.0,0,True,False,0.0752507662805804,False,0.0,False,0.2579394918990692,RandomForest
2,14,9,5,5,0.5,48,1.0,0,False,False,0.1154251377426726,False,0.1,False,0.3758437310267409,RandomForest
1,78,0,2,38,0.923684211,234,0.0,0,False,True,0.5956822820378008,True,0.7,True,0.6373971222273633,RandomForest
1,36,1,2,2,2.0,137,0.0,0,False,False,0.0713334926372478,False,0.2,False,0.4289630817030999,RandomForest
2,18,54,4,8,0.924242424,222,1.0,2,False,False,0.14627767124055804,True,0.6,False,0.4764559998087835,RandomForest
2,55,281,0,31,0.940909091,567,0.545454545,5,False,True,0.6219234508815213,True,0.7,True,0.5919960920870336,RandomForest
1,0,0,1,0,2.0,5,0.0,0,False,False,0.03621596651105704,False,0.0,False,0.05720605754133879,RandomForest
2,22,66,2,11,0.805555556,140,0.666666667,6,True,True,0.7597384832514988,True,1.0,True,0.9290728127965804,RandomForest
2,26,69,4,12,0.7435897440000001,188,0.666666667,6,True,True,0.7773305356742403,True,1.0,True,0.8911569067508713,RandomForest
2,32,74,5,13,0.75,224,0.75,6,True,True,0.7913518217555193,True,1.0,True,0.852165325513672,RandomForest
1,22,0,1,0,0.333333333,163,1.0,0,False,False,0.3960122928716017,False,0.2,False,0.373463290176543,RandomForest
1,21,9,2,11,0.25,92,1.0,0,False,False,0.08712816621553411,False,0.2,False,0.10755540570429152,RandomForest
2,32,114,1,18,0.7894736840000001,357,0.833333333,6,True,True,0.8389303224092859,True,1.0,True,0.8566587546767972,RandomForest
2,42,0,1,22,0.818181818,423,0.636363636,6,True,True,0.9243741523007084,True,0.7,True,0.8629615261142249,RandomForest
2,35,169,5,20,0.946778711,316,0.352941176,6,True,True,0.8905765734202095,True,1.0,True,0.8881827472516302,RandomForest
1,6,0,1,5,0.583333333,43,1.0,0,False,False,0.3830726249024557,False,0.1,False,0.3288431404727029,RandomForest
1,17,0,1,7,0.5,234,1.0,0,True,False,0.398702426363244,False,0.0,False,0.4143042957871267,RandomForest
3,9,10,1,5,1.25,28,0.0,3,True,True,0.6693706472505839,True,0.9,True,0.8228728336380917,RandomForest
1,6,6,4,1,2.0,15,0.0,0,False,False,0.04059850296756352,False,0.0,False,0.2233590310421821,RandomForest
3,50,155,6,28,0.975369458,622,0.23809523800000001,6,True,True,0.9869688819192339,True,1.0,True,0.78308627883698,RandomForest
1,1,0,9,1,2.0,1,0.0,0,False,False,0.038239471933812184,False,0.1,False,0.13071897274998212,RandomForest
2,18,45,3,8,1.111111111,79,0.0,6,True,True,0.7072252453754074,True,1.0,True,0.9423985305825564,RandomForest
2,57,196,1,34,0.90931677,744,0.565217391,6,True,True,0.9734236826887398,True,1.0,True,0.7651847137382916,RandomForest
2,25,77,3,11,0.8615384620000001,212,0.8,5,True,True,0.6821291398559738,True,0.9,True,0.7455392662780008,RandomForest
1,37,66,15,10,1.0909090909999999,494,1.0,0,True,False,0.39640741328686135,False,0.1,True,0.5284263117045753,AdaBoost
2,22,54,2,10,0.981818182,120,0.2,6,True,True,0.7578625609033561,True,1.0,True,0.9379181703902008,RandomForest
2,17,36,1,7,1.125,72,0.0,6,True,True,0.7019460028366329,True,1.0,True,0.8784496143324474,RandomForest
2,27,6,5,9,0.875,180,0.333333333,5,False,True,0.7216244363901656,True,0.6,True,0.5631257917165687,RandomForest
2,37,219,2,21,0.8506493509999999,345,0.857142857,5,True,True,0.8338377972643692,True,0.8,True,0.7620451983075401,RandomForest
2,26,69,4,12,0.7435897440000001,187,0.666666667,6,True,True,0.7773038868109646,True,1.0,True,0.889275334519967,RandomForest
2,53,100,2,28,0.75,556,0.8888888890000001,2,True,True,0.8708690445472098,True,0.7,True,0.7595476444525162,RandomForest
1,4,6,1,4,2.0,4,0.0,0,True,False,0.04317154396447475,False,0.1,False,0.10585672044227072,RandomForest
1,0,0,0,0,2.0,7,0.0,0,False,False,0.03618824817510119,False,0.0,False,0.11021328019344773,RandomForest
2,48,38,3,17,0.822916667,419,0.666666667,5,False,True,0.8607717417980555,True,0.6,True,0.6679421714766742,RandomForest
2,13,36,2,9,1.125,58,0.0,0,True,True,0.5148152418625215,True,1.0,True,0.8743008737251012,RandomForest
1,20,0,10,9,0.25,294,1.0,1,False,False,0.10243616038977556,False,0.3,False,0.4218398007024,RandomForest
1,22,3,1,6,0.75,111,1.0,0,False,False,0.05612710155402726,False,0.35,False,0.4526996086827528,RandomForest
2,47,175,1,20,0.6309523810000001,475,0.0,5,True,True,0.8949836475211419,True,0.85,True,0.5945805028129044,RandomForest
2,39,106,2,25,0.7537878790000001,487,0.9090909090000001,0,True,True,0.6753981948956137,True,0.9,True,0.7481154611568168,RandomForest
1,42,325,10,22,1.04,693,0.0,0,False,False,0.2484528114243734,False,0.35,True,0.5778018361814976,RandomForest
1,12,8,0,7,0.8214285709999999,129,0.083333333,0,True,False,0.12260424404359672,False,0.5,True,0.5257710968216588,AdaBoost
3,6,0,3,5,2.0,37,0.0,0,False,False,0.14560013030494212,False,0.1,False,0.3545567835018751,RandomForest
2,48,6,1,2,0.916666667,439,0.666666667,1,True,False,0.23517189760495025,False,0.4,False,0.4372570634491726,RandomForest
1,56,15,50,6,1.2,923,1.0,0,True,True,0.7538250325622089,True,0.8,True,0.6011850488494915,RandomForest
2,51,228,6,20,0.770833333,419,0.833333333,6,True,True,0.8199494859109254,True,1.0,True,0.9195364104593924,RandomForest
1,5,3,3,2,2.0,43,0.0,0,False,False,0.04703754111005934,False,0.0,False,0.4084423445973158,RandomForest
2,18,39,2,9,0.851851852,78,0.333333333,2,True,True,0.5817752726056129,True,1.0,True,0.8448283222595993,RandomForest
1,10,0,5,3,0.25,78,1.0,0,True,False,0.40443239868629627,False,0.1,False,0.3192287538739316,RandomForest
1,21,9,2,11,0.25,92,1.0,0,False,False,0.08948527903415054,False,0.1,False,0.13866239249606085,RandomForest
2,33,32,7,11,1.0340909090000001,320,0.125,5,True,False,0.3594083501737533,False,0.4,False,0.4658772783513158,RandomForest
1,0,0,0,0,2.0,4,0.0,0,False,False,0.04178554989344479,False,0.0,False,0.11764758204158855,RandomForest
2,22,46,2,10,0.818181818,127,0.5,6,True,True,0.6843919805389719,True,1.0,True,0.9665997702380712,RandomForest
1,8,1,0,2,2.0,27,0.0,0,False,False,0.3811360204315268,True,0.6,True,0.726178843453823,Voting
2,11,4,1,2,0.833333333,108,1.0,1,False,False,0.4543708293641961,False,0.1,False,0.2650059478172994,RandomForest
2,13,36,2,9,1.125,64,0.0,0,True,True,0.5339338162377986,True,1.0,True,0.8752883267673143,RandomForest
1,46,123,1,4,0.659090909,668,1.0,0,True,False,0.4454380867951748,True,0.6,True,0.6399843910628306,RandomForest
3,7,4,4,5,0.5,29,1.0,0,True,False,0.24014619260296025,False,0.1,False,0.13969808483378382,RandomForest
4,7,4,5,5,0.5,29,1.0,0,True,False,0.4265196229398017,False,0.1,False,0.2016275618326622,RandomForest
2,40,142,3,18,0.798245614,342,0.833333333,6,True,True,0.74616322338036,True,1.0,True,0.9773975163472004,RandomForest
2,23,46,2,10,0.818181818,122,0.5,6,True,True,0.6859012524447078,True,1.0,True,0.9523466840996148,RandomForest
1,4,3,1,3,2.0,7,0.0,0,False,False,0.046290163662076764,False,0.13333333333333333,False,0.19050371442965214,RandomForest
2,39,49,3,13,0.75,369,0.5,6,True,True,0.7684720990386854,True,1.0,True,0.7761742125304487,RandomForest
2,25,87,2,13,0.8035714290000001,143,0.75,6,True,True,0.6676189499074471,True,1.0,True,0.8692814509614352,RandomForest
2,21,43,2,9,0.85,117,0.5,6,True,True,0.6760103282006164,True,1.0,True,0.9597016880106986,RandomForest
2,31,138,2,18,0.8270676690000001,306,0.857142857,6,True,True,0.7067230028631056,True,1.0,True,0.9113136257748864,RandomForest
2,36,11,1,2,0.8,173,1.0,1,False,False,0.15374935330352893,False,0.2,False,0.2435907354399961,RandomForest
1,15,4,6,2,0.333333333,55,1.0,0,False,False,0.06846762902418436,False,0.2,False,0.3147705435344416,RandomForest
1,45,36,1,5,2.0,3581,0.0,0,False,True,0.5600630923385744,False,0.5,True,0.5161961823863438,RandomForest
2,117,3214,5,93,0.9811945590000001,1478,0.483146067,6,True,True,0.8706108407063252,True,0.8,True,0.8053621878660928,RandomForest
2,13,36,2,9,1.125,60,0.333333333,0,True,True,0.5027226836713112,True,1.0,True,0.8671887448700393,RandomForest
2,13,36,2,9,1.125,62,0.0,0,True,True,0.5338765264049785,True,1.0,True,0.8732570841017709,RandomForest
2,37,88,1,18,0.763157895,348,0.833333333,6,True,True,0.7439720201364116,True,1.0,True,0.9146132344926224,RandomForest
5,8,6,1,4,2.0,20,0.0,0,True,True,0.6618825858174042,True,0.7166666666666666,True,0.6742782938902023,RandomForest
2,16,10,4,5,2.0,50,0.0,0,False,False,0.4451947766092091,False,0.2,False,0.4565490559826546,RandomForest
2,4,0,8,2,1.125,22,0.0,0,True,False,0.18131383586849914,False,0.0,False,0.15398128884044562,RandomForest
2,33,65,2,12,0.7435897440000001,229,0.666666667,6,True,True,0.7028205707270824,True,1.0,True,0.8995392733113284,RandomForest
1,19,84,11,16,0.994047619,152,0.0,0,False,False,0.14757266246720366,False,0.3,True,0.5679116425191284,RandomForest
1,35,60,63,8,0.333333333,618,0.666666667,0,False,True,0.826227293733813,True,0.6,False,0.4953526914729578,AdaBoost
2,14,45,2,10,1.111111111,59,0.333333333,0,True,True,0.5072896591092744,True,1.0,True,0.92052314438131,RandomForest
2,17,25,2,8,0.8,126,0.5,5,True,False,0.3105714928559463,True,0.8,True,0.7328037032786909,RandomForest
1,56,9,4,5,0.7222222220000001,743,1.0,0,True,False,0.4993461914089554,True,1.0,True,0.6854178133360644,RandomForest
3,14,41,5,11,0.916666667,66,0.0,0,False,False,0.3522234247980696,True,0.7,True,0.5763410011169662,Voting
2,34,41,1,12,0.711538462,225,0.0,5,True,False,0.4438163478261712,False,0.5,True,0.5970687790333131,AdaBoost
2,32,52,4,11,0.933333333,1216,0.4,6,True,True,0.9004010396236243,True,0.9,True,0.5730261066315361,RandomForest
2,30,54,4,14,0.7,388,0.0,1,False,True,0.6703982785250343,True,0.7,True,0.6444140460252521,RandomForest
2,2,0,1,1,2.0,4,0.0,0,False,False,0.08904264144477157,False,0.125,False,0.27234978380934244,RandomForest
2,27,57,1,12,0.7692307690000001,195,0.666666667,6,True,True,0.7918439262335125,True,1.0,True,0.8853220160657709,RandomForest
5,8,6,0,4,2.0,20,0.0,0,True,True,0.679749653487952,True,0.6333333333333334,True,0.6928006276922475,RandomForest
3,10,3,6,1,2.0,27,0.0,1,False,True,0.5240687940519645,False,0.25,False,0.331429812360214,RandomForest
2,67,22,1,22,0.5,961,0.0,5,True,True,0.9747039339499882,True,0.7,True,0.6264084960502057,RandomForest
2,12,10,1,5,2.0,32,0.0,0,False,False,0.11526470351456468,False,0.5,True,0.5038930294460909,RandomForest
1,16,1,1,2,2.0,231,0.0,0,False,False,0.05945992943549711,False,0.2,False,0.4327235730698875,RandomForest
1,21,0,2,4,0.5,149,1.0,0,False,False,0.08616680193419546,False,0.1,False,0.3325990253948798,RandomForest
2,41,38,1,22,0.75,429,0.875,6,True,True,0.8941546675524705,True,1.0,True,0.8046291597277856,RandomForest
2,21,49,3,9,0.85,106,0.5,6,True,True,0.7608199368328995,True,1.0,True,0.9583002997212801,RandomForest
1,1,0,3,1,2.0,1,0.0,0,False,False,0.0410759514780162,False,0.0,False,0.05751319937482938,RandomForest
2,46,117,1,24,0.9363636359999999,505,0.363636364,6,True,True,0.9302783708929256,True,1.0,True,0.8595879218037233,RandomForest
2,24,46,1,10,0.981818182,144,0.2,6,True,True,0.7638233903613458,True,1.0,True,0.905140347929774,RandomForest
2,50,244,3,22,0.90821256,402,0.444444444,5,True,True,0.5727300175940012,False,0.5,True,0.5444920812320291,RandomForest
1,5,0,1,1,0.0,49,1.0,0,False,False,0.400638259044995,False,0.5,False,0.38487667558309774,RandomForest
3,18,45,6,8,1.111111111,86,0.0,6,True,True,0.8642466759256285,True,1.0,True,0.6311917441696611,RandomForest
2,24,36,1,10,0.772727273,143,0.5,6,True,True,0.7823936139633326,True,1.0,True,0.9086211751445584,RandomForest
2,31,102,3,11,0.933333333,9857,0.75,0,True,True,0.7610403507106603,True,0.7,True,0.5294534793430345,RandomForest
1,1,0,19,1,2.0,1,0.0,0,False,False,0.040722558480350585,False,0.0,False,0.09639862962535647,RandomForest
2,35,114,1,18,0.8771929820000001,360,0.5555555560000001,6,True,True,0.8613992119928328,True,1.0,True,0.8964839033531193,RandomForest
1,95,106,10,13,0.35416666700000005,461,1.0,0,False,True,0.5024306258835741,False,0.5,True,0.5219828693042546,RandomForest
2,24,64,1,11,0.8833333329999999,143,0.6,6,True,True,0.7733371521978321,True,1.0,True,0.8947030726695657,RandomForest
2,65,94,3,15,0.649122807,327,1.0,1,False,False,0.4827403250666786,False,0.2,True,0.5739068301069151,RandomForest
2,7,6,4,5,2.0,46,0.0,1,False,False,0.11573751265580455,True,0.55,False,0.4279166347694073,RandomForest
1,30,3,0,2,2.0,315,0.0,0,True,False,0.08093424949460278,False,0.3,False,0.4523953920313301,RandomForest
2,23,46,2,10,0.818181818,122,0.5,6,True,True,0.7752141134818314,True,1.0,True,0.9639673735433916,RandomForest
1,4,3,2,3,2.0,8,0.0,0,False,False,0.04614535091226002,False,0.0,False,0.02672061237566781,RandomForest
2,13,36,2,9,1.125,59,0.0,0,True,True,0.538298874919632,True,1.0,True,0.9359884478078808,RandomForest
2,18,45,1,8,1.111111111,87,0.0,6,True,True,0.6989222824824447,True,1.0,True,0.8965512810663571,RandomForest
1,55,0,9,14,0.5,453,1.0,0,False,True,0.5535013170306163,True,0.9,True,0.5222143974804262,RandomForest
1,10,45,13,10,2.0,10,0.0,0,False,False,0.058139257367595995,False,0.1,False,0.18103599468752973,RandomForest
2,17,36,2,7,1.125,72,0.0,6,True,True,0.6895281891720403,True,1.0,True,0.9628563132638864,RandomForest
2,35,114,1,18,0.855263158,359,0.625,6,True,True,0.8585454706550859,True,1.0,True,0.8232955212592397,RandomForest
1,1,0,1,1,2.0,1,0.0,0,False,False,0.20779054392329788,False,0.15,False,0.1762317508167328,RandomForest
1,1,0,13,1,2.0,1,0.0,0,False,False,0.04084857461020264,False,0.0,False,0.09686914997565266,RandomForest
2,22,0,7,8,0.35,180,1.0,6,True,False,0.3353781436771033,False,0.3,False,0.4388025354116412,RandomForest
1,2,1,19,2,2.0,2,0.0,0,False,False,0.039582709363262,False,0.0,False,0.05535899768963875,RandomForest
2,24,46,1,10,0.818181818,141,0.5,6,True,True,0.7708998414965604,True,1.0,True,0.9671946381125444,RandomForest
3,29,171,1,19,1.0555555559999998,128,0.0,0,True,True,0.8118128894514872,True,0.7,True,0.6486768815209601,RandomForest
1,1,0,3,1,2.0,1,0.0,0,False,False,0.03636110188028748,False,0.0,False,0.1024164806141543,RandomForest
2,31,91,1,16,0.776470588,303,0.8,6,True,True,0.8476273665831019,True,1.0,True,0.9267350100342144,RandomForest
2,22,46,3,10,0.818181818,128,0.5,6,True,True,0.7652025398410207,True,1.0,True,0.9405076458495156,RandomForest
1,4,1,2,1,2.0,39,0.0,0,False,False,0.03710105407801231,False,0.0,False,0.3711508279221703,RandomForest
2,46,25,8,11,0.957142857,366,0.14285714300000002,6,False,True,0.8487972338528921,True,0.8,True,0.7218508066181129,RandomForest
2,56,511,4,35,0.938063063,604,0.625,6,True,True,0.969342267570646,True,1.0,True,0.6307902928296121,RandomForest
2,24,46,1,10,0.818181818,141,0.5,6,True,True,0.7708998414965604,True,1.0,True,0.9671946381125444,RandomForest
1,19,107,34,18,0.382352941,170,1.0,0,False,False,0.13313173736175773,False,0.2,False,0.25042106366347,RandomForest
2,19,0,0,10,0.0,86,1.0,2,False,False,0.21682574527733695,True,0.9,True,0.6193360663376605,Voting
2,46,153,1,24,0.8,501,0.8888888890000001,6,True,True,0.9428259152096168,True,1.0,True,0.8953470776725774,RandomForest
2,21,49,2,9,0.975,108,0.25,6,True,True,0.7434096696319825,True,1.0,True,0.9278712009468584,RandomForest
1,300,2749,45,48,0.914285714,3446,1.0,0,True,True,0.5575155676690505,False,0.5,True,0.5756317681702914,RandomForest
1,8,15,2,6,1.2,139,0.0,0,True,False,0.09304190409204313,False,0.5,True,0.576981074135234,AdaBoost
2,14,45,2,10,1.111111111,67,0.333333333,0,True,False,0.4926731900222465,True,1.0,True,0.9192687122534854,RandomForest
2,24,253,1,23,2.0,49,0.0,2,False,True,0.5359895685911589,True,0.8,True,0.6268179277143321,RandomForest
4,8,6,2,4,2.0,20,0.0,0,False,True,0.5650559994533696,True,1.0,True,0.8545063513733331,RandomForest
2,64,312,1,32,0.9092741940000001,614,0.8125,5,False,True,0.6236359688853208,True,0.7,True,0.5213972346598849,RandomForest
2,21,49,2,9,1.0,109,0.2,6,True,True,0.7384907019383026,True,1.0,True,0.9427069672843033,RandomForest
2,24,69,2,12,0.7692307690000001,155,0.666666667,6,True,True,0.7834436695617452,True,1.0,True,0.9185949745272276,RandomForest
1,14,19,3,6,0.611111111,71,1.0,0,False,False,0.05873727441159629,False,0.1,False,0.3165907460390886,RandomForest
2,18,33,2,9,0.8666666670000001,89,0.6,2,True,True,0.5359177100639029,True,0.9,True,0.7803321158790757,RandomForest
1,8,0,3,3,0.0,32,0.0,0,False,True,0.5064721621606231,False,0.0,False,0.2196447258699587,RandomForest
2,80,470,6,32,0.8634259259999999,866,0.833333333,6,True,True,0.9660764975477658,True,1.0,True,0.5514167394673695,RandomForest
1,15,21,1,11,0.533333333,90,1.0,0,False,False,0.07813634388496825,False,0.2,False,0.4155434014861101,RandomForest
3,153,3060,0,72,0.839059675,838,1.0,20,False,True,0.6661822014684543,False,0.1,False,0.4894418586321818,RandomForest
3,15,15,1,6,1.178378378,287,0.054054054000000004,2,True,True,0.6606156952660489,False,0.5,True,0.5465576178584587,RandomForest
2,24,46,0,10,0.818181818,141,0.5,6,True,True,0.7723766961599442,True,0.9,True,0.9531268580657338,RandomForest
1,5,0,2,2,0.0,42,0.0,0,True,False,0.1667817221252729,False,0.1,False,0.0905376504195358,RandomForest
1,4,6,5,4,2.0,4,0.0,0,False,False,0.04283250764320815,False,0.0,False,0.20138239128453744,RandomForest
2,34,141,1,20,0.957393484,423,0.31578947399999996,6,True,True,0.92788790437903,True,1.0,True,0.8862246311210646,RandomForest
