dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
1,0,6,10,3,4,0.45,0,0,11.0,1.6,False,False,0.2256034511558237,False,0.3,False,0.4223737677439976,AdaBoost
1,0,17,528,11,33,0.387205387,0,0,0.0,1.0,True,True,0.8638172633332729,False,0.3,False,0.4071212415509636,Voting
1,0,5,3,2,3,0.7777777779999999,0,0,0.0,1.0,False,False,0.13780142024362338,False,0.0,False,0.0948198179664457,AdaBoost
1,0,32,0,3,3,0.4166666670000001,0,0,27.42857143,0.7143,False,False,0.16974722743340556,False,0.4,False,0.34567795105062393,AdaBoost
2,0,13,0,1,3,0.37142857100000004,1,1,35.25,0.875,True,False,0.13747599011783945,False,0.1,False,0.4029212130851068,AdaBoost
1,0,5,3,0,3,0.533333333,0,0,5.333333333,0.6667,False,False,0.14473968168629844,False,0.0,False,0.20188544437152234,AdaBoost
3,0,14,7,1,5,0.25,0,0,36.63636364,1.8182,False,False,0.26989848764336594,False,0.2,False,0.31329298955543866,AdaBoost
4,0,5,1,2,1,0.666666667,1,1,11.0,0.5,True,False,0.4879709575630893,False,0.2,False,0.281054512467448,AdaBoost
1,0,9,0,4,1,1.0,0,0,0.0,1.0,False,False,0.11605616031205615,False,0.0,False,0.08610326924974737,AdaBoost
1,0,4,0,1,4,0.583333333,0,0,8.5,0.75,True,False,0.15164655927133674,False,0.1,False,0.2701397563407301,AdaBoost
3,13,22,30,15,10,0.226190476,1,3,8.333333332999999,0.8333,False,True,0.9018747372633791,False,0.5,True,0.5561400437680799,RandomForest
3,0,21,59,9,13,0.26153846199999997,1,3,13.64285714,1.1429,False,False,0.1437256412991553,False,0.1,False,0.3944638178752192,AdaBoost
4,8,13,0,11,3,0.625,0,0,8.25,0.5,True,True,0.586623481917646,False,0.1,False,0.3870411486407659,Voting
4,0,8,3,0,1,0.666666667,2,2,15.33333333,0.6667,False,False,0.11587353081669953,False,0.0,False,0.19388396789609133,AdaBoost
1,0,7,0,7,1,1.0,0,0,0.0,1.0,False,False,0.1252178252778696,False,0.0,False,0.08831549716215065,AdaBoost
1,1,3,0,1,1,0.75,1,1,20.0,1.0,False,False,0.11286174276980565,False,0.4,False,0.3641745313799357,AdaBoost
0,0,21,9,2,3,0.457142857,0,0,50.33333333,1.6667,False,False,0.14304535649682207,False,0.2,False,0.34922077852070943,AdaBoost
1,0,2,0,1,1,1.0,0,0,6.0,0.0,False,False,0.08464441366270478,False,0.0,False,0.1131861107279952,AdaBoost
2,0,8,15,2,7,0.35714285700000004,1,20,5.0,0.8571,False,False,0.000265802330786768,False,0.0,False,0.046643709730499576,AdaBoost
1,0,9,0,2,2,0.666666667,0,0,18.66666667,0.3333,False,False,0.12258333441412055,False,0.2,False,0.4580588354899436,AdaBoost
1,1,15,45,4,12,0.35,0,0,9.933333333,1.2,False,False,0.2389601250514925,True,0.6,False,0.4012113902205151,AdaBoost
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False,False,0.11695223870917185,False,0.0,False,0.07187852576759797,AdaBoost
3,0,9,4,2,2,0.3,0,0,5.6,0.6,False,False,0.20815215654751493,False,0.3,False,0.3518762086406088,AdaBoost
1,0,7,6,1,4,0.625,0,0,8.75,0.75,False,False,0.14383495395151638,False,0.1,False,0.2839834695375379,AdaBoost
3,0,10,8,0,3,0.4,1,3,11.2,0.8,False,False,0.09261220347444282,False,0.1,False,0.22744962113333805,AdaBoost
1,0,6,3,2,2,0.333333333,0,0,9.333333332999999,0.6667,False,False,0.16562724680461496,False,0.2,False,0.27063274640174023,AdaBoost
4,0,11,73,3,13,0.257142857,1,16,15.57142857,1.5,False,False,0.0034987252488364287,False,0.2,False,0.3530541995671177,AdaBoost
2,6,26,105,12,22,0.113756614,1,3,8.703703704,1.0741,True,False,0.4198236344849592,False,0.2,False,0.43156663343891066,AdaBoost
2,2,7,15,2,4,0.28571428600000004,0,0,5.1428571430000005,1.0,False,False,0.250233570618534,False,0.4,False,0.3819192842117187,AdaBoost
3,0,8,0,2,2,0.4,0,0,12.66666667,1.0,False,False,0.2265649700602283,False,0.4,True,0.5857959160782819,AdaBoost
3,0,1,0,0,3,0.625,2,2,4.0,0.75,False,False,0.11095980070563204,False,0.15,False,0.2654371797795632,AdaBoost
1,0,8,1011,5,48,0.1825,0,0,13.06,1.5,False,True,0.6000674609655556,True,0.6,True,0.5819586346348543,AdaBoost
1,0,14,0,13,1,1.0,0,0,0.0,1.0,True,False,0.13300062660723147,False,0.0,False,0.1837271815216225,AdaBoost
1,0,4,1,1,3,0.5,0,0,14.33333333,1.0,False,False,0.1724356875850481,False,0.2,False,0.33373380829935057,AdaBoost
4,0,5,15,1,5,0.444444444,0,0,6.0,0.5,False,False,0.21935136699237767,False,0.2,False,0.1974067016375316,AdaBoost
2,0,1,3,0,3,0.666666667,1,2,3.0,0.3333,False,False,0.07866190576407213,False,0.0,False,0.070370672900396,AdaBoost
1,0,7,0,5,1,1.0,0,0,0.0,1.0,False,False,0.12046733403600535,False,0.0,False,0.0865397885957508,AdaBoost
1,0,20,178,15,12,0.276315789,0,0,42.95,2.85,False,True,0.8247015203671219,True,0.6,True,0.819619392483367,AdaBoost
1,0,6,1,2,1,0.5,0,0,9.5,0.5,False,False,0.14398723342300487,False,0.1,False,0.3564811095694635,AdaBoost
5,0,4,0,2,2,0.666666667,0,0,11.0,0.5,True,False,0.2158275965484372,False,0.0,False,0.28552827047838364,AdaBoost
1,0,38,1,37,2,0.875,0,0,0.0,1.0,False,True,0.7266417679741789,False,0.5,True,0.5983682377885639,RandomForest
1,0,4,0,1,4,0.5,0,0,15.25,1.0,False,True,0.5081409504560852,False,0.1,False,0.27030384344401104,AdaBoost
1,0,6,6,5,4,0.5625,0,0,0.0,1.0,False,False,0.16577088385368133,False,0.2,False,0.1435693112128268,AdaBoost
1,0,4,1,2,2,0.75,0,0,3.0,0.5,False,False,0.12053347913750295,False,0.0,False,0.03293028526792572,AdaBoost
5,1,9,1,2,1,0.666666667,1,1,12.0,0.5,False,True,0.5125361477828547,False,0.3,False,0.30172070002539403,AdaBoost
2,1,15,142,1,12,0.2,1,2,12.57142857,1.0,False,False,0.14438940502324474,False,0.4,True,0.5185155337225694,AdaBoost
3,0,7,1,0,1,0.666666667,1,1,8.5,0.5,False,False,0.1265920376455308,False,0.3,False,0.19592825149927506,AdaBoost
1,0,4,1,1,2,1.0,0,0,3.5,0.5,False,False,0.0986309618135458,False,0.0,False,0.039275467078136166,AdaBoost
1,0,7,22,3,4,0.35416666700000005,0,0,11.125,0.875,False,False,0.18016631226974064,False,0.4,False,0.20327039822811493,AdaBoost
3,0,10,0,1,2,0.5,1,1,44.0,1.0,False,False,0.15543943274523733,False,0.4,False,0.2991568150606785,AdaBoost
2,0,7,0,2,4,0.45,1,1,6.25,0.5,False,False,0.1316420657501242,False,0.3,False,0.3730272153706991,AdaBoost
2,0,4,7,0,4,0.375,1,1,10.5,1.0,False,False,0.1596748242333401,False,0.3,False,0.31180622809916697,AdaBoost
1,2,7,21,2,3,0.666666667,0,0,18.0,1.8571,False,False,0.26536277960062443,False,0.4,False,0.3903112222669712,AdaBoost
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False,False,0.11695223870917185,False,0.0,False,0.07187852576759797,AdaBoost
1,0,10,1,1,2,0.666666667,0,0,45.33333333,2.0,False,False,0.18249540449042775,False,0.5,False,0.4834834393129184,AdaBoost
3,0,5,0,1,4,0.533333333,1,1,5.6,0.6,True,False,0.15094769702706853,False,0.2,False,0.4664706292555356,AdaBoost
1,1,11,112,7,14,0.4875,0,0,16.0625,0.875,True,False,0.2276149601747353,False,0.4,False,0.465876991255515,AdaBoost
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False,False,0.08237149435747744,False,0.0,False,0.06612335652287757,AdaBoost
1,0,16,0,15,1,1.0,0,0,0.0,1.0,False,False,0.13650423656403846,False,0.0,False,0.18258424584287453,AdaBoost
3,0,14,235,4,23,0.18803418800000002,1,3,10.46153846,1.1923,False,False,0.16716982789088286,False,0.1,False,0.3932054530363582,AdaBoost
2,0,1,3,0,3,0.666666667,1,2,3.0,0.3333,False,False,0.07866190576407213,False,0.0,False,0.070370672900396,AdaBoost
3,0,16,7,2,3,0.4,1,1,16.5,1.0,False,True,0.5051245787242998,False,0.2,False,0.3449103203577976,AdaBoost
4,0,7,13,1,10,0.375,1,1,7.0,0.8,False,False,0.2056198792330671,False,0.0,False,0.0979832334656001,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.1512170640145067,False,0.0,False,0.10415315493824072,AdaBoost
5,3,12,0,3,8,0.296296296,0,0,20.77777778,1.1111,False,False,0.33639460659488324,False,0.3,True,0.5540695424232603,AdaBoost
3,4,11,10,4,1,0.44,0,0,5.6,0.2,True,False,0.3867259397523231,False,0.3,False,0.3533442058888678,AdaBoost
1,0,3,97,0,17,0.17222222199999998,0,0,7.833333333,0.8333,False,False,0.2427879882677646,False,0.3,False,0.3513859497785227,AdaBoost
3,0,7,15,1,2,0.4166666670000001,0,0,22.0,1.0,False,False,0.2216541894986919,False,0.4,True,0.5420876540863595,AdaBoost
2,0,2,9,1,6,0.5,0,0,5.666666667,0.8333,False,False,0.17471016121122973,False,0.2,False,0.08537887320236913,AdaBoost
0,0,5,1,1,2,0.75,0,0,28.0,0.5,False,False,0.08154961753154481,False,0.1,False,0.13664581124399422,AdaBoost
1,2,9,9,4,10,0.28571428600000004,0,0,7.3,1.2,False,True,0.5616601133159017,True,0.6,False,0.454746064521809,AdaBoost
3,0,12,3,0,1,0.666666667,1,3,21.33333333,0.6667,False,False,0.08228107177588344,False,0.2,False,0.1141009446637885,AdaBoost
1,0,4,0,1,6,0.333333333,0,0,6.166666667,0.8333,False,False,0.16084538910578866,False,0.3,True,0.5364050678906979,AdaBoost
3,0,2,1,1,3,0.666666667,0,0,3.666666667,0.6667,False,True,0.5024651256870538,True,1.0,True,0.9170787979326832,AdaBoost
1,0,7,36,4,9,0.311111111,0,0,0.0,1.0,False,False,0.1771214578338214,False,0.3,False,0.34969811710109083,AdaBoost
1,0,38,6646,14,113,0.081822203,0,0,9.883333333,1.5417,False,True,0.998998582960024,True,0.9,True,0.6999274007196822,AdaBoost
3,0,4,35,1,10,0.590909091,2,5,4.545454545,0.8182,False,False,0.07262273615061612,False,0.1,False,0.06650765296661842,AdaBoost
2,0,8,144,2,20,0.20625,0,0,6.05,0.95,False,False,0.2791152484440977,False,0.2,False,0.2921853453878329,AdaBoost
2,0,8,99,3,15,0.253333333,1,20,4.733333333,0.9333,False,False,0.006626957852365986,False,0.0,False,0.11157072655840332,AdaBoost
3,0,6,8,1,4,0.4,1,1,6.0,0.8,False,False,0.1594370082517635,False,0.1,False,0.3048826674096821,AdaBoost
1,0,6,4,1,4,0.5,0,0,4.25,0.75,False,False,0.13365403304299786,False,0.1,False,0.05392040586608071,AdaBoost
2,0,3,4,2,2,0.444444444,1,1,24.5,0.5,False,False,0.1261709487101744,False,0.0,False,0.21300580007672848,AdaBoost
2,0,73,41,72,8,0.37037037,1,1,23.9,1.8,False,True,0.9136552773522038,True,0.7,True,0.5410592766944767,AdaBoost
1,0,18,314,3,27,0.144827586,0,0,5.620689655,0.9655,False,True,0.8193631347261542,True,0.6,False,0.4981340540933409,AdaBoost
0,1,7,4,5,4,0.5,0,0,4.75,0.5,False,False,0.11488912788853492,False,0.2,False,0.21383359686975886,AdaBoost
2,1,24,1296,9,44,0.240566038,1,1,10.49056604,1.2642,True,True,0.9303313833169444,True,0.6,True,0.5525066396949361,AdaBoost
2,2,6,0,2,4,0.666666667,1,1,5.166666667,0.8333,False,False,0.4683224013580505,False,0.3,False,0.27635745428684605,AdaBoost
3,0,4,8,1,4,0.36,1,2,6.0,0.6,False,False,0.13587321738804967,False,0.3,False,0.24983639433514865,AdaBoost
1,7,11,24,7,5,0.444444444,0,0,12.66666667,1.0,False,True,0.5540937545663832,False,0.2,False,0.3718614314131733,AdaBoost
5,0,4,0,1,3,0.5555555560000001,0,0,9.666666667000001,0.6667,True,False,0.22588423794869536,False,0.1,False,0.16844921950799244,AdaBoost
1,0,6,3,4,2,0.833333333,0,0,6.666666667,1.0,False,False,0.1185352926682733,False,0.3,False,0.2221306546050523,AdaBoost
1,2,10,49,4,9,0.25974026,0,0,9.636363636,1.0,False,True,0.5504285664276846,False,0.2,False,0.3925349520952215,AdaBoost
3,0,4,1,0,1,0.75,1,1,3.5,0.5,True,False,0.4418155609978465,True,1.0,True,0.8795943421085286,AdaBoost
3,0,9,0,1,4,0.4375,0,0,19.4,0.6,True,False,0.18528685215863647,False,0.4,False,0.4755190968516166,AdaBoost
1,0,2,3,1,0,0.5,0,0,20.0,0.6667,False,False,0.13828725677105916,False,0.2,False,0.2498813963226478,AdaBoost
1,0,9,1,8,2,0.75,0,0,0.0,1.0,False,False,0.12952674361162192,False,0.5,False,0.3253597374378767,AdaBoost
3,0,8,0,3,5,0.47619047600000003,1,1,4.714285714,0.7143,True,False,0.14960659114828634,False,0.3,False,0.3398797068876987,AdaBoost
1,0,7,0,5,1,1.0,0,0,0.0,1.0,False,False,0.10189325272240957,False,0.0,False,0.11494523375959904,AdaBoost
1,0,16,190,3,20,0.225,0,0,0.0,1.0,False,True,0.5771135346105999,True,0.7,True,0.5251345067062291,AdaBoost
1,0,2,0,1,1,1.0,0,0,6.0,0.0,False,False,0.06576985533348259,False,0.0,False,0.18434307003690928,AdaBoost
1,0,11,11,4,7,0.4,0,0,8.0,0.5714,False,False,0.1401441958359839,False,0.2,False,0.43500168996386496,AdaBoost
2,27,32,0,27,6,0.34375,1,1,4.75,0.875,False,True,0.9856547482888991,True,0.8,True,0.6547508869845219,AdaBoost
1,0,20,66,7,11,0.333333333,0,0,5.166666667,0.9167,True,False,0.16902029416448192,False,0.3,False,0.3215870893218052,AdaBoost
1,0,8,6,5,4,0.75,0,0,0.0,1.0,False,False,0.1260627158742955,False,0.4,False,0.43357235128335664,AdaBoost
1,1,8,112,2,12,0.26666666699999997,0,0,8.125,1.25,True,False,0.21992921136900925,False,0.5,False,0.4705410656104891,AdaBoost
1,0,7,2,1,4,0.4375,0,0,12.2,1.4,False,True,0.5108591835574091,False,0.2,False,0.376081138880064,AdaBoost
3,0,32,245,19,24,0.16923076899999998,1,6,11.51851852,1.0741,False,False,0.13984028696142256,False,0.3,False,0.4236687099115748,AdaBoost
1,0,11,21,0,9,0.21111111100000002,0,0,8.3,0.9,False,False,0.16821316053131902,False,0.3,False,0.4579192634847074,AdaBoost
2,0,24,641,4,37,0.155263158,1,1,10.25641026,0.9744,False,True,0.5391410304476686,False,0.2,False,0.2955900178692986,AdaBoost
0,2,11,21,2,1,0.6,0,0,22.14285714,2.4286,False,True,0.6240560658564678,False,0.0,False,0.23864283128530595,AdaBoost
1,1,15,81,7,18,0.31578947399999996,0,0,23.78947368,2.1053,True,True,0.7329405041474476,True,0.9,True,0.5471340727822025,AdaBoost
2,0,14,102,4,16,0.1953125,0,0,7.375,0.9375,False,False,0.2358385523524073,False,0.2,False,0.1981522136739393,AdaBoost
2,0,3,1,2,1,1.0,0,0,13.5,0.5,False,False,0.10460571952491099,False,0.2,False,0.2930240789931146,AdaBoost
2,0,5,4,4,2,0.444444444,1,1,9.5,0.5,False,False,0.1244839081835824,False,0.1,False,0.3190560407577699,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.14780206322388648,False,0.0,False,0.048943818572286815,AdaBoost
0,2,10,6,2,1,0.5,0,0,20.0,2.0,False,False,0.2308800363827024,False,0.0,False,0.09503512907984002,AdaBoost
3,0,15,0,1,5,0.35714285700000004,1,1,15.375,0.875,False,False,0.1570894683815698,False,0.2,False,0.2980913976903197,AdaBoost
3,0,4,111,0,16,0.311111111,1,2,9.777777777999999,1.2778,False,True,0.5318858051474753,False,0.2,False,0.33533044251477,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.14780206322388648,False,0.0,False,0.048943818572286815,AdaBoost
2,0,14,198,8,16,0.217687075,1,3,4.619047619,0.8571,False,False,0.1419026194700504,False,0.0,False,0.049572919275442,AdaBoost
1,0,0,6,0,1,0.375,0,0,18.75,2.0,False,True,0.5843785547917341,False,0.3,False,0.2749822514431263,AdaBoost
3,0,4,1,0,1,0.666666667,1,1,4.5,0.5,False,False,0.1164092112165459,False,0.0,False,0.11219151860731276,AdaBoost
3,0,15,37,3,10,0.314285714,1,1,13.2,1.4,True,False,0.20654625495509574,False,0.4,True,0.5051575733400695,AdaBoost
3,0,3,3,1,1,0.7777777779999999,1,2,7.333333333,0.6667,False,False,0.10120953461449278,False,0.1,False,0.2993001478051586,AdaBoost
1,1,9,0,4,24,0.258241758,0,0,8.038461538,1.0,True,True,0.6529121379577535,True,0.8,True,0.5587762247776021,AdaBoost
1,0,5,0,1,2,0.666666667,0,0,18.0,0.5,True,False,0.10981243588380664,False,0.5,True,0.6629739993180194,AdaBoost
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False,False,0.14780206322388648,False,0.0,False,0.048943818572286815,AdaBoost
1,0,3,1,1,1,0.5,0,0,28.0,1.6667,True,False,0.19671033148470105,False,0.0,False,0.1404277436148577,AdaBoost
2,4,14,34,6,9,0.23076923100000002,0,0,13.23076923,1.1538,True,True,0.8009639836129988,False,0.5,False,0.3721924385928029,Voting
1,0,40,1,40,2,1.0,0,0,0.0,1.0,True,False,0.22885435623059994,False,0.3,False,0.27894681975685465,AdaBoost
3,0,7,3,1,4,0.375,1,1,6.5,0.8333,False,False,0.16183749249893645,False,0.0,False,0.2682077763379211,AdaBoost
2,0,7,9,3,6,0.444444444,1,20,4.5,0.8333,False,False,0.0043374783361462155,False,0.0,False,0.03524950455507063,AdaBoost
2,0,25,104,8,13,0.18125,1,1,16.52941176,0.7647,True,True,0.5099847685683612,False,0.1,False,0.3746076527495085,Voting
3,0,6,0,1,3,0.533333333,0,0,8.333333332999999,0.6667,True,False,0.17842429888012368,True,0.6,True,0.5479838836991682,AdaBoost
1,0,182,231,182,22,0.25974026,0,0,0.0,1.0,True,True,0.9667209056856564,True,1.0,True,0.9384329528401208,AdaBoost
2,0,9,15,0,4,0.25,1,2,14.0,1.0,False,False,0.13174647181546026,False,0.0,False,0.12779477360526598,AdaBoost
1,0,3,0,1,2,0.75,0,0,4.5,0.5,False,False,0.10168583284354396,False,0.03333333333333333,False,0.08845050546031334,AdaBoost
2,0,2,0,1,1,1.0,0,0,13.0,0.0,False,False,0.08484882400193466,False,0.0,False,0.2926563131297709,AdaBoost
3,0,14,57,4,10,0.24107142899999998,0,0,11.66666667,1.0667,False,True,0.5724383145608177,False,0.4,False,0.4436355592312081,AdaBoost
5,0,13,24,1,8,0.222222222,1,1,4.875,0.875,False,False,0.2207830339174357,False,0.3,False,0.3162320275129896,AdaBoost
3,0,25,22,1,5,0.272727273,2,3,31.16666667,0.9167,False,False,0.09468817632096832,False,0.2,False,0.24164717577019484,AdaBoost
1,0,6,0,1,4,0.45833333299999995,0,0,20.75,1.25,False,True,0.503257864662738,False,0.1,False,0.33185079985912924,AdaBoost
4,0,17,72,7,16,0.21875,1,1,8.0625,0.8125,False,True,0.5627156617243921,False,0.1,False,0.264305380443985,AdaBoost
1,1,3,3,3,6,0.666666667,0,0,8.0,0.8333,True,False,0.14473355517795478,False,0.1,False,0.25166117853224784,AdaBoost
1,0,16,24,1,1,0.4166666670000001,1,4,25.44444444,2.1111,False,False,0.10112170573722873,False,0.2,False,0.2299593751951679,AdaBoost
4,1,5,0,2,1,1.0,0,0,8.0,0.0,False,False,0.1339532198846431,False,0.3,False,0.26769130936324026,AdaBoost
3,0,24,4,2,3,0.583333333,0,0,36.25,1.0,False,True,0.5029586868894605,False,0.5,False,0.4422707714714709,AdaBoost
3,1,20,55,3,11,0.20535714300000002,1,2,12.14285714,1.2143,False,False,0.18419175298333634,True,0.7,False,0.2959881294140806,AdaBoost
2,0,11,17,6,6,0.375,0,0,11.57142857,1.0,False,True,0.5309522710206412,False,0.5,False,0.4726063907502837,AdaBoost
1,0,12,0,2,2,0.571428571,0,0,32.5,0.5,True,False,0.11180298523029762,False,0.0,False,0.23363971495397035,AdaBoost
1,0,4,39,0,13,0.26153846199999997,0,0,15.14285714,0.8571,False,False,0.1873054716868396,False,0.1,False,0.2709635720223698,AdaBoost
6,0,14,10,1,4,0.3666666670000001,0,0,14.4,0.6,False,False,0.2466010397723351,False,0.2,False,0.21173338284944573,AdaBoost
1,0,5,3,1,3,0.666666667,0,0,18.33333333,1.3333,False,False,0.15147749254075793,False,0.2,False,0.2435186802439216,AdaBoost
3,0,3,1,1,1,0.666666667,1,2,7.5,0.5,False,False,0.10325389585466116,False,0.3,False,0.2574594584664753,AdaBoost
1,0,2,1,0,2,0.75,0,0,2.5,0.5,False,False,0.10054834111062112,False,0.2,False,0.11873024567595104,AdaBoost
4,0,11,0,1,1,0.291666667,2,4,43.55555556,0.7778,False,False,0.11199093442825664,False,0.0,False,0.27887753047607344,AdaBoost
4,1,9,1,5,2,0.75,0,0,1.5,0.5,False,False,0.18365672940301125,True,0.6,False,0.3486312303253443,AdaBoost
1,0,10,0,5,10,0.257142857,0,0,12.3,0.9,False,False,0.1817077818451707,False,0.5,False,0.4218747895597795,AdaBoost
2,0,6,3,3,1,0.5,1,1,19.0,1.3333,False,False,0.4920147698456277,False,0.5,False,0.4609658989548238,AdaBoost
3,0,6,1,0,1,0.666666667,1,2,18.5,0.5,False,False,0.09851221036823048,False,0.3,False,0.3172205549500427,AdaBoost
2,2,14,5,5,4,0.3666666670000001,0,0,14.66666667,1.1667,True,False,0.2372914914465325,False,0.4,False,0.4237755213357741,AdaBoost
2,0,10,178,4,16,0.22142857100000002,1,3,4.65,0.85,False,False,0.1367312836431672,False,0.0,False,0.06577247098963011,AdaBoost
2,0,3,1,2,1,1.0,0,0,19.0,0.5,False,False,0.10545339132632377,False,0.2,False,0.2818178547642829,AdaBoost
1,0,7,29,2,9,0.444444444,0,0,9.5,1.6,True,False,0.2009323625234432,False,0.3,False,0.3101491630493584,AdaBoost
3,0,6,61,1,14,0.3666666670000001,1,3,10.0,0.9333,False,False,0.14426092410660882,False,0.0,False,0.18198559334045214,AdaBoost
1,0,11,45,8,10,0.255555556,0,0,0.0,1.0,False,True,0.5695081631924968,False,0.5,False,0.4149067204434376,AdaBoost
4,0,6,15,0,5,0.3,0,0,6.5,0.3333,False,False,0.2670995633489303,False,0.1,False,0.2961812051937184,AdaBoost
1,0,6,6,4,4,0.55,0,0,0.0,1.0,False,False,0.18201572886037026,False,0.2,False,0.1856273611754091,AdaBoost
3,0,8,0,1,2,0.5,0,0,48.5,0.5,False,True,0.5399856081642865,False,0.3,False,0.3175420164618654,AdaBoost
3,0,8,3,0,2,0.666666667,1,1,12.0,0.6667,False,False,0.13895660151768272,False,0.3,False,0.29673935856248457,AdaBoost
3,0,4,10,1,3,0.46666666700000003,1,1,5.2,0.8,False,False,0.17139210490882115,False,0.0,False,0.11922246773124867,AdaBoost
1,0,1,0,1,4,0.625,0,0,11.5,0.75,False,False,0.18039523795229814,False,0.0,False,0.3302797793677146,AdaBoost
1,0,4,6,1,4,1.0,0,0,3.75,0.75,False,False,0.11921670356328737,False,0.0,False,0.08742268450830377,AdaBoost
1,0,28,17,2,3,0.28571428600000004,1,4,24.71428571,0.5714,False,False,0.02548331563117565,False,0.3,False,0.2911258054375145,AdaBoost
