wmc,npm,loc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
1,1,4,False,False,0.021310897246586653,False,0.0,False,2.2204460492503185e-16,RandomForest
7,7,58,False,False,0.038733476357143935,False,0.0,False,0.10000000000000002,RandomForest
1,1,4,False,False,0.021310897246586653,False,0.0,False,2.2204460492503185e-16,RandomForest
11,11,54,False,False,0.046968717481713884,False,0.2,False,0.2898979482640736,RandomForest
14,14,209,False,True,0.5027946195153724,False,0.0,False,0.179128784747792,RandomForest
0,0,6,False,False,0.02136260030327079,False,0.0,False,2.2204460492503185e-16,RandomForest
2,2,10,False,False,0.02290728814517685,False,0.0,False,2.2204460492503185e-16,RandomForest
3,3,14,False,False,0.02418396343600399,False,0.0,False,2.2204460492503185e-16,RandomForest
1,1,4,False,False,0.02131089724658607,False,0.0,False,2.2204460492503185e-16,RandomForest
4,4,30,False,False,0.028409628778547955,False,0.0,False,2.2204460492503185e-16,RandomForest
7,7,39,False,False,0.032963138131029364,False,0.0,False,2.2204460492503185e-16,RandomForest
21,21,181,True,True,0.7509531977514793,False,0.5,True,0.7425665529227266,RandomForest
1,1,4,False,False,0.02131089724658617,False,0.0,False,2.2204460492503185e-16,RandomForest
8,8,88,False,False,0.05212399748875583,False,0.0,False,8.971193463073376e-09,RandomForest
8,8,47,False,False,0.03642334354166493,False,0.0,False,2.2204460492503185e-16,RandomForest
6,6,34,False,False,0.030740023487062337,False,0.0,False,3.813873091770083e-07,RandomForest
25,25,201,False,True,0.8488275694423099,True,1.0,True,0.7907846123994695,RandomForest
4,4,28,False,False,0.027912633521892927,False,0.0,False,2.2204460492503185e-16,RandomForest
9,9,51,False,False,0.03929851657618389,False,0.0,False,2.2204460492503185e-16,RandomForest
6,6,83,False,False,0.047668285328419685,False,0.2,False,4.967053706610929e-09,RandomForest
0,0,4,False,False,0.02097008269483984,False,0.0,False,2.2204460492503185e-16,RandomForest
11,11,95,False,False,0.06870307103147576,False,0.3,True,0.6000000000000001,RandomForest
7,7,42,False,False,0.033801649415594034,False,0.0,False,2.2204460492503185e-16,RandomForest
2,2,10,False,False,0.022907288145176296,False,0.0,False,2.2204460492503185e-16,RandomForest
0,0,4,False,False,0.020970082694839704,False,0.0,False,2.2204460492503185e-16,RandomForest
0,0,4,False,False,0.020970082694839704,False,0.0,False,2.2204460492503185e-16,RandomForest
4,4,39,False,False,0.030781279275270895,False,0.0,False,2.2204460492503185e-16,RandomForest
29,29,348,True,True,0.5178880593616358,False,0.5,False,0.5,Voting
5,5,44,False,False,0.032776566869274874,False,0.0,False,2.2204460492503185e-16,RandomForest
4,4,23,False,False,0.026712987124635882,False,0.0,False,2.2204460492503185e-16,RandomForest
19,19,162,True,True,0.7400470969844809,True,0.6,True,0.6626136457566241,RandomForest
4,4,23,False,False,0.026712987124635882,False,0.0,False,2.2204460492503185e-16,RandomForest
8,8,47,False,False,0.03642334354166495,False,0.0,False,2.2204460492503185e-16,RandomForest
9,9,55,False,False,0.04061485848348085,False,0.0,False,2.2204460492503185e-16,RandomForest
7,7,67,True,False,0.035900868997219185,False,0.2,False,0.10000000000000002,RandomForest
9,9,68,False,False,0.3786470053600153,True,0.6,False,0.4000000000000001,RandomForest
4,4,38,False,False,0.030506135643259463,False,0.0,False,2.2204460492503185e-16,RandomForest
3,3,111,False,False,0.06547238720783588,False,0.0,False,2.2204460492503185e-16,RandomForest
14,14,126,False,False,0.23431432181929224,False,0.0,False,2.2204460492503185e-16,RandomForest
2,2,2,False,False,0.021317183677681872,False,0.0,False,2.2204460492503185e-16,RandomForest
5,3,45,False,False,0.019995514471360457,False,0.0,False,8.291635586283767e-07,RandomForest
0,0,3,False,False,0.020772806469504825,False,0.0,False,2.2204460492503185e-16,RandomForest
4,4,22,False,False,0.026476496668365226,False,0.0,False,2.2204460492503185e-16,RandomForest
