wmc,rfc,loc,cam,amc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
5,22,167,0.44,32.2,False,False,0.20478681290114092,False,0.2,True,0.5358983876514836,Voting,Voting,False,0.20478681290114092
2,3,51,1.0,21.5,False,False,0.06467575519034757,False,0.0,False,0.10000000000000002,Voting,Voting,False,0.06467575519034757
7,51,590,0.333333333,81.0,True,True,0.9982603601065841,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9982603601065841
6,9,116,0.4,17.16666667,False,False,0.2268881468968481,False,0.4,False,0.10000000000000002,Voting,Voting,False,0.2268881468968481
2,2,2,0.75,0.0,False,False,0.0641483028517561,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.0641483028517561
5,11,64,0.6,11.6,False,False,0.0947929206473845,True,0.9,True,0.7,Voting,Voting,False,0.0947929206473845
2,3,16,0.666666667,6.5,False,False,0.06858450667310077,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06858450667310077
4,10,55,0.333333333,11.25,True,False,0.08919372616280796,True,0.6,False,0.29999999999999993,RandomForest,RandomForest,True,0.6
3,25,172,0.5555555560000001,56.33333333,True,False,0.11055629949047344,True,0.6,False,0.2,RandomForest,RandomForest,True,0.6
4,4,4,0.666666667,0.0,False,False,0.07269788942249063,False,0.1,False,0.29999999999999993,Voting,Voting,False,0.07269788942249063
7,14,34,0.14285714300000002,3.857142857,False,False,0.2509342868360936,False,0.4,False,0.4000000000000001,Voting,Voting,False,0.2509342868360936
1,2,5,1.0,4.0,False,False,0.0637250378007268,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.0637250378007268
4,9,114,0.5,25.75,True,False,0.4409602834913247,True,0.7,False,0.4000000000000001,RandomForest,RandomForest,True,0.7
13,75,390,0.240384615,28.46153846,True,True,0.9295452848124612,True,0.7,True,0.8,Voting,Voting,True,0.9295452848124612
1,1,1,1.0,0.0,False,False,0.07168357693419221,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.07168357693419221
2,3,16,0.666666667,6.5,False,False,0.07327429433951532,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.07327429433951532
32,167,2353,0.267857143,71.5625,True,True,1.0,True,1.0,True,0.9999999999999998,Voting,Voting,True,1.0
2,20,72,1.0,35.0,False,False,0.030491633200477174,False,0.1,False,2.2204460492503185e-16,Voting,Voting,False,0.030491633200477174
2,3,16,0.666666667,6.5,False,False,0.0816037015898249,False,0.0,False,1.762838972778961e-11,Voting,Voting,False,0.0816037015898249
2,3,16,0.666666667,6.5,False,False,0.08195250195997933,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.08195250195997933
7,50,693,0.333333333,95.14285714,True,True,0.9988020744431296,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9988020744431296
2,2,2,0.666666667,0.0,False,False,0.08325444035494711,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.08325444035494711
3,16,168,0.666666667,55.0,False,False,0.1482567827370048,False,0.5,False,0.2500000000000001,Voting,Voting,False,0.1482567827370048
4,10,151,0.75,36.25,False,False,0.15747861999829255,False,0.5,False,0.2,Voting,Voting,False,0.15747861999829255
1,2,8,1.0,7.0,False,False,0.05510813007067945,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05510813007067945
1,2,40,1.0,30.0,False,False,0.04050651542779672,False,0.0,False,3.598876657685977e-07,Voting,Voting,False,0.04050651542779672
6,49,540,0.4,86.5,True,True,0.9871985169171548,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9871985169171548
6,9,92,0.4,13.5,False,True,0.5455425949160283,True,0.6,False,0.3549723801817277,AdaBoost,AdaBoost,False,0.3549723801817277
13,35,215,0.33846153799999995,15.46153846,True,True,0.5128054583428386,False,0.5,False,0.2,Voting,Voting,True,0.5128054583428386
