wmc,npm,loc,bug,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
7,7,58,False,False,0.13016475279374348,False,0.0,False,0.10447098060438886,Voting,Voting,False,0.13016475279374348
1,1,4,False,False,0.038643213631685394,False,0.0,False,0.010611244637948,Voting,Voting,False,0.038643213631685394
11,11,54,False,False,0.22257843064341087,False,0.2,True,0.5264037750776956,Voting,Voting,False,0.22257843064341087
14,14,209,False,True,0.6581765235307838,True,0.6,False,0.5,AdaBoost,AdaBoost,False,0.5
0,0,6,False,False,0.03412176010678178,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.03412176010678178
2,2,10,False,False,0.04374631364524334,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.04374631364524334
3,3,14,False,False,0.04869511604615915,False,0.0,False,7.440070496315436e-06,Voting,Voting,False,0.04869511604615915
1,1,4,False,False,0.030365232666487094,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.030365232666487094
4,4,30,False,False,0.07377937022103905,False,0.0,False,0.015339519105690529,Voting,Voting,False,0.07377937022103905
7,7,39,False,False,0.13063155311760702,False,0.0,False,0.03706543588735246,Voting,Voting,False,0.13063155311760702
21,21,181,True,True,0.9893614165119397,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9893614165119397
1,1,4,False,False,0.03565002124605176,False,0.0,False,0.03108848122428727,Voting,Voting,False,0.03565002124605176
8,8,88,False,True,0.5135823309123505,True,0.9,False,0.35365077265466804,AdaBoost,AdaBoost,False,0.35365077265466804
8,8,47,False,False,0.12301583729222787,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.12301583729222787
6,6,34,False,False,0.10457358747182817,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.10457358747182817
25,25,201,False,True,0.9964722466417276,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9964722466417276
4,4,28,False,False,0.05457046056577125,False,0.0,False,2.6286293900382926e-08,Voting,Voting,False,0.05457046056577125
9,9,51,False,False,0.1770620283137533,False,0.0,False,0.05331588257584422,Voting,Voting,False,0.1770620283137533
6,6,83,False,False,0.12290505089454308,False,0.1,True,0.5977468278814134,Voting,Voting,False,0.12290505089454308
0,0,4,False,False,0.032268972348115765,False,0.0,False,9.373324083407122e-14,Voting,Voting,False,0.032268972348115765
11,11,95,False,True,0.6825951594841504,True,1.0,True,0.6000000000000001,Voting,Voting,True,0.6825951594841504
7,7,42,False,False,0.1111807678924614,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.1111807678924614
2,2,10,False,False,0.04019122304211346,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.04019122304211346
0,0,4,False,False,0.04234562712072985,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.04234562712072985
0,0,4,False,False,0.0263079809446779,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.0263079809446779
4,4,39,False,False,0.06517442275441776,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06517442275441776
29,29,348,True,True,0.6663744484826601,False,0.4,False,0.3549723794374982,Voting,Voting,True,0.6663744484826601
5,5,44,False,False,0.10228671965350282,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.10228671965350282
4,4,23,False,False,0.054409713451980944,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.054409713451980944
19,19,162,True,True,0.9781656146162958,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9781656146162958
4,4,23,False,False,0.06653864654711117,False,0.0,False,0.004101956362791021,Voting,Voting,False,0.06653864654711117
8,8,47,False,False,0.10799074235471012,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.10799074235471012
9,9,55,False,False,0.14042646908725218,False,0.1,False,0.003900941112573565,Voting,Voting,False,0.14042646908725218
7,7,67,True,False,0.08799041169251885,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.08799041169251885
9,9,68,False,True,0.5324433935382463,True,1.0,True,0.9999999999408457,Voting,Voting,True,0.5324433935382463
4,4,38,False,False,0.08951686976809413,False,0.0,False,0.01745567163108673,Voting,Voting,False,0.08951686976809413
3,3,111,False,False,0.18702468314974466,False,0.2,False,2.2204460492503185e-16,Voting,Voting,False,0.18702468314974466
14,14,126,False,True,0.9281672070516062,True,1.0,True,0.9999999999823715,Voting,Voting,True,0.9281672070516062
2,2,2,False,False,0.037421762899110006,False,0.0,False,1.4732893144241102e-05,Voting,Voting,False,0.037421762899110006
5,3,45,False,False,0.03102512078794816,False,0.0,False,0.00015154513148849346,Voting,Voting,False,0.03102512078794816
0,0,3,False,False,0.02679762247140272,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.02679762247140272
4,4,22,False,False,0.056675131581370164,False,0.0,False,0.007682504783721961,Voting,Voting,False,0.056675131581370164
