rfc,npm,bug
7,2,True
7,2,True
29,14,True
29,9,True
12,8,True
23,12,True
55,5,True
3,2,True
26,5,True
37,7,True
3,2,True
7,2,True
46,9,True
44,44,True
23,2,True
32,3,True
15,3,True
1,1,True
7,3,True
16,9,True
55,38,True
49,0,True
45,19,True
3,2,True
15,7,True
34,7,True
12,3,True
55,12,True
7,3,True
50,10,True
34,8,True
30,3,True
41,4,True
33,30,True
1,1,True
26,11,True
14,1,True
151,55,True
48,16,True
33,6,True
3,2,True
23,0,True
9,5,True
2,1,True
4,2,True
16,13,True
68,29,True
23,6,True
23,0,True
4,3,True
17,3,True
8,0,True
15,3,True
2,1,True
13,5,True
5,0,False
8,3,True
68,29,True
3,2,True
7,3,True
196,48,True
24,2,True
35,6,True
4,4,True
21,10,True
45,9,True
44,6,True
4,2,True
7,3,True
19,5,True
159,79,True
29,8,True
0,0,True
47,2,True
8,2,True
24,3,True
23,0,True
50,16,True
3,2,True
13,7,True
11,3,True
17,4,True
3,2,True
2,1,True
37,4,True
13,2,True
39,16,True
83,9,True
18,5,True
46,10,True
17,13,True
9,2,False
9,2,True
4,1,True
24,16,True
18,6,True
54,29,True
12,4,True
5,2,True
1,1,True
3,2,True
12,3,True
11,2,True
9,4,True
37,2,True
7,7,True
49,0,True
40,7,True
3,2,True
4,2,True
17,4,True
10,2,True
12,2,True
11,3,True
13,3,True
23,0,True
3,2,True
56,5,True
120,42,True
10,2,True
6,5,True
6,1,True
5,2,True
1,1,True
6,2,True
198,66,True
4,2,True
107,22,True
13,3,True
154,23,True
14,4,True
23,2,True
18,9,True
118,52,True
2,1,True
41,2,True
5,5,True
84,45,True
15,10,True
15,4,True
46,13,True
2,1,True
173,118,True
205,48,True
10,4,True
15,12,True
3,2,True
26,3,True
20,8,True
5,2,True
20,8,True
44,4,True
3,2,True
41,6,True
23,12,True
199,66,True
100,46,True
1,1,True
9,9,True
3,2,True
10,5,True
8,8,True
49,16,True
15,3,True
19,8,True
3,2,True
60,34,True
74,31,True
20,12,True
82,17,True
2,1,True
15,3,True
10,0,True
11,6,True
20,0,True
4,3,True
51,14,True
3,2,True
5,0,False
3,2,True
4,4,True
56,6,True
6,5,True
18,5,True
15,3,True
25,4,True
56,19,True
0,0,True
128,8,True
65,7,True
18,3,True
3,2,True
38,3,True
2,1,True
125,77,True
20,12,True
9,4,True
14,14,True
20,0,True
6,2,True
208,59,True
151,10,True
43,7,True
23,0,True
48,19,True
9,9,True
3,2,True
45,3,True
10,1,True
3,2,True
3,2,True
43,8,True
2,1,True
15,3,True
45,8,True
1,1,True
104,9,True
15,3,True
44,14,True
20,12,True
11,0,True
7,2,True
17,3,True
70,6,True
4,3,True
2,1,True
49,0,True
131,44,True
43,10,True
15,3,True
49,0,True
16,7,True
6,4,True
20,0,True
36,5,True
5,3,True
18,9,True
10,2,True
23,0,True
4,3,True
16,1,True
1,1,True
3,2,True
17,5,True
67,67,True
2,1,True
4,4,True
26,4,True
11,5,True
2,1,True
101,13,True
4,3,True
32,7,True
10,0,True
3,2,True
11,3,True
5,0,False
15,3,True
66,6,True
7,2,True
2,1,True
5,4,True
26,3,True
39,3,True
3,1,True
22,5,True
9,3,True
6,6,True
3,2,True
21,8,True
11,3,True
9,5,True
11,5,True
4,2,True
21,3,True
19,6,True
23,0,True
74,5,True
0,0,True
138,68,True
15,3,True
35,4,True
8,2,True
56,30,True
16,3,True
46,4,True
3,2,True
15,4,True
36,6,True
40,13,True
37,5,True
14,2,True
37,37,True
15,3,True
1,1,True
9,2,True
15,3,True
15,3,True
15,3,True
7,3,True
19,9,True
7,2,True
15,3,True
20,0,True
23,0,True
42,21,True
41,10,True
44,2,True
78,29,True
2,0,True
20,0,True
5,3,True
1,1,True
13,4,True
8,5,True
2,2,True
30,7,True
49,0,True
36,4,True
2,1,True
7,3,True
62,3,True
90,39,True
15,3,True
34,1,True
2,1,True
19,10,True
20,10,True
15,3,True
113,15,True
68,38,True
3,2,True
15,3,True
14,4,True
27,4,True
27,6,True
53,10,True
15,3,True
32,3,True
16,3,True
49,0,True
38,4,True
56,9,True
6,4,True
25,6,True
15,3,True
13,3,True
3,2,True
0,0,True
21,4,True
26,15,True
42,14,True
19,2,True
3,2,True
6,2,True
8,3,True
15,3,True
5,3,True
3,2,True
98,33,True
78,20,True
19,19,True
2,1,True
7,2,True
20,0,True
16,3,True
7,2,True
21,10,True
48,24,True
