dit,noc,cbo,lcom,ca,npm,cam,ic,cbm,amc,avg_cc,bug
1,0,5,3,0,3,0.533333333,0,0,5.333333333,0.6667,False
3,0,14,7,1,5,0.25,0,0,36.63636364,1.8182,False
4,0,5,1,2,1,0.666666667,1,1,11.0,0.5,True
1,0,9,0,4,1,1.0,0,0,0.0,1.0,False
1,0,4,0,1,4,0.583333333,0,0,8.5,0.75,True
3,13,22,30,15,10,0.226190476,1,3,8.333333332999999,0.8333,False
3,0,21,59,9,13,0.26153846199999997,1,3,13.64285714,1.1429,False
4,8,13,0,11,3,0.625,0,0,8.25,0.5,True
4,0,8,3,0,1,0.666666667,2,2,15.33333333,0.6667,False
1,0,7,0,7,1,1.0,0,0,0.0,1.0,False
1,1,3,0,1,1,0.75,1,1,20.0,1.0,False
0,0,21,9,2,3,0.457142857,0,0,50.33333333,1.6667,False
1,0,2,0,1,1,1.0,0,0,6.0,0.0,False
2,0,8,15,2,7,0.35714285700000004,1,20,5.0,0.8571,False
1,0,9,0,2,2,0.666666667,0,0,18.66666667,0.3333,False
1,1,15,45,4,12,0.35,0,0,9.933333333,1.2,False
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False
3,0,9,4,2,2,0.3,0,0,5.6,0.6,False
1,0,7,6,1,4,0.625,0,0,8.75,0.75,False
3,0,10,8,0,3,0.4,1,3,11.2,0.8,False
1,0,6,3,2,2,0.333333333,0,0,9.333333332999999,0.6667,False
4,0,11,73,3,13,0.257142857,1,16,15.57142857,1.5,False
2,6,26,105,12,22,0.113756614,1,3,8.703703704,1.0741,True
2,2,7,15,2,4,0.28571428600000004,0,0,5.1428571430000005,1.0,False
3,0,8,0,2,2,0.4,0,0,12.66666667,1.0,False
3,0,1,0,0,3,0.625,2,2,4.0,0.75,False
1,0,8,1011,5,48,0.1825,0,0,13.06,1.5,False
1,0,14,0,13,1,1.0,0,0,0.0,1.0,True
1,0,4,1,1,3,0.5,0,0,14.33333333,1.0,False
4,0,5,15,1,5,0.444444444,0,0,6.0,0.5,False
2,0,1,3,0,3,0.666666667,1,2,3.0,0.3333,False
1,0,7,0,5,1,1.0,0,0,0.0,1.0,False
1,0,20,178,15,12,0.276315789,0,0,42.95,2.85,False
1,0,6,1,2,1,0.5,0,0,9.5,0.5,False
5,0,4,0,2,2,0.666666667,0,0,11.0,0.5,True
1,0,38,1,37,2,0.875,0,0,0.0,1.0,False
1,0,4,0,1,4,0.5,0,0,15.25,1.0,False
1,0,6,6,5,4,0.5625,0,0,0.0,1.0,False
1,0,4,1,2,2,0.75,0,0,3.0,0.5,False
5,1,9,1,2,1,0.666666667,1,1,12.0,0.5,False
2,1,15,142,1,12,0.2,1,2,12.57142857,1.0,False
3,0,7,1,0,1,0.666666667,1,1,8.5,0.5,False
1,0,4,1,1,2,1.0,0,0,3.5,0.5,False
1,0,7,22,3,4,0.35416666700000005,0,0,11.125,0.875,False
3,0,10,0,1,2,0.5,1,1,44.0,1.0,False
2,0,7,0,2,4,0.45,1,1,6.25,0.5,False
2,0,4,7,0,4,0.375,1,1,10.5,1.0,False
1,2,7,21,2,3,0.666666667,0,0,18.0,1.8571,False
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False
1,0,10,1,1,2,0.666666667,0,0,45.33333333,2.0,False
3,0,5,0,1,4,0.533333333,1,1,5.6,0.6,True
1,1,11,112,7,14,0.4875,0,0,16.0625,0.875,True
1,0,0,0,0,0,1.0,0,0,3.0,0.0,False
1,0,16,0,15,1,1.0,0,0,0.0,1.0,False
3,0,14,235,4,23,0.18803418800000002,1,3,10.46153846,1.1923,False
2,0,1,3,0,3,0.666666667,1,2,3.0,0.3333,False
3,0,16,7,2,3,0.4,1,1,16.5,1.0,False
4,0,7,13,1,10,0.375,1,1,7.0,0.8,False
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False
5,3,12,0,3,8,0.296296296,0,0,20.77777778,1.1111,False
3,4,11,10,4,1,0.44,0,0,5.6,0.2,True
1,0,3,97,0,17,0.17222222199999998,0,0,7.833333333,0.8333,False
3,0,7,15,1,2,0.4166666670000001,0,0,22.0,1.0,False
2,0,2,9,1,6,0.5,0,0,5.666666667,0.8333,False
0,0,5,1,1,2,0.75,0,0,28.0,0.5,False
1,2,9,9,4,10,0.28571428600000004,0,0,7.3,1.2,False
3,0,12,3,0,1,0.666666667,1,3,21.33333333,0.6667,False
1,0,4,0,1,6,0.333333333,0,0,6.166666667,0.8333,False
3,0,2,1,1,3,0.666666667,0,0,3.666666667,0.6667,False
1,0,7,36,4,9,0.311111111,0,0,0.0,1.0,False
1,0,38,6646,14,113,0.081822203,0,0,9.883333333,1.5417,False
3,0,4,35,1,10,0.590909091,2,5,4.545454545,0.8182,False
2,0,8,144,2,20,0.20625,0,0,6.05,0.95,False
2,0,8,99,3,15,0.253333333,1,20,4.733333333,0.9333,False
3,0,6,8,1,4,0.4,1,1,6.0,0.8,False
1,0,6,4,1,4,0.5,0,0,4.25,0.75,False
2,0,3,4,2,2,0.444444444,1,1,24.5,0.5,False
2,0,73,41,72,8,0.37037037,1,1,23.9,1.8,False
1,0,18,314,3,27,0.144827586,0,0,5.620689655,0.9655,False
0,1,7,4,5,4,0.5,0,0,4.75,0.5,False
2,1,24,1296,9,44,0.240566038,1,1,10.49056604,1.2642,True
2,2,6,0,2,4,0.666666667,1,1,5.166666667,0.8333,False
3,0,4,8,1,4,0.36,1,2,6.0,0.6,False
1,7,11,24,7,5,0.444444444,0,0,12.66666667,1.0,False
5,0,4,0,1,3,0.5555555560000001,0,0,9.666666667000001,0.6667,True
1,0,6,3,4,2,0.833333333,0,0,6.666666667,1.0,False
1,2,10,49,4,9,0.25974026,0,0,9.636363636,1.0,False
3,0,4,1,0,1,0.75,1,1,3.5,0.5,True
3,0,9,0,1,4,0.4375,0,0,19.4,0.6,True
1,0,2,3,1,0,0.5,0,0,20.0,0.6667,False
1,0,9,1,8,2,0.75,0,0,0.0,1.0,False
3,0,8,0,3,5,0.47619047600000003,1,1,4.714285714,0.7143,True
1,0,7,0,5,1,1.0,0,0,0.0,1.0,False
1,0,16,190,3,20,0.225,0,0,0.0,1.0,False
1,0,2,0,1,1,1.0,0,0,6.0,0.0,False
1,0,11,11,4,7,0.4,0,0,8.0,0.5714,False
2,27,32,0,27,6,0.34375,1,1,4.75,0.875,False
1,0,20,66,7,11,0.333333333,0,0,5.166666667,0.9167,True
1,0,8,6,5,4,0.75,0,0,0.0,1.0,False
1,1,8,112,2,12,0.26666666699999997,0,0,8.125,1.25,True
1,0,7,2,1,4,0.4375,0,0,12.2,1.4,False
3,0,32,245,19,24,0.16923076899999998,1,6,11.51851852,1.0741,False
1,0,11,21,0,9,0.21111111100000002,0,0,8.3,0.9,False
2,0,24,641,4,37,0.155263158,1,1,10.25641026,0.9744,False
0,2,11,21,2,1,0.6,0,0,22.14285714,2.4286,False
1,1,15,81,7,18,0.31578947399999996,0,0,23.78947368,2.1053,True
2,0,14,102,4,16,0.1953125,0,0,7.375,0.9375,False
2,0,3,1,2,1,1.0,0,0,13.5,0.5,False
2,0,5,4,4,2,0.444444444,1,1,9.5,0.5,False
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False
0,2,10,6,2,1,0.5,0,0,20.0,2.0,False
3,0,15,0,1,5,0.35714285700000004,1,1,15.375,0.875,False
3,0,4,111,0,16,0.311111111,1,2,9.777777777999999,1.2778,False
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False
2,0,14,198,8,16,0.217687075,1,3,4.619047619,0.8571,False
1,0,0,6,0,1,0.375,0,0,18.75,2.0,False
3,0,4,1,0,1,0.666666667,1,1,4.5,0.5,False
3,0,15,37,3,10,0.314285714,1,1,13.2,1.4,True
3,0,3,3,1,1,0.7777777779999999,1,2,7.333333333,0.6667,False
1,1,9,0,4,24,0.258241758,0,0,8.038461538,1.0,True
1,0,5,0,1,2,0.666666667,0,0,18.0,0.5,True
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False
1,0,3,1,1,1,0.5,0,0,28.0,1.6667,True
2,4,14,34,6,9,0.23076923100000002,0,0,13.23076923,1.1538,True
1,0,40,1,40,2,1.0,0,0,0.0,1.0,True
3,0,7,3,1,4,0.375,1,1,6.5,0.8333,False
2,0,7,9,3,6,0.444444444,1,20,4.5,0.8333,False
2,0,25,104,8,13,0.18125,1,1,16.52941176,0.7647,True
3,0,6,0,1,3,0.533333333,0,0,8.333333332999999,0.6667,True
1,0,182,231,182,22,0.25974026,0,0,0.0,1.0,True
2,0,9,15,0,4,0.25,1,2,14.0,1.0,False
1,0,3,0,1,2,0.75,0,0,4.5,0.5,False
2,0,2,0,1,1,1.0,0,0,13.0,0.0,False
3,0,14,57,4,10,0.24107142899999998,0,0,11.66666667,1.0667,False
5,0,13,24,1,8,0.222222222,1,1,4.875,0.875,False
3,0,25,22,1,5,0.272727273,2,3,31.16666667,0.9167,False
1,0,6,0,1,4,0.45833333299999995,0,0,20.75,1.25,False
4,0,17,72,7,16,0.21875,1,1,8.0625,0.8125,False
1,1,3,3,3,6,0.666666667,0,0,8.0,0.8333,True
1,0,16,24,1,1,0.4166666670000001,1,4,25.44444444,2.1111,False
4,1,5,0,2,1,1.0,0,0,8.0,0.0,False
3,0,24,4,2,3,0.583333333,0,0,36.25,1.0,False
3,1,20,55,3,11,0.20535714300000002,1,2,12.14285714,1.2143,False
2,0,11,17,6,6,0.375,0,0,11.57142857,1.0,False
1,0,12,0,2,2,0.571428571,0,0,32.5,0.5,True
1,0,4,39,0,13,0.26153846199999997,0,0,15.14285714,0.8571,False
6,0,14,10,1,4,0.3666666670000001,0,0,14.4,0.6,False
1,0,5,3,1,3,0.666666667,0,0,18.33333333,1.3333,False
3,0,3,1,1,1,0.666666667,1,2,7.5,0.5,False
1,0,2,1,0,2,0.75,0,0,2.5,0.5,False
4,0,11,0,1,1,0.291666667,2,4,43.55555556,0.7778,False
4,1,9,1,5,2,0.75,0,0,1.5,0.5,False
1,0,10,0,5,10,0.257142857,0,0,12.3,0.9,False
2,0,6,3,3,1,0.5,1,1,19.0,1.3333,False
3,0,6,1,0,1,0.666666667,1,2,18.5,0.5,False
2,2,14,5,5,4,0.3666666670000001,0,0,14.66666667,1.1667,True
2,0,10,178,4,16,0.22142857100000002,1,3,4.65,0.85,False
2,0,3,1,2,1,1.0,0,0,19.0,0.5,False
1,0,7,29,2,9,0.444444444,0,0,9.5,1.6,True
3,0,6,61,1,14,0.3666666670000001,1,3,10.0,0.9333,False
1,0,11,45,8,10,0.255555556,0,0,0.0,1.0,False
4,0,6,15,0,5,0.3,0,0,6.5,0.3333,False
1,0,6,6,4,4,0.55,0,0,0.0,1.0,False
3,0,8,0,1,2,0.5,0,0,48.5,0.5,False
3,0,8,3,0,2,0.666666667,1,1,12.0,0.6667,False
3,0,4,10,1,3,0.46666666700000003,1,1,5.2,0.8,False
1,0,1,0,1,4,0.625,0,0,11.5,0.75,False
1,0,4,6,1,4,1.0,0,0,3.75,0.75,False
1,0,28,17,2,3,0.28571428600000004,1,4,24.71428571,0.5714,False
3,3,9,37,3,4,0.3,1,1,10.27272727,0.8182,True
1,0,8,300,3,27,0.13636363599999998,0,0,7.428571429,1.1429,False
2,2,20,93,7,9,0.2,1,1,19.61111111,0.9444,True
2,0,2,7,0,6,0.314285714,1,1,4.285714286,0.7143,False
2,1,56,2573,15,61,0.069256757,1,1,18.82666667,1.36,True
2,0,9,10,3,5,0.36,1,1,5.0,0.6,False
2,1,45,992,2,42,0.093617021,0,0,15.72916667,1.2292,False
1,0,8,16,0,7,0.267857143,0,0,18.625,1.0,False
3,0,12,15,3,3,0.32857142899999997,1,2,20.85714286,1.2857,True
3,0,17,8,3,3,0.314285714,1,1,57.8,5.0,False
5,0,3,3,2,3,0.7777777779999999,0,0,4.333333333,0.0,False
4,0,2,0,1,3,0.5,0,0,9.666666667000001,0.6667,False
3,0,9,8,0,3,0.4,1,2,15.4,1.2,False
0,0,5,0,1,9,0.37037037,0,0,22.55555556,0.8889,False
2,0,15,11,3,6,0.355555556,1,1,16.6,1.1,True
0,0,17,102,4,10,0.222222222,0,0,10.3125,1.125,False
1,0,3,15,3,6,0.5555555560000001,0,0,0.0,1.0,False
4,0,3,1,2,2,0.833333333,0,0,4.5,0.0,False
3,0,9,26,1,9,0.307692308,1,1,16.15384615,1.3846,True
2,0,21,627,3,38,0.10526315800000001,0,0,7.368421053,1.0263,True
3,0,11,71,4,13,0.271428571,2,7,11.14285714,1.3571,False
2,0,13,54,1,4,0.305555556,1,1,15.76923077,1.1538,True
3,0,3,0,1,2,0.4375,2,3,20.25,1.25,False
0,0,10,2,1,3,0.833333333,0,0,16.0,0.5,False
1,4,5,9,5,5,0.5,0,0,2.666666667,0.6667,False
2,0,12,22,3,8,0.303571429,0,0,6.375,0.625,False
0,2,16,28,2,2,0.375,0,0,25.0,1.0,False
1,0,10,0,5,5,0.44,0,0,21.2,1.2,False
1,0,9,6,0,3,0.25,0,0,12.5,0.75,False
2,1,5,8,3,4,0.583333333,0,0,4.6,0.6,False
2,0,1,3,0,3,0.666666667,1,2,3.0,0.3333,False
2,0,9,15,3,7,0.35714285700000004,1,20,4.8571428569999995,0.8571,False
2,0,8,3,1,1,0.75,1,1,4.333333333,0.3333,False
1,0,1,1,1,2,1.0,0,0,0.0,1.0,False
1,0,7,0,1,4,0.4166666670000001,0,0,17.25,0.5,False
2,0,17,289,1,25,0.13636363599999998,0,0,9.423076923,1.1154,False
0,0,10,4,1,3,0.4375,0,0,19.0,2.25,False
2,0,10,30,3,9,0.333333333,1,21,5.1111111110000005,0.8889,False
1,0,4,3,1,3,0.666666667,0,0,19.0,2.3333,False
4,3,4,0,4,1,1.0,0,0,5.0,0.0,False
3,0,8,6,4,3,0.5625,0,0,14.5,1.0,True
4,0,9,30,1,9,0.355555556,2,3,7.222222222,0.5556,False
3,0,9,11,3,3,0.4,1,1,6.0,0.6667,False
1,0,12,1,2,1,0.666666667,1,1,36.0,0.5,False
1,0,1,0,1,1,1.0,0,0,0.0,1.0,False
2,0,1,3,0,3,0.666666667,1,2,3.0,0.3333,False
1,0,4,3,1,3,0.833333333,0,0,5.666666667,0.6667,False
2,0,20,133,6,18,0.130952381,1,1,6.222222222,0.9444,False
1,1,7,137,1,16,0.15789473699999998,0,0,8.315789473999999,1.0,True
4,0,4,6,1,8,0.34375,1,1,9.875,1.25,False
3,0,5,0,1,1,0.5,1,1,6.666666667,0.6667,True
6,0,3,0,1,4,0.4375,0,0,9.5,0.75,False
1,0,5,0,4,1,1.0,0,0,0.0,1.0,False
4,0,16,297,3,17,0.166144201,1,1,25.0,2.7333,True
1,0,6,0,6,1,1.0,0,0,0.0,1.0,False
1,0,14,7,2,3,0.4,1,1,34.0,0.6667,False
1,0,1,0,1,0,0.0,0,0,0.0,0.0,False
2,0,6,18,1,6,0.314285714,1,1,18.375,0.75,False
5,0,25,0,24,4,0.5,0,0,11.5,1.0,True
2,1,25,220,8,16,0.14229249,1,1,17.0,1.5833,False
3,16,21,4,17,3,0.5,1,3,9.2,1.2,True
3,0,4,3,0,1,0.7777777779999999,1,1,10.0,0.6667,False
1,0,3,1,2,2,0.75,0,0,2.0,0.5,False
2,1,6,29,5,14,0.535714286,0,0,10.78571429,1.2857,False
1,0,5,3,2,3,0.5555555560000001,0,0,5.0,0.6667,False
1,0,8,25,1,9,0.311111111,0,0,7.2,1.0,False
3,0,37,168,8,13,0.192857143,2,3,11.47619048,1.0952,False
1,0,7,6,4,5,0.46666666700000003,0,0,4.8,0.8,False
4,0,5,17,2,7,0.327272727,1,2,8.545454545,1.0,True
1,0,8,3,5,2,0.583333333,0,0,63.33333333,5.6667,False
1,0,6,0,5,1,1.0,0,0,0.0,1.0,False
5,0,1,0,0,3,0.5,0,0,10.25,0.75,False
1,0,448,325,446,26,0.157692308,0,0,0.0,1.0,True
0,0,2,1,1,2,1.0,0,0,2.5,0.5,False
1,0,5,495,1,34,0.134803922,0,0,6.852941176,1.2647,False
1,0,9,3,7,3,1.0,0,0,0.0,1.0,False
3,0,23,0,1,2,0.4375,1,1,52.75,2.25,False
5,0,3,6,1,3,0.36,0,0,11.8,1.0,True
1,0,6,3,1,2,0.4166666670000001,0,0,10.0,1.0,True
1,0,9,22,1,5,0.265625,0,0,13.66666667,1.2222,False
1,3,3,0,3,4,0.625,0,0,6.5,0.75,False
2,0,12,9,8,5,0.3666666670000001,0,0,6.5,0.6667,False
3,0,24,1527,7,53,0.13362069,1,2,9.084745762999999,1.2034,True
1,0,6,0,1,2,0.625,0,0,14.0,0.5,True
4,0,3,15,0,6,0.444444444,2,2,5.166666667,0.5,False
4,0,10,27,3,10,0.32,2,3,7.5,0.9,False
2,0,5,15,1,5,0.433333333,1,3,12.42857143,1.0,False
1,0,14,53,2,11,0.23076923100000002,0,0,13.78571429,1.3571,True
1,0,1,25,1,11,0.409090909,0,0,8.181818182,1.2727,False
2,0,7,0,1,5,0.35714285700000004,1,1,20.42857143,1.2857,True
3,0,17,1,2,4,0.444444444,1,1,25.66666667,0.8333,False
1,0,7,0,1,2,0.6,0,0,22.33333333,2.0,False
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False
6,0,3,0,1,1,1.0,0,0,12.0,0.0,False
4,0,3,0,3,3,0.45,0,0,7.75,0.75,False
2,0,10,79,3,13,0.314285714,0,0,7.2,1.0,False
1,0,2,1,2,2,1.0,0,0,0.0,1.0,True
1,0,6,1,6,2,1.0,0,0,0.0,1.0,False
4,2,21,54,12,7,0.333333333,0,0,5.833333333,0.5,False
1,0,4,0,3,1,1.0,0,0,0.0,1.0,False
3,6,12,75,6,11,0.20535714300000002,1,1,10.4,0.9333,True
2,0,8,15,3,7,0.35714285700000004,1,20,5.857142857,0.8571,False
3,0,16,157,4,18,0.215277778,1,1,4.526315789,0.7895,False
1,0,14,1708,1,49,0.12222222199999999,0,0,12.19672131,1.2131,False
1,0,4,0,3,1,1.0,0,0,0.0,1.0,False
1,0,16,283,5,14,0.157342657,0,0,13.85185185,1.5556,True
1,0,5,0,1,5,0.5,0,0,6.6,0.6,True
4,0,11,33,2,14,0.3,1,1,10.64285714,1.2857,False
0,0,10,2,1,3,0.833333333,0,0,16.0,0.5,False
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False
1,0,8,60,0,12,0.10416666699999999,0,0,4.25,0.9167,False
1,0,6,1,0,2,0.75,0,0,10.5,0.5,False
2,0,6,9,1,6,0.444444444,1,20,4.5,0.8333,False
3,0,7,24,1,6,0.333333333,0,0,13.11111111,0.6667,False
3,0,3,1,1,1,0.666666667,1,1,5.0,0.5,False
2,0,2,9,1,6,0.4166666670000001,0,0,6.333333333,0.8333,False
2,14,26,3,22,7,0.5,1,1,7.0,0.8,True
3,0,8,9,4,4,0.375,2,4,17.33333333,1.3333,False
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False
1,0,38,18,3,9,0.333333333,0,0,18.92307692,0.8462,False
1,0,6,0,4,1,1.0,0,0,0.0,1.0,False
1,0,3,15,0,5,0.291666667,0,0,6.5,0.8333,False
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False
3,0,10,1,2,3,0.5,0,0,17.0,1.0,True
1,0,4,3,1,3,0.533333333,0,0,15.0,0.6667,False
3,0,7,0,1,3,0.45833333299999995,1,1,9.0,0.8333,False
1,0,8,0,8,1,1.0,0,0,0.0,1.0,False
3,0,10,0,2,2,0.3,1,1,10.85714286,0.7143,False
2,0,3,4,2,2,0.444444444,1,1,17.0,0.5,False
1,0,7,30,1,5,0.375,0,0,9.222222222000001,0.6667,False
1,0,6,10,1,8,0.333333333,0,0,19.22222222,1.8889,False
1,0,23,181,3,22,0.123376623,0,0,12.27272727,1.4091,True
1,0,4,3,0,3,0.833333333,0,0,5.0,0.6667,False
4,0,10,3,3,9,0.283333333,2,3,9.6,0.9,False
1,0,7,4,5,5,0.7,0,0,4.8,0.8,False
1,0,4,10,0,5,0.36,0,0,4.6,0.8,False
2,0,6,56,2,7,0.260416667,1,2,10.75,1.0833,False
4,0,7,24,4,9,0.444444444,2,2,5.555555556,0.4444,False
4,0,6,0,6,2,0.75,0,0,8.5,0.5,False
2,0,8,52,1,11,0.321428571,0,0,14.23076923,0.5385,False
1,1,7,75,1,12,0.276190476,0,0,8.0,1.0,True
2,0,11,0,2,3,0.46666666700000003,1,2,23.66666667,1.1667,True
1,0,5,24,3,7,0.541666667,0,0,7.25,1.25,False
1,0,9,12,3,7,0.275,0,0,23.33333333,1.3333,False
2,0,2,0,2,1,1.0,0,0,3.0,0.0,False
2,0,11,0,7,4,0.5,0,0,7.75,0.5,False
3,0,6,3,1,2,0.666666667,1,1,6.333333333,0.3333,False
3,0,38,320,3,20,0.17595307899999998,2,3,24.6875,1.7813,False
1,0,22,1,22,2,0.833333333,0,0,0.0,1.0,True
4,0,9,21,2,7,0.39285714299999996,3,4,7.142857143,0.7143,False
3,0,12,42,2,8,0.233766234,1,1,9.0,0.8333,True
1,0,22,6,20,4,0.4,0,0,0.0,1.0,True
1,0,13,39,5,11,0.272727273,0,0,7.818181817999999,0.9091,False
1,0,0,0,0,0,0.0,0,0,0.0,0.0,False
3,0,3,13,0,4,0.375,1,1,4.5,1.0,False
2,0,9,159,4,15,0.233082707,1,3,4.473684211,0.8421,False
1,1,6,0,1,6,0.30952381,0,0,5.333333333,0.8333,True
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False
1,17,49,279,39,21,0.205128205,0,0,12.88461538,1.3846,False
0,0,4,3,1,3,0.4166666670000001,0,0,20.66666667,1.6667,False
1,0,60,1,60,2,0.833333333,0,0,0.0,1.0,False
1,0,10,1,5,3,0.5,0,0,7.333333333,0.3333,True
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False
1,0,1,22,1,8,0.45833333299999995,0,0,5.125,0.875,False
4,0,7,13,1,10,0.375,1,1,7.0,0.8,False
2,0,7,0,1,4,0.4,0,0,18.0,1.0,True
2,0,11,123,1,18,0.161111111,0,0,6.722222222,0.9444,False
1,1,16,437,1,28,0.13399503699999998,0,0,7.0,1.0,True
3,0,40,0,1,4,0.222222222,1,1,54.77777778,0.8889,False
2,0,9,124,4,13,0.235294118,1,3,4.7647058819999994,0.8235,False
1,0,2,1,1,1,0.75,0,0,2.5,0.5,False
2,0,12,0,2,4,0.5,1,2,23.4,1.4,False
1,0,0,0,0,1,1.0,0,0,0.0,1.0,False
3,0,5,71,1,13,0.29333333300000003,2,6,9.6,1.1333,False
1,0,7,6,6,4,0.583333333,0,0,0.0,1.0,True
1,0,3,0,0,4,0.5,0,0,7.25,1.0,False
1,32,37,63,34,7,0.37777777799999995,0,0,14.46666667,1.4667,True
1,0,11,10,6,4,0.28,0,0,7.2,0.8,False
1,0,11,9,1,3,0.333333333,0,0,30.33333333,1.3333,False
1,0,5,0,5,1,1.0,0,0,0.0,1.0,False
1,0,3,0,1,3,0.666666667,0,0,5.666666667,0.6667,False
3,0,15,50,2,9,0.333333333,1,1,11.83333333,1.1667,False
5,0,4,4,0,3,0.4,1,1,8.0,0.75,False
6,0,3,7,1,5,0.4166666670000001,0,0,11.66666667,1.1667,False
2,0,5,7,1,2,0.36,1,1,8.5,0.8333,True
1,0,2,10,0,4,0.333333333,0,0,15.2,0.8,False
5,2,6,3,5,3,0.7777777779999999,0,0,4.333333333,0.0,False
1,0,52,630,24,33,0.13888888900000002,0,0,8.5,1.2778,True
2,0,15,25,6,14,0.27380952399999997,0,0,6.642857143,1.0714,False
1,0,5,0,4,1,1.0,0,0,0.0,1.0,False
1,0,16,1,12,1,0.5,0,0,10.5,0.5,False
1,0,4,0,2,2,0.666666667,0,0,9.0,1.0,False
1,0,7,44,1,12,0.240740741,0,0,18.75,0.8333,False
0,0,15,39,0,12,0.23076923100000002,0,0,9.785714286000001,1.3571,False
0,0,8,1,1,2,0.75,0,0,12.33333333,0.3333,False
2,0,10,3,4,2,0.666666667,1,3,34.33333333,4.0,True
4,0,11,21,4,7,0.39285714299999996,3,4,5.428571429,0.5714,False
1,0,2,6,0,3,0.5625,0,0,8.25,1.0,False
0,0,3,1,0,2,0.666666667,0,0,6.0,0.5,False
1,0,9,4,1,2,0.666666667,0,0,27.0,1.5,False
2,1,15,28,3,11,0.24175824199999998,0,0,8.0,0.7692,False
5,0,5,0,2,3,0.5,0,0,5.333333333,0.6667,False
2,0,7,1,0,2,0.6,1,1,23.0,2.0,True
1,0,5,6,0,4,0.75,0,0,3.5,0.75,False
2,0,21,73,2,10,0.214285714,1,1,14.73333333,1.2667,False
1,0,7,4,1,2,0.5,0,0,15.75,0.5,True
3,0,31,99,5,10,0.212962963,1,1,24.89473684,1.5263,False
3,0,17,250,12,19,0.223602484,0,0,8.625,1.1667,False
2,2,9,116,3,12,0.17857142899999998,1,1,7.142857143,1.1905,True
4,0,3,1,0,1,0.666666667,1,1,5.0,0.5,False
4,0,3,0,0,1,1.0,0,0,5.0,0.0,False
3,0,4,1,0,1,0.75,1,1,3.5,0.5,True
1,0,22,1,21,2,0.7,0,0,0.0,1.0,False
5,0,3,0,2,2,0.666666667,0,0,9.0,0.5,False
1,0,8,2,1,2,0.7777777779999999,0,0,31.25,1.5,True
1,0,8,64,0,6,0.333333333,0,0,23.53846154,1.3077,False
3,0,12,0,2,1,0.291666667,1,1,13.71428571,0.7143,False
2,0,3,3,2,3,0.666666667,1,2,3.0,0.3333,False
1,0,2,1,1,1,0.75,0,0,2.5,0.5,False
