cbo,rfc,loc,moa,max_cc,bug
9,57,511,1,2,False
3,29,453,2,6,False
0,0,0,0,0,False
4,14,87,0,4,False
3,17,102,0,6,False
1,14,104,0,1,False
14,29,309,2,5,False
3,20,78,0,3,False
1,55,1188,0,6,False
0,20,564,0,3,False
2,15,230,0,3,False
17,1,1,0,1,False
5,11,44,0,1,False
14,121,1074,5,11,False
7,10,10,0,1,False
11,61,695,2,22,False
1,24,133,0,3,False
11,111,1771,0,4,False
0,2,5,0,0,False
0,16,63,0,2,False
9,11,56,4,2,False
2,19,205,0,4,False
0,4,4,0,1,False
3,10,51,0,1,False
0,3,3,0,1,False
0,2,5,0,0,False
0,37,273,0,2,False
19,41,206,2,3,False
3,15,125,0,6,False
15,55,630,1,1,False
7,3,3,0,1,False
9,20,166,1,4,False
1,27,223,0,12,False
7,44,317,0,4,False
0,18,55,0,4,False
11,94,970,1,1,False
2,11,203,0,2,False
6,6,16,0,1,False
0,20,68,2,2,False
8,68,1201,0,11,True
1,42,361,0,1,False
6,18,168,2,11,False
1,15,493,0,1,False
26,118,1231,4,14,False
5,25,172,1,7,False
5,10,38,0,1,False
7,22,128,0,1,False
28,231,2501,4,5,True
29,14,14,0,1,False
5,6,16,0,1,False
11,94,696,1,6,False
2,8,48,2,3,False
15,164,1513,2,7,False
109,6,16,0,0,False
3,15,193,1,3,True
1,2,4,0,0,False
2,11,40,0,1,False
8,26,230,0,5,False
0,3,3,0,1,False
12,66,461,1,11,False
34,5,14,0,1,False
25,71,1338,2,11,True
21,18,20,0,1,False
0,46,330,0,6,False
16,49,233,0,3,True
2,7,24,0,1,False
16,13,13,0,1,False
2,16,863,0,10,False
4,45,337,1,4,False
0,2,2,0,1,False
25,14,113,0,1,False
3,10,38,0,1,False
2,10,12,0,1,False
6,17,68,0,1,False
0,4,6,0,1,False
2,5,10,0,1,False
0,4,10,0,1,False
4,52,774,0,4,False
4,87,373,1,1,False
5,8,26,0,1,False
7,85,540,2,3,False
2,18,96,0,1,False
4,12,77,0,4,False
9,18,1423,1,15,False
5,5,69,5,1,False
7,66,923,1,6,False
4,4,23,2,2,False
17,67,626,5,3,True
10,17,85,1,1,False
2,4,21,0,1,False
9,67,960,3,2,False
6,15,67,1,1,True
14,37,237,2,9,False
4,8,40,0,1,False
38,15,57,3,1,True
11,113,1577,2,33,False
2,11,265,0,3,False
5,6,40,0,3,False
2,10,83,2,3,False
5,75,720,1,7,False
3,1,1,0,1,False
12,4,13,0,1,False
4,22,131,0,1,False
2,10,273,0,2,False
0,46,401,1,5,False
3,36,245,1,6,False
13,34,412,0,3,False
34,181,2634,6,19,True
1,8,10,0,1,False
11,143,1875,0,15,False
1,16,139,0,5,False
2,19,90,1,6,False
4,6,33,0,1,False
12,6,45,1,1,False
0,3,5,0,1,False
4,18,162,2,3,False
7,28,184,1,3,False
1,2,52,0,0,False
0,3,3,0,1,False
3,6,22,1,1,False
25,133,2140,1,13,False
0,4,6,0,1,False
0,12,81,2,4,False
79,311,2701,17,22,True
17,174,1439,2,7,False
2,4,10,0,1,False
10,65,558,1,15,True
5,59,499,0,15,True
0,5,28,0,1,False
2,40,1019,0,7,False
1,5,18,1,1,False
1,3,3,0,1,False
2,24,446,1,5,False
20,177,1737,4,15,False
6,14,249,0,1,False
10,55,470,1,3,False
16,11,11,0,1,False
3,78,844,0,19,False
5,10,61,1,1,False
2,4,11,0,0,True
12,93,1410,11,17,True
0,3,3,0,1,False
1,7,34,0,1,False
2,13,410,0,6,False
9,119,1158,3,11,False
7,9,28,0,1,False
1,6,115,0,2,False
1,15,60,0,1,False
13,35,194,0,1,True
18,68,590,4,13,True
22,123,1262,2,9,True
6,12,50,1,1,False
2,8,47,0,3,False
0,4,20,0,1,False
6,28,240,1,5,False
0,17,91,0,3,False
36,157,1717,3,26,False
8,27,198,1,1,False
2,4,305,0,0,False
3,31,208,0,1,False
5,1,1,0,1,False
1,25,101,0,6,False
3,14,245,0,4,False
5,8,44,0,1,False
1,9,395,0,1,False
13,11,11,0,1,False
2,4,9,0,0,False
20,72,826,5,12,False
2,41,354,0,4,False
9,18,60,1,1,False
0,8,28,0,0,False
3,33,241,4,3,False
21,27,27,0,1,False
2,52,764,0,18,False
0,6,8,0,1,False
8,23,543,2,6,False
3,5,128,0,3,False
2,13,58,0,1,False
79,44,392,5,6,True
3,8,38,0,2,False
9,34,233,2,1,False
12,1,1,0,1,False
3,11,17,0,1,False
2,29,336,0,10,False
2,4,21,0,1,False
1,25,174,1,3,False
2,31,423,0,13,False
7,12,270,0,1,False
0,8,20,0,0,False
5,16,96,0,5,False
3,10,38,0,1,False
23,98,1347,10,16,True
25,158,1864,11,20,False
5,5,24,0,1,False
2,4,11,0,0,False
0,25,29,0,1,False
3,14,55,1,3,False
0,5,18,1,1,False
6,59,915,2,20,False
9,34,523,1,17,False
3,42,113,0,1,False
5,17,113,2,1,False
0,2,5,0,0,False
3,12,55,0,4,False
16,32,172,2,2,False
1,15,77,0,1,False
0,6,39,0,1,False
0,1,1,0,1,False
13,7,24,0,1,False
10,15,55,0,1,False
1,15,17,0,1,False
4,5,36,0,1,False
3,11,50,0,2,False
4,27,145,0,1,False
15,2,2,0,1,False
5,19,396,0,2,False
3,14,67,0,5,False
42,187,4114,6,22,True
3,50,342,1,4,False
0,15,15,0,1,False
1,14,104,0,1,False
28,162,1494,12,8,True
3,32,195,2,2,False
65,77,1397,2,11,False
0,37,211,0,3,False
16,48,286,0,1,False
9,61,887,3,3,True
25,31,219,2,4,False
11,37,183,0,7,False
9,98,1367,3,54,True
2,13,141,0,5,False
7,15,171,4,1,False
2,2,21,0,0,False
0,1,1,0,1,False
3,15,125,0,6,False
1,63,612,0,3,False
1,11,39,0,1,False
3,31,151,1,3,False
5,47,583,0,7,False
6,17,133,1,10,False
1,11,39,0,1,False
3,12,115,0,1,False
1,20,214,1,5,False
2,18,152,1,5,False
4,28,140,0,7,False
7,73,1372,0,8,False
0,13,38,1,1,False
1,27,3320,0,17,False
10,113,667,4,3,False
8,47,530,0,13,False
1,17,134,0,1,False
8,133,1448,2,10,True
3,27,140,0,1,False
3,3,9,0,1,False
1,7,17,0,0,False
31,15,15,0,1,False
0,7,9,0,1,False
0,4,35,3,1,False
2,19,1730,0,6,False
0,29,29,0,1,False
25,110,929,4,10,True
7,26,211,0,2,False
0,17,17,0,1,False
2,3,93,0,0,False
2,16,107,0,1,False
3,74,764,1,4,False
5,38,401,0,12,False
6,78,663,0,12,True
4,14,81,0,1,False
0,9,20,1,1,False
0,25,229,4,2,False
1,11,31,0,1,False
12,16,48,1,3,False
2,5,11,0,1,False
8,26,134,1,4,False
0,4,10,0,1,False
0,7,9,0,1,False
2,12,105,0,1,False
4,7,39,0,1,False
0,1,1,0,1,False
0,3,5,0,1,False
2,10,50,2,3,False
18,96,1603,4,23,False
10,1,1,0,1,False
5,6,19,0,1,False
1,11,55,0,1,False
0,28,404,0,6,False
6,82,373,1,2,False
0,2,33,0,0,False
3,16,385,5,1,False
5,8,24,0,1,False
5,16,99,0,2,False
0,10,47,2,2,False
2,11,39,0,3,False
40,55,474,1,1,True
2,20,112,0,1,False
0,28,404,0,6,False
35,1,1,0,1,False
31,87,573,7,21,False
16,73,616,5,3,False
0,8,20,0,0,False
3,4,4,0,1,False
11,29,243,0,7,False
14,45,293,3,8,False
0,4,10,0,1,False
9,43,1050,6,4,False
12,49,287,2,5,False
12,11,11,0,1,False
19,36,128,0,6,False
22,31,31,0,1,False
16,76,586,1,6,False
0,9,45,0,1,False
5,8,8,0,1,False
0,6,10,0,1,False
29,164,2168,5,62,False
19,112,954,1,6,False
3,21,387,1,14,False
0,2,2,0,1,False
10,61,301,1,2,False
9,83,995,1,23,True
0,11,13,0,1,False
8,16,79,0,1,False
8,70,646,0,5,False
6,8,22,0,1,False
6,33,323,4,11,False
6,66,745,3,2,False
0,5,5,0,1,False
7,19,108,1,1,False
0,14,95,0,2,False
1,9,32,0,1,False
12,17,17,0,1,False
11,75,876,1,4,False
16,74,865,7,7,False
0,4,6,0,1,False
5,19,116,0,1,False
6,7,17,0,1,False
1,10,142,0,2,False
0,2,5,0,0,False
4,7,17,0,1,False
5,2,2,0,1,False
27,35,315,0,7,False
0,1,1,0,1,False
17,212,2334,5,9,True
18,4,134,20,1,False
9,10,63,0,3,False
3,4,11,0,1,False
0,4,24,0,0,False
26,30,34,0,1,False
4,22,141,0,1,False
59,210,1597,11,19,True
0,4,4,0,1,False
11,79,737,2,2,False
2,1,1,0,1,False
7,21,359,3,1,False
3,24,149,1,1,False
2,25,164,0,1,False
17,6,6,0,1,False
6,34,287,2,4,False
0,7,44,0,1,False
1,13,50,0,1,False
0,33,201,0,5,False
2,10,83,2,3,False
1,2,32,0,0,False
2,11,124,0,3,False
18,81,711,2,6,False
33,78,696,4,18,False
4,7,47,2,2,False
0,39,312,0,6,False
12,6,6,0,1,False
3,14,577,0,6,False
16,40,379,1,9,False
4,6,29,0,1,False
0,19,157,3,5,False
0,2,5,0,0,False
5,16,747,0,11,False
17,159,2409,3,22,False
5,51,555,0,7,False
3,11,71,0,8,False
14,56,290,3,6,True
6,21,142,2,1,False
2,5,16,0,1,False
21,136,1275,3,12,True
10,43,257,3,3,False
0,5,28,0,1,False
0,1,1,0,1,False
8,22,117,0,1,False
18,50,259,3,3,False
8,11,85,0,1,False
0,2,2,0,1,False
0,17,23,0,1,False
5,9,9,0,1,False
4,8,27,0,1,False
7,9,55,0,1,True
12,3,8,0,1,False
20,1,1,0,1,False
5,7,62,1,0,False
19,104,811,1,9,False
3,2,16,0,0,False
9,48,429,5,10,True
9,38,278,1,3,False
3,32,612,1,14,False
2,13,100,0,6,False
11,66,640,1,7,False
3,8,38,0,2,False
3,28,177,0,1,False
7,38,316,1,4,False
6,33,218,1,1,False
0,2,2,0,1,False
0,54,141,0,1,False
2,13,101,1,2,False
9,13,112,0,1,False
9,49,365,0,10,False
7,22,91,2,1,False
3,8,34,0,1,False
5,11,82,0,10,False
1,7,33,0,1,False
0,27,145,2,9,False
11,41,376,1,1,True
19,54,339,0,1,False
1,20,357,1,1,False
5,66,607,0,16,False
2,2,32,0,0,False
8,25,178,0,2,False
0,1,1,0,1,False
5,69,270,0,5,False
3,4,15,1,1,False
2,22,108,1,2,False
3,13,95,0,1,False
10,30,164,0,1,True
0,33,264,0,8,False
0,32,163,0,3,False
11,59,510,0,7,False
12,95,719,2,12,True
6,20,176,1,6,False
0,1,2,0,1,False
4,5,39,0,1,False
1,2,4,0,0,False
1,22,275,0,5,False
26,158,1560,5,8,False
7,13,63,0,2,False
1,3,231,0,0,False
15,16,16,0,1,False
5,5,24,0,1,False
2,18,63,1,1,False
4,21,218,1,6,False
11,58,560,0,5,False
5,13,33,0,1,False
2,46,218,1,3,False
2,2,10,0,0,False
0,4,9,0,0,False
0,67,233,2,2,False
0,4,37,0,1,False
1,7,23,0,1,False
20,72,723,3,4,False
0,7,9,0,1,False
0,1,1,0,1,False
33,113,1038,7,18,True
7,24,314,0,4,False
8,34,210,2,5,False
1,12,14,0,1,False
14,38,158,3,1,False
3,11,52,1,1,False
63,121,122,0,1,False
9,53,473,1,3,False
0,2,2,0,1,False
23,76,1025,1,3,True
3,23,158,0,1,False
5,29,213,0,1,False
4,23,1209,0,1,False
13,177,1126,7,3,False
3,21,242,0,4,False
2,21,86,1,3,False
7,59,491,4,2,True
3,3,8,0,1,False
2,8,10,0,1,False
13,60,766,0,8,True
16,222,3912,2,30,True
4,14,41,0,1,False
4,5,39,0,1,False
5,17,280,0,6,False
7,162,2279,0,19,False
2,6,20,0,1,False
2,10,50,0,2,False
3,8,35,0,1,False
10,48,1267,6,4,False
44,124,4367,9,11,False
6,1,1,0,1,False
21,104,943,5,9,False
7,78,737,1,8,True
3,14,1791,0,11,False
15,6,6,0,1,False
3,5,22,2,1,False
1,7,26,0,1,False
6,20,89,1,1,False
4,36,351,0,8,False
11,34,387,4,15,True
5,1,1,0,1,False
0,8,20,0,0,False
2,5,15,0,2,False
8,29,264,0,1,False
11,6,6,0,1,False
0,38,120,0,1,False
10,42,273,0,1,False
0,4,21,0,1,False
7,33,382,1,8,False
1,14,138,0,13,True
5,51,429,2,2,False
1,7,17,0,0,False
3,6,23,0,3,False
5,10,36,0,1,False
17,53,624,1,16,True
5,22,134,1,4,False
2,16,90,0,2,True
19,14,14,0,1,False
64,270,2700,6,8,False
9,34,70,0,1,False
4,32,265,0,1,False
0,31,161,0,1,False
3,8,26,0,1,False
0,9,47,0,1,False
6,41,282,0,1,False
6,64,509,1,12,False
3,20,143,0,3,False
2,12,41,0,1,False
