wmc,cbo,rfc,ce,npm,loc,moa,amc,bug
6,6,36,0,5,165,0,26.16666667,False
5,1,22,0,3,103,0,19.2,False
3,13,22,11,2,201,3,64.0,False
57,56,242,54,27,2550,3,43.49122807,True
5,2,6,1,5,36,0,5.4,True
13,14,49,4,12,298,0,21.53846154,False
2,3,5,2,1,15,0,6.0,False
29,21,104,20,22,733,0,24.13793103,True
1,2,1,0,1,1,0,0.0,False
5,4,18,0,4,76,0,13.8,False
10,12,14,6,10,51,1,3.9,False
21,9,58,0,15,373,0,16.33333333,False
3,8,4,0,3,20,0,5.0,False
25,8,90,7,21,1160,1,44.84,False
2,6,7,4,2,18,0,8.0,False
23,7,33,3,15,284,2,10.34782609,False
21,12,46,5,10,281,1,12.19047619,False
22,30,104,25,11,707,1,31.04545455,False
21,12,77,0,15,797,0,36.57142857,False
9,7,30,7,9,228,0,24.22222222,False
12,6,31,5,9,360,1,26.58333333,False
3,16,3,1,3,3,0,0.0,False
38,21,104,0,29,839,1,20.71052632,True
1,34,1,0,1,1,0,0.0,False
2,4,5,3,2,21,1,8.5,False
11,23,16,4,8,77,3,5.454545455,False
3,3,5,0,1,18,1,4.666666667,False
2,4,2,2,2,2,0,0.0,False
25,6,26,1,25,136,1,3.96,False
6,23,6,1,6,6,0,0.0,False
8,5,25,5,6,145,0,16.5,False
11,43,11,8,11,11,0,0.0,True
1,3,2,0,1,5,0,4.0,False
3,2,4,0,3,14,0,3.333333333,False
10,2,12,0,10,53,0,3.9,False
12,35,18,4,12,99,4,6.833333333,False
9,4,11,1,9,60,2,5.222222222,False
2,3,2,0,2,2,0,0.0,False
11,14,24,4,10,107,0,8.272727273,True
13,16,26,3,12,243,1,17.23076923,False
30,27,78,12,30,543,1,16.8,False
2,4,4,3,1,8,0,3.0,False
14,10,39,8,13,225,2,14.71428571,False
13,28,104,26,8,691,1,52.07692308,False
12,9,31,8,10,170,0,12.83333333,False
1,7,1,1,1,1,0,0.0,False
23,57,23,16,23,23,0,0.0,False
15,12,16,3,15,104,1,5.466666667,False
9,5,36,3,9,146,0,15.22222222,False
21,21,38,4,21,224,1,9.476190476000001,False
3,6,18,4,2,67,0,21.33333333,False
157,111,312,75,142,2701,12,15.89808917,False
14,57,32,0,13,277,0,18.28571429,False
5,11,14,3,3,72,1,13.2,False
6,11,6,2,6,6,0,0.0,False
3,2,5,1,3,22,1,6.0,False
25,62,25,8,25,25,0,0.0,False
8,11,17,3,8,54,1,5.5,False
6,9,9,3,5,52,3,7.0,False
11,6,12,2,11,78,1,5.6363636360000005,False
32,33,84,0,8,670,0,19.78125,False
17,6,29,5,17,167,0,8.470588235,False
3,7,12,5,1,53,0,16.66666667,False
7,54,7,0,7,7,0,0.0,False
9,13,38,12,8,197,1,20.66666667,False
28,17,70,17,21,488,0,16.21428571,False
1,7,1,2,1,1,0,0.0,False
6,3,9,1,6,40,0,5.5,False
2,4,2,0,2,2,0,0.0,False
4,16,79,15,3,435,1,107.5,False
4,15,10,0,2,68,3,15.0,False
8,27,8,14,8,8,0,0.0,True
5,5,56,4,5,334,0,65.0,False
14,20,105,0,7,623,0,43.35714286,False
6,3,14,2,6,63,1,9.166666667000001,False
10,9,38,0,8,197,0,18.3,False
1,3,2,2,1,8,0,6.0,False
4,2,6,1,4,35,2,7.25,False
20,106,45,5,17,124,1,4.85,False
19,8,19,0,19,19,0,0.0,False
2,9,2,3,2,4,0,0.0,False
8,9,61,7,6,544,0,66.875,True
13,25,69,24,12,420,0,31.30769231,False
3,5,5,3,1,18,1,4.666666667,False
2,1,4,1,2,10,0,4.0,False
4,7,17,2,2,58,1,13.0,False
9,3,11,1,9,60,0,5.1111111110000005,False
3,11,3,3,3,3,0,0.0,False
5,8,5,0,5,5,0,0.0,False
3,4,5,1,3,18,0,5.0,False
3,3,3,1,3,3,0,0.0,False
28,11,72,10,18,719,0,23.57142857,True
14,10,34,0,13,207,0,13.21428571,False
5,9,20,6,5,89,1,16.4,False
4,6,4,0,4,4,0,0.0,True
1,4,2,3,1,11,0,8.0,False
9,5,29,3,6,157,0,16.22222222,False
1,8,1,2,1,1,0,0.0,False
12,10,64,10,7,444,1,35.75,True
4,6,38,4,2,242,0,59.25,False
2,34,2,1,2,7,0,0.0,False
17,6,39,4,17,165,1,8.588235294,False
3,5,3,2,3,3,0,0.0,False
16,8,27,0,16,175,0,9.5,True
19,6,64,6,18,636,1,32.15789474,False
6,6,13,3,6,55,1,7.833333333,False
6,8,23,0,6,143,0,22.5,False
4,7,10,5,1,27,1,5.5,False
2,4,4,3,2,30,0,11.5,False
30,37,68,9,27,513,3,15.86666667,False
10,20,61,16,9,192,0,18.2,False
8,6,41,0,5,204,0,24.375,False
2,6,13,6,2,46,0,22.0,False
4,2,6,1,3,23,1,4.5,False
2,24,2,0,2,2,0,0.0,False
10,9,44,0,9,176,0,16.2,False
1,3,2,1,1,5,0,4.0,False
7,3,12,1,7,77,4,9.285714286000001,False
6,6,40,4,5,227,0,36.66666667,False
1,5,1,1,1,1,0,0.0,False
4,6,14,3,4,74,0,17.0,False
3,7,18,6,3,87,2,27.0,False
30,26,132,25,13,1096,0,35.43333333,False
3,7,12,6,3,64,1,19.33333333,False
6,11,13,2,6,44,1,6.0,False
1,6,1,2,1,1,0,0.0,False
13,8,32,0,13,134,0,9.076923077,False
13,13,14,2,12,24,1,0.615384615,False
3,10,3,3,3,3,0,0.0,False
1,14,2,1,1,4,0,3.0,False
2,6,2,2,2,2,0,0.0,False
48,16,109,15,39,719,5,13.77083333,True
2,16,2,2,2,2,0,0.0,False
7,7,27,0,7,147,0,19.57142857,False
13,22,30,8,11,267,0,19.30769231,False
4,7,17,5,1,60,0,13.75,False
10,11,39,0,7,1308,0,129.7,False
7,3,8,0,6,51,0,5.857142857,False
12,8,24,0,12,124,0,8.916666667000001,True
2,5,2,2,2,2,0,0.0,False
2,6,4,3,2,8,0,3.0,False
5,4,21,4,4,144,0,27.2,False
4,4,7,3,4,31,2,6.25,False
4,22,12,0,3,72,0,17.0,False
1,7,1,2,1,1,0,0.0,False
2,5,7,4,2,18,0,8.0,False
3,3,6,2,3,15,0,4.0,False
29,21,97,0,20,677,1,22.0,False
5,7,23,2,5,105,1,19.4,False
33,33,45,7,32,350,1,9.121212121000001,False
3,4,23,3,0,95,1,30.33333333,False
3,6,11,3,2,33,1,9.666666667000001,False
1,5,2,4,1,9,0,7.0,False
6,5,22,3,4,84,2,12.5,True
8,16,8,6,8,8,0,0.0,False
15,19,66,18,6,451,3,28.26666667,False
5,5,9,2,5,34,0,5.6,False
17,15,78,0,15,413,0,22.82352941,False
4,2,6,1,4,35,2,7.25,False
6,6,19,0,6,94,0,14.0,False
2,4,14,3,2,54,1,25.0,False
2,5,4,3,1,8,0,3.0,False
7,2,20,1,7,67,0,8.571428571,False
2,3,6,2,2,26,0,11.5,False
1,6,1,2,1,1,0,0.0,False
8,11,32,0,7,149,0,17.25,False
2,5,4,2,2,14,1,5.5,False
5,17,6,2,5,25,0,3.6,False
3,6,5,3,1,18,1,4.666666667,False
5,13,31,11,4,140,1,26.6,False
15,17,69,0,7,583,0,37.8,False
9,22,117,21,3,1209,0,133.2222222,False
77,50,243,49,49,2480,4,30.8961039,True
13,29,148,0,1,1407,0,107.0,True
11,12,52,0,5,360,1,31.36363636,True
1,9,1,1,1,1,0,0.0,False
99,65,293,42,73,2894,9,28.05050505,True
2,19,2,0,2,2,0,0.0,False
6,2,19,0,4,86,0,13.0,False
10,5,21,1,9,84,1,7.3,False
13,11,50,0,10,267,0,19.15384615,False
3,20,3,2,3,3,0,0.0,False
2,8,3,3,2,14,1,5.5,False
19,10,62,0,17,309,0,14.57894737,False
3,5,10,3,2,39,2,11.33333333,False
29,39,116,38,22,1109,5,36.86206897,True
14,12,41,7,11,230,0,15.35714286,False
3,6,14,4,2,70,2,21.66666667,False
14,10,23,5,14,164,1,10.14285714,False
4,7,5,0,4,32,0,6.0,False
4,2,8,0,4,21,0,4.0,False
3,3,5,2,3,12,0,3.0,False
3,5,3,1,3,3,0,0.0,False
2,4,4,2,2,10,0,4.0,False
3,11,22,11,3,101,0,32.66666667,False
3,11,38,10,3,215,0,70.33333333,False
4,2,8,2,4,24,1,4.75,False
33,54,277,48,20,2591,4,77.36363636,True
2,3,5,2,1,15,0,6.0,False
1,5,1,1,1,1,0,0.0,False
22,20,143,20,5,1648,2,73.36363636,True
5,3,15,2,4,50,0,9.0,False
3,9,3,5,3,3,0,0.0,False
4,10,10,8,4,27,0,5.75,False
13,19,77,15,12,1090,1,82.76923077,False
5,16,65,16,4,598,0,118.6,False
10,6,30,4,0,290,1,27.5,False
12,3,21,0,11,222,1,17.0,False
11,11,44,3,8,279,0,23.63636364,True
13,4,35,0,12,194,0,13.53846154,False
4,24,104,22,3,763,2,189.25,False
2,2,8,0,1,49,0,23.5,False
11,7,20,0,10,132,0,10.63636364,False
10,2,16,0,9,88,1,7.2,False
37,16,108,0,29,1130,0,29.16216216,False
9,7,28,5,8,124,2,12.44444444,False
21,30,108,0,7,766,1,35.04761905,False
74,84,163,46,70,1119,12,13.86486486,False
7,12,24,0,6,122,0,15.85714286,False
19,32,29,3,19,186,3,8.368421052999999,True
2,12,2,1,2,2,0,0.0,False
29,24,91,16,27,699,3,22.75862069,False
65,41,131,37,39,810,5,11.26153846,True
6,5,15,4,6,53,0,7.833333333,False
4,5,9,1,4,34,1,7.0,False
3,10,5,3,1,18,1,4.666666667,False
21,4,54,0,19,233,1,9.80952381,False
1,10,1,2,1,1,0,0.0,False
55,31,123,15,41,1167,6,19.94545455,True
7,9,8,4,7,30,1,3.0,False
3,15,3,1,3,3,0,0.0,False
8,18,17,1,8,141,1,16.125,False
10,15,10,3,10,10,0,0.0,False
45,13,113,0,45,636,0,12.66666667,False
7,10,44,7,4,348,0,48.42857143,True
